TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,"Rate per 100,000"
2023,CD,101,6,Financial District (CD1),**,**
2023,CD,102,6,Greenwich Village and Soho (CD2),**,**
2023,CD,103,6,Lower East Side and Chinatown (CD3),22,10.8
2023,CD,104,6,Clinton and Chelsea (CD4),15,8.5
2023,CD,105,6,Midtown (CD5),^^,^^
2023,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),25,13.4
2023,CD,107,6,Upper West Side (CD7),30,11.1
2023,CD,108,6,Upper East Side (CD8),27,9.8
2023,CD,109,6,Morningside Heights and Hamilton Heights (CD9),14,12.1
2023,CD,110,6,Central Harlem (CD10),17,14.2
2023,CD,111,6,East Harlem (CD11),27,21.2
2023,CD,112,6,Washington Heights and Inwood (CD12),17,8.4
2023,CD,201,6,Mott Haven and Melrose (CD1),42,46.7
2023,CD,202,6,Hunts Point and Longwood (CD2),17,32.5
2023,CD,203,6,Morrisania and Crotona (CD3),27,32.7
2023,CD,204,6,Highbridge and Concourse (CD4),29,19.7
2023,CD,205,6,Fordham and University Heights (CD5),28,23.1
2023,CD,206,6,Belmont and East Tremont (CD6),16,20.9
2023,CD,207,6,Kingsbridge Heights and Bedford (CD7),23,16.5
2023,CD,208,6,Riverdale and Fieldston (CD8),13,10.6
2023,CD,209,6,Parkchester and Soundview (CD9),19,10.8
2023,CD,210,6,Throgs Neck and Co-op City (CD10),15,11.9
2023,CD,211,6,Morris Park and Bronxdale (CD11),19,15.3
2023,CD,212,6,Williamsbridge and Baychester (CD12),27,16.9
2023,CD,301,6,Greenpoint and Williamsburg (CD1),16,8.3
2023,CD,302,6,Fort Greene and Brooklyn Heights (CD2),**,**
2023,CD,303,6,Bedford Stuyvesant (CD3),17,11.2
2023,CD,304,6,Bushwick (CD4),15,14.1
2023,CD,305,6,East New York and Starrett City (CD5),22,12.6
2023,CD,306,6,Park Slope and Carroll Gardens (CD6),**,**
2023,CD,307,6,Sunset Park (CD7),**,**
2023,CD,308,6,Crown Heights and Prospect Heights (CD8),**,**
2023,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),15,15
2023,CD,310,6,Bay Ridge and Dyker Heights (CD10),22,12.3
2023,CD,311,6,Bensonhurst (CD11),21,9.2
2023,CD,312,6,Borough Park (CD12),30,16
2023,CD,313,6,Coney Island (CD13),20,17.8
2023,CD,314,6,Flatbush and Midwood (CD14),19,11.5
2023,CD,315,6,Sheepshead Bay (CD15),25,11.8
2023,CD,316,6,Brownsville (CD16),17,22.5
2023,CD,317,6,East Flatbush (CD17),24,16.1
2023,CD,318,6,Flatlands and Canarsie (CD18),18,8.6
2023,CD,401,6,Long Island City and Astoria (CD1),33,15.9
2023,CD,402,6,Woodside and Sunnyside (CD2),21,13
2023,CD,403,6,Jackson Heights (CD3),24,12.7
2023,CD,404,6,Elmhurst and Corona (CD4),31,15.6
2023,CD,405,6,Ridgewood and Maspeth (CD5),22,13.5
