TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,"Rate per 100,000"
2023,CD,406,6,Rego Park and Forest Hills (CD6),13,9
2023,CD,407,6,Flushing and Whitestone (CD7),41,13.6
2023,CD,408,6,Hillcrest and Fresh Meadows (CD8),16,8.6
2023,CD,409,6,Kew Gardens and Woodhaven (CD9),20,13.5
2023,CD,410,6,South Ozone Park and Howard Beach (CD10),28,21
2023,CD,411,6,Bayside and Little Neck (CD11),**,**
2023,CD,412,6,Jamaica and Hollis (CD12),47,19.4
2023,CD,413,6,Queens Village (CD13),18,9.4
2023,CD,414,6,Rockaway and Broad Channel (CD14),^^,^^
2023,CD,501,6,St. George and Stapleton (CD1),44,23.2
2023,CD,502,6,South Beach and Willowbrook (CD2),13,7.9
2023,CD,503,6,Tottenville and Great Kills (CD3),15,9.5
2023,Borough,1,1,Bronx,282,20
2023,Borough,2,1,Brooklyn,323,11.9
2023,Borough,3,1,Manhattan,229,12.4
2023,Borough,4,1,Queens,342,13.8
2023,Borough,5,1,Staten Island,73,14.7
2023,Citywide,1,0,New York City,"1,394",15.6
2022,CD,101,6,Financial District (CD1),**,**
2022,CD,102,6,Greenwich Village and Soho (CD2),**,**
2022,CD,103,6,Lower East Side and Chinatown (CD3),23,13.5
2022,CD,104,6,Clinton and Chelsea (CD4),^^,^^
2022,CD,105,6,Midtown (CD5),**,**
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),27,17.8
2022,CD,107,6,Upper West Side (CD7),^^,^^
2022,CD,108,6,Upper East Side (CD8),19,6.5
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16,14.6
2022,CD,110,6,Central Harlem (CD10),15,12.9
2022,CD,111,6,East Harlem (CD11),19,15.7
2022,CD,112,6,Washington Heights and Inwood (CD12),25,12
2022,CD,201,6,Mott Haven and Melrose (CD1),35,38.4
2022,CD,202,6,Hunts Point and Longwood (CD2),20,38.2
2022,CD,203,6,Morrisania and Crotona (CD3),34,39.7
2022,CD,204,6,Highbridge and Concourse (CD4),41,27.6
2022,CD,205,6,Fordham and University Heights (CD5),26,20.6
2022,CD,206,6,Belmont and East Tremont (CD6),13,16.4
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),23,16.2
2022,CD,208,6,Riverdale and Fieldston (CD8),^^,^^
2022,CD,209,6,Parkchester and Soundview (CD9),23,12.7
2022,CD,210,6,Throgs Neck and Co-op City (CD10),18,14
2022,CD,211,6,Morris Park and Bronxdale (CD11),20,17
2022,CD,212,6,Williamsbridge and Baychester (CD12),22,14
2022,CD,301,6,Greenpoint and Williamsburg (CD1),28,14.6
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),^^,^^
2022,CD,303,6,Bedford Stuyvesant (CD3),29,20
2022,CD,304,6,Bushwick (CD4),**,**
2022,CD,305,6,East New York and Starrett City (CD5),39,22.4
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),**,**
2022,CD,307,6,Sunset Park (CD7),15,11.9
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),**,**
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),13,13.6
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),13,9.3
2022,CD,311,6,Bensonhurst (CD11),26,11.2
2022,CD,312,6,Borough Park (CD12),24,13
2022,CD,313,6,Coney Island (CD13),22,16.6
2022,CD,314,6,Flatbush and Midwood (CD14),21,12.6
2022,CD,315,6,Sheepshead Bay (CD15),18,9.2
2022,CD,316,6,Brownsville (CD16),20,25.4
2022,CD,317,6,East Flatbush (CD17),21,12.9
2022,CD,318,6,Flatlands and Canarsie (CD18),31,15.8
2022,CD,401,6,Long Island City and Astoria (CD1),24,12.4
2022,CD,402,6,Woodside and Sunnyside (CD2),17,10.5
2022,CD,403,6,Jackson Heights (CD3),35,19.9
2022,CD,404,6,Elmhurst and Corona (CD4),25,12.6
2022,CD,405,6,Ridgewood and Maspeth (CD5),22,13.8
2022,CD,406,6,Rego Park and Forest Hills (CD6),**,**
2022,CD,407,6,Flushing and Whitestone (CD7),33,10.5
2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),16,9.2
2022,CD,409,6,Kew Gardens and Woodhaven (CD9),21,14.3
2022,CD,410,6,South Ozone Park and Howard Beach (CD10),20,15.2
2022,CD,411,6,Bayside and Little Neck (CD11),**,**
2022,CD,412,6,Jamaica and Hollis (CD12),33,13.9
2022,CD,413,6,Queens Village (CD13),^^,^^
2022,CD,414,6,Rockaway and Broad Channel (CD14),12,12.2
2022,CD,501,6,St. George and Stapleton (CD1),40,20.4
2022,CD,502,6,South Beach and Willowbrook (CD2),21,13.1
2022,CD,503,6,Tottenville and Great Kills (CD3),13,7.5
2022,Borough,1,1,Bronx,295,20.8
2022,Borough,2,1,Brooklyn,376,13.9
2022,Borough,3,1,Manhattan,201,11.1
2022,Borough,4,1,Queens,299,12.3
2022,Borough,5,1,Staten Island,75,14.3
2022,Citywide,1,0,New York City,"1,383",15.6
2021,CD,101,6,Financial District (CD1),**,**
2021,CD,102,6,Greenwich Village and Soho (CD2),**,**
2021,CD,103,6,Lower East Side and Chinatown (CD3),20,10.8
2021,CD,104,6,Clinton and Chelsea (CD4),16,9.8
2021,CD,105,6,Midtown (CD5),**,**
2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),20,11.2
2021,CD,107,6,Upper West Side (CD7),12,4.1
2021,CD,108,6,Upper East Side (CD8),18,6.7
2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),14,13.8
2021,CD,110,6,Central Harlem (CD10),18,15.4
2021,CD,111,6,East Harlem (CD11),18,14
2021,CD,112,6,Washington Heights and Inwood (CD12),16,8
2021,CD,201,6,Mott Haven and Melrose (CD1),25,26.6
2021,CD,202,6,Hunts Point and Longwood (CD2),28,51.8
2021,CD,203,6,Morrisania and Crotona (CD3),21,24.3
2021,CD,204,6,Highbridge and Concourse (CD4),35,22.8
2021,CD,205,6,Fordham and University Heights (CD5),26,19.3
2021,CD,206,6,Belmont and East Tremont (CD6),17,21.2
2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),23,16
2021,CD,208,6,Riverdale and Fieldston (CD8),**,**
2021,CD,209,6,Parkchester and Soundview (CD9),31,16.1
2021,CD,210,6,Throgs Neck and Co-op City (CD10),12,8.1
2021,CD,211,6,Morris Park and Bronxdale (CD11),29,24.1
2021,CD,212,6,Williamsbridge and Baychester (CD12),31,18.9
2021,CD,301,6,Greenpoint and Williamsburg (CD1),19,10.4
2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),**,**
2021,CD,303,6,Bedford Stuyvesant (CD3),17,11.1
2021,CD,304,6,Bushwick (CD4),17,15
2021,CD,305,6,East New York and Starrett City (CD5),32,18.1
2021,CD,306,6,Park Slope and Carroll Gardens (CD6),**,**
2021,CD,307,6,Sunset Park (CD7),20,15.2
2021,CD,308,6,Crown Heights and Prospect Heights (CD8),19,18.9
2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),18,17
2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),**,**
2021,CD,311,6,Bensonhurst (CD11),22,9.6
2021,CD,312,6,Borough Park (CD12),26,13.8
2021,CD,313,6,Coney Island (CD13),19,15.4
2021,CD,314,6,Flatbush and Midwood (CD14),26,15.9
2021,CD,315,6,Sheepshead Bay (CD15),23,12.1
2021,CD,316,6,Brownsville (CD16),13,15.8
2021,CD,317,6,East Flatbush (CD17),33,20
2021,CD,318,6,Flatlands and Canarsie (CD18),19,10.1
2021,CD,401,6,Long Island City and Astoria (CD1),^^,^^
2021,CD,402,6,Woodside and Sunnyside (CD2),12,7.6
2021,CD,403,6,Jackson Heights (CD3),23,12.8
2021,CD,404,6,Elmhurst and Corona (CD4),28,14.7
2021,CD,405,6,Ridgewood and Maspeth (CD5),16,9.6
2021,CD,406,6,Rego Park and Forest Hills (CD6),**,**
2021,CD,407,6,Flushing and Whitestone (CD7),24,8.1
2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),**,**
2021,CD,409,6,Kew Gardens and Woodhaven (CD9),24,15.9
2021,CD,410,6,South Ozone Park and Howard Beach (CD10),20,14.2
2021,CD,411,6,Bayside and Little Neck (CD11),**,**
2021,CD,412,6,Jamaica and Hollis (CD12),34,13.9
2021,CD,413,6,Queens Village (CD13),13,6.5
2021,CD,414,6,Rockaway and Broad Channel (CD14),19,16.6
2021,CD,501,6,St. George and Stapleton (CD1),43,21.5
2021,CD,502,6,South Beach and Willowbrook (CD2),**,**
2021,CD,503,6,Tottenville and Great Kills (CD3),**,**
2021,Borough,1,1,Bronx,314,21.5
2021,Borough,2,1,Brooklyn,383,14
2021,Borough,3,1,Manhattan,186,10.1
2021,Borough,4,1,Queens,259,10.6
2021,Borough,5,1,Staten Island,56,10.8
2021,Citywide,1,0,New York City,"1,331",14.8
2020,CD,101,6,Financial District (CD1),**,
2020,CD,102,6,Greenwich Village and Soho (CD2),**,
2020,CD,103,6,Lower East Side and Chinatown (CD3),**,
2020,CD,104,6,Clinton and Chelsea (CD4),17,
2020,CD,105,6,Midtown (CD5),**,
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),14,
2020,CD,107,6,Upper West Side (CD7),19,
2020,CD,108,6,Upper East Side (CD8),22,
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),**,
2020,CD,110,6,Central Harlem (CD10),17,
2020,CD,111,6,East Harlem (CD11),16,
2020,CD,112,6,Washington Heights and Inwood (CD12),25,
2020,CD,201,6,Mott Haven and Melrose (CD1),20,
2020,CD,202,6,Hunts Point and Longwood (CD2),13,
2020,CD,203,6,Morrisania and Crotona (CD3),30,
2020,CD,204,6,Highbridge and Concourse (CD4),25,
2020,CD,205,6,Fordham and University Heights (CD5),21,
2020,CD,206,6,Belmont and East Tremont (CD6),17,
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),15,
2020,CD,208,6,Riverdale and Fieldston (CD8),12,
2020,CD,209,6,Parkchester and Soundview (CD9),27,
2020,CD,210,6,Throgs Neck and Co-op City (CD10),17,
2020,CD,211,6,Morris Park and Bronxdale (CD11),13,
2020,CD,212,6,Williamsbridge and Baychester (CD12),21,
2020,CD,301,6,Greenpoint and Williamsburg (CD1),16,
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),**,
2020,CD,303,6,Bedford Stuyvesant (CD3),20,
2020,CD,304,6,Bushwick (CD4),14,
2020,CD,305,6,East New York and Starrett City (CD5),28,
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),13,
2020,CD,307,6,Sunset Park (CD7),12,
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),12,
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),**,
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),**,
2020,CD,311,6,Bensonhurst (CD11),15,
2020,CD,312,6,Borough Park (CD12),27,
2020,CD,313,6,Coney Island (CD13),17,
2020,CD,314,6,Flatbush and Midwood (CD14),23,
2020,CD,315,6,Sheepshead Bay (CD15),21,
2020,CD,316,6,Brownsville (CD16),29,
2020,CD,317,6,East Flatbush (CD17),21,
2020,CD,318,6,Flatlands and Canarsie (CD18),23,
2020,CD,401,6,Long Island City and Astoria (CD1),19,
2020,CD,402,6,Woodside and Sunnyside (CD2),^^,
2020,CD,403,6,Jackson Heights (CD3),16,
2020,CD,404,6,Elmhurst and Corona (CD4),20,
2020,CD,405,6,Ridgewood and Maspeth (CD5),25,
2020,CD,406,6,Rego Park and Forest Hills (CD6),^^,
2020,CD,407,6,Flushing and Whitestone (CD7),26,
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),**,
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),22,
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),13,
2020,CD,411,6,Bayside and Little Neck (CD11),**,
2020,CD,412,6,Jamaica and Hollis (CD12),25,
2020,CD,413,6,Queens Village (CD13),12,
2020,CD,414,6,Rockaway and Broad Channel (CD14),^^,
2020,CD,501,6,St. George and Stapleton (CD1),29,
2020,CD,502,6,South Beach and Willowbrook (CD2),24,
2020,CD,503,6,Tottenville and Great Kills (CD3),16,
2020,Borough,1,1,Bronx,267,17.9
2020,Borough,2,1,Brooklyn,359,12.8
2020,Borough,3,1,Manhattan,181,9.3
2020,Borough,4,1,Queens,248,9.6
2020,Borough,5,1,Staten Island,71,13.7
2020,Citywide,1,0,New York City,"1,243",13.4
2019,CD,101,6,Financial District (CD1),**,**
2019,CD,102,6,Greenwich Village and Soho (CD2),**,**
2019,CD,103,6,Lower East Side and Chinatown (CD3),22,10.4
2019,CD,104,6,Clinton and Chelsea (CD4),16,10
2019,CD,105,6,Midtown (CD5),**,**
2019,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),14,7.5
2019,CD,107,6,Upper West Side (CD7),27,9.2
2019,CD,108,6,Upper East Side (CD8),35,13.2
2019,CD,109,6,Morningside Heights and Hamilton Heights (CD9),24,21.4
2019,CD,110,6,Central Harlem (CD10),22,18.6
2019,CD,111,6,East Harlem (CD11),22,16.2
2019,CD,112,6,Washington Heights and Inwood (CD12),25,11.4
2019,CD,201,6,Mott Haven and Melrose (CD1),24,24.4
2019,CD,202,6,Hunts Point and Longwood (CD2),16,28.2
2019,CD,203,6,Morrisania and Crotona (CD3),20,21.2
2019,CD,204,6,Highbridge and Concourse (CD4),28,17.6
2019,CD,205,6,Fordham and University Heights (CD5),14,11.2
2019,CD,206,6,Belmont and East Tremont (CD6),28,34
2019,CD,207,6,Kingsbridge Heights and Bedford (CD7),30,20
2019,CD,208,6,Riverdale and Fieldston (CD8),17,13.3
2019,CD,209,6,Parkchester and Soundview (CD9),32,16.6
2019,CD,210,6,Throgs Neck and Co-op City (CD10),**,**
2019,CD,211,6,Morris Park and Bronxdale (CD11),20,16
2019,CD,212,6,Williamsbridge and Baychester (CD12),17,9.8
2019,CD,301,6,Greenpoint and Williamsburg (CD1),18,9.2
2019,CD,302,6,Fort Greene and Brooklyn Heights (CD2),**,**
2019,CD,303,6,Bedford Stuyvesant (CD3),27,17.3
2019,CD,304,6,Bushwick (CD4),21,17.9
2019,CD,305,6,East New York and Starrett City (CD5),32,17.4
2019,CD,306,6,Park Slope and Carroll Gardens (CD6),**,**
2019,CD,307,6,Sunset Park (CD7),^^,^^
2019,CD,308,6,Crown Heights and Prospect Heights (CD8),16,16.2
2019,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),13,12.4
2019,CD,310,6,Bay Ridge and Dyker Heights (CD10),**,**
2019,CD,311,6,Bensonhurst (CD11),35,15.2
2019,CD,312,6,Borough Park (CD12),37,18.9
2019,CD,313,6,Coney Island (CD13),20,14.4
2019,CD,314,6,Flatbush and Midwood (CD14),23,13.5
2019,CD,315,6,Sheepshead Bay (CD15),24,11.9
2019,CD,316,6,Brownsville (CD16),24,28.8
2019,CD,317,6,East Flatbush (CD17),28,16.5
2019,CD,318,6,Flatlands and Canarsie (CD18),41,20
2019,CD,401,6,Long Island City and Astoria (CD1),18,9.2
2019,CD,402,6,Woodside and Sunnyside (CD2),15,9.8
2019,CD,403,6,Jackson Heights (CD3),24,13.1
2019,CD,404,6,Elmhurst and Corona (CD4),22,10.7
2019,CD,405,6,Ridgewood and Maspeth (CD5),24,13.2
2019,CD,406,6,Rego Park and Forest Hills (CD6),16,10.7
2019,CD,407,6,Flushing and Whitestone (CD7),50,15.9
2019,CD,408,6,Hillcrest and Fresh Meadows (CD8),21,11.2
2019,CD,409,6,Kew Gardens and Woodhaven (CD9),18,11.7
2019,CD,410,6,South Ozone Park and Howard Beach (CD10),16,11.9
2019,CD,411,6,Bayside and Little Neck (CD11),14,10.2
2019,CD,412,6,Jamaica and Hollis (CD12),31,12.2
2019,CD,413,6,Queens Village (CD13),14,7.2
2019,CD,414,6,Rockaway and Broad Channel (CD14),**,**
2019,CD,501,6,St. George and Stapleton (CD1),39,19.6
2019,CD,502,6,South Beach and Willowbrook (CD2),30,18.9
2019,CD,503,6,Tottenville and Great Kills (CD3),20,11
2019,Borough,1,1,Bronx,275,17.9
2019,Borough,2,1,Brooklyn,436,15.8
2019,Borough,3,1,Manhattan,248,12.9
2019,Borough,4,1,Queens,313,12
2019,Borough,5,1,Staten Island,94,17.7
2019,Citywide,1,0,New York City,"1,499",16.1
2018,CD,101,6,Financial District (CD1),**,**
2018,CD,102,6,Greenwich Village and Soho (CD2),**,**
2018,CD,103,6,Lower East Side and Chinatown (CD3),21,9.9
2018,CD,104,6,Clinton and Chelsea (CD4),^^,^^
2018,CD,105,6,Midtown (CD5),**,**
2018,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),21,11.4
2018,CD,107,6,Upper West Side (CD7),17,6.6
2018,CD,108,6,Upper East Side (CD8),19,5.6
2018,CD,109,6,Morningside Heights and Hamilton Heights (CD9),14,11.8
2018,CD,110,6,Central Harlem (CD10),20,16.5
2018,CD,111,6,East Harlem (CD11),23,17.4
2018,CD,112,6,Washington Heights and Inwood (CD12),24,11
2018,CD,201,6,Mott Haven and Melrose (CD1),36,35.2
2018,CD,202,6,Hunts Point and Longwood (CD2),20,34.8
2018,CD,203,6,Morrisania and Crotona (CD3),18,19.2
2018,CD,204,6,Highbridge and Concourse (CD4),42,26.4
2018,CD,205,6,Fordham and University Heights (CD5),22,15.7
2018,CD,206,6,Belmont and East Tremont (CD6),21,24.3
2018,CD,207,6,Kingsbridge Heights and Bedford (CD7),21,13.6
2018,CD,208,6,Riverdale and Fieldston (CD8),^^,^^
2018,CD,209,6,Parkchester and Soundview (CD9),45,22.8
2018,CD,210,6,Throgs Neck and Co-op City (CD10),**,**
2018,CD,211,6,Morris Park and Bronxdale (CD11),28,22
2018,CD,212,6,Williamsbridge and Baychester (CD12),29,17.1
2018,CD,301,6,Greenpoint and Williamsburg (CD1),19,9.6
2018,CD,302,6,Fort Greene and Brooklyn Heights (CD2),18,12.5
2018,CD,303,6,Bedford Stuyvesant (CD3),20,13.3
2018,CD,304,6,Bushwick (CD4),17,14.7
2018,CD,305,6,East New York and Starrett City (CD5),45,24.5
2018,CD,306,6,Park Slope and Carroll Gardens (CD6),**,**
2018,CD,307,6,Sunset Park (CD7),18,13.8
2018,CD,308,6,Crown Heights and Prospect Heights (CD8),15,14.9
2018,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),19,18.1
2018,CD,310,6,Bay Ridge and Dyker Heights (CD10),20,12.9
2018,CD,311,6,Bensonhurst (CD11),36,15.3
2018,CD,312,6,Borough Park (CD12),41,22
2018,CD,313,6,Coney Island (CD13),23,17.9
2018,CD,314,6,Flatbush and Midwood (CD14),33,18.8
2018,CD,315,6,Sheepshead Bay (CD15),27,13.3
2018,CD,316,6,Brownsville (CD16),21,24.3
2018,CD,317,6,East Flatbush (CD17),34,22.5
2018,CD,318,6,Flatlands and Canarsie (CD18),41,20
2018,CD,401,6,Long Island City and Astoria (CD1),22,10.7
2018,CD,402,6,Woodside and Sunnyside (CD2),13,7.6
2018,CD,403,6,Jackson Heights (CD3),25,13.2
2018,CD,404,6,Elmhurst and Corona (CD4),33,16.7
2018,CD,405,6,Ridgewood and Maspeth (CD5),27,15.1
2018,CD,406,6,Rego Park and Forest Hills (CD6),12,8.3
2018,CD,407,6,Flushing and Whitestone (CD7),36,9.6
2018,CD,408,6,Hillcrest and Fresh Meadows (CD8),27,14.9
2018,CD,409,6,Kew Gardens and Woodhaven (CD9),29,19.1
2018,CD,410,6,South Ozone Park and Howard Beach (CD10),20,14.4
2018,CD,411,6,Bayside and Little Neck (CD11),**,**
2018,CD,412,6,Jamaica and Hollis (CD12),38,14.9
2018,CD,413,6,Queens Village (CD13),14,6.8
2018,CD,414,6,Rockaway and Broad Channel (CD14),^^,^^
2018,CD,501,6,St. George and Stapleton (CD1),51,26.8
2018,CD,502,6,South Beach and Willowbrook (CD2),28,18.4
2018,CD,503,6,Tottenville and Great Kills (CD3),13,7.6
2018,Borough,1,1,Bronx,331,21.7
2018,Borough,2,1,Brooklyn,494,17.8
2018,Borough,3,1,Manhattan,204,10.6
2018,Borough,4,1,Queens,327,12.5
2018,Borough,5,1,Staten Island,93,18.4
2018,Citywide,1,0,New York City,"1,597",17.3
