"agencyabbrev","overagency","overlevel","optype"
"Amtrak","Amtrak",,"Public"
"BBPC","Brooklyn Bridge Park Corporation",,"Public"
"BPL","Brooklyn Public Library","City","Public"
"CUNY","City University of New York","City","Public"
"FBOP","Federal Bureau of Prisons","Federal","Public"
"HRPT","Hudson River Park Trust",,"Public"
"MTA","Metropolitan Transportation Authority","State","Public"
"USNPS","National Park Service","Federal","Public"
"NYPL","New York Public Library","City","Public"
"Non-public","Non-public",,"Non-public"
"NYCACS","NYC Administration for Children's Services","City","Public"
"NYCBOC","NYC Board of Correction","City","Public"
"BOENY","NYC Board of Elections","City","Public"
"NYCBSA","NYC Board of Standards and Appeals","City","Public"
"NYCBP-BX","NYC Borough President - Bronx","City","Public"
"NYCBP-BK","NYC Borough President - Brooklyn","City","Public"
"NYCBP-MN","NYC Borough President - Manhattan","City","Public"
"NYCBP-QN","NYC Borough President - Queens","City","Public"
"NYCBP-SI","NYC Borough President - Staten Island","City","Public"
"NYCCB201","NYC Bronx Community Board 1","City","Public"
"NYCCB202","NYC Bronx Community Board 2","City","Public"
"NYCCB203","NYC Bronx Community Board 3","City","Public"
"NYCCB204","NYC Bronx Community Board 4","City","Public"
"NYCCB205","NYC Bronx Community Board 5","City","Public"
"NYCCB206","NYC Bronx Community Board 6","City","Public"
"NYCCB207","NYC Bronx Community Board 7","City","Public"
"NYCCB208","NYC Bronx Community Board 8","City","Public"
"NYCCB209","NYC Bronx Community Board 9","City","Public"
"NYCCB210","NYC Bronx Community Board 10","City","Public"
"NYCCB211","NYC Bronx Community Board 11","City","Public"
"NYCCB212","NYC Bronx Community Board 12","City","Public"
"NYCCB301","NYC Brooklyn Community Board 1","City","Public"
"NYCCB303","NYC Brooklyn Community Board 3","City","Public"
"NYCCB304","NYC Brooklyn Community Board 4","City","Public"
"NYCCB305","NYC Brooklyn Community Board 5","City","Public"
"NYCCB306","NYC Brooklyn Community Board 6","City","Public"
"NYCCB307","NYC Brooklyn Community Board 7","City","Public"
"NYCCB308","NYC Brooklyn Community Board 8","City","Public"
"NYCCB309","NYC Brooklyn Community Board 9","City","Public"
"NYCCB310","NYC Brooklyn Community Board 10","City","Public"
"NYCCB311","NYC Brooklyn Community Board 11","City","Public"
"NYCCB312","NYC Brooklyn Community Board 12","City","Public"
"NYCCB313","NYC Brooklyn Community Board 13","City","Public"
"NYCCB314","NYC Brooklyn Community Board 14","City","Public"
"NYCCB315","NYC Brooklyn Community Board 15","City","Public"
"NYCCB316","NYC Brooklyn Community Board 16","City","Public"
"NYCCB317","NYC Brooklyn Community Board 17","City","Public"
"NYCCB318","NYC Brooklyn Community Board 18","City","Public"
"NYCBIC","NYC Business Integrity Commission","City","Public"
"NYCCFB","NYC Campaign Finance Board","City","Public"
"NYCCEO","NYC Center for Economic Opportunity","City","Public"
"NYCC","NYC City Council","City","Public"
"NYCCCSC","NYC Civil Service Commission","City","Public"
"NYCCCRB","NYC Civilian Complaint Review Board","City","Public"
"NYCCCHR","NYC Commission on Human Rights","City","Public"
"NYCCOIB","NYC Conflict of Interest Board","City","Public"
"NYCDFTA","NYC Department for the Aging","City","Public"
"NYCDOB","NYC Department of Buildings","City","Public"
