boro,boroname,borocode
KINGS,BROOKLYN,3
MANHATTAN COMMUNITY BOARD #5,MANHATTAN,1
PELHAM,BRONX,2
RICHMOND,STATEN ISLAND,5
BROOKLYN,BROOKLYN,3
STATEN ISLAND,STATEN ISLAND,5
PELHAM MANOR,BRONX,2
BRONX,BRONX,2
NEW YORK,MANHATTAN,1
MANHATTAN,MANHATTAN,1
QUEENS,QUEENS,4
