uid,field,old_value,new_value,editor,date,notes
2b37ad6f618ca1918891ae2042bbcd9c,AGREEMENT,S,,Molly,2021-03-19,Correction applied to November 2020 version.
b97792a0f9464eae3af47e7d35b3c7e4,AGREEMENT,S,,Molly,2021-03-19,Correction applied to November 2020 version.
fb9abc79355e0c1de3df86601c62a221,AGREEMENT,S,,Molly,2021-03-19,Correction applied to November 2020 version.
2701b91d2d543cce93033477be6c5f29,AGREEMENT,L,,Molly,2021-03-19,Correction applied to November 2020 version.
215097a3df56ecc0ac0b11f65399088c,AGREEMENT,S,,Molly,2021-03-19,Correction applied to November 2020 version.
,PARCELNAME,TRIANGLE BTWN 75TH AVENUE  112ST,TRIANGLE BETWEEN 75TH AVENUE  AND 112ST,,,
,PARCELNAME,N RIVER WPCP /DOS MAR TNSF STATION,NORTH RIVER WCPC,,,
,PARCELNAME,8TH AVENUE WASH HEIGHTS LINE,8TH AVENUE WASHINGTON HEIGHTS LINE,,,
,PARCELNAME,COL DAVID MARCURS MEM PLAYGROUND,COLONEL DAVID MARCUS MEMORIAL PLAYGROUND,,,
,PARCELNAME,DYRE AVENUE ROW,DYRE AVENUE RIGHT OF WAY,,,
,PARCELNAME,OLD 73PRECINCT OFF STREET PARKING,OLD 73 PRECINCT OFF STREET PARKING,,,
,PARCELNAME,FD ROOSEVELT BOARDWALK AND BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,,,
,PARCELNAME,BORDEN AVENUE BR. STRUCTURE,BORDEN AVENUE BRIDGE STRUCTURE,,,
,SNAME,JENNINGS AVENUE,JENNINGS STREET,,,
,PARCELNAME,DR. BETANCES 4 AND 5 HOUSES,BETANCES IV AND V HOUSES,,,
,PARCELNAME,WC BRYANT HS AND ATHLETIC FLD,WILLIAM CULLEN BRYANT HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,FD ROOSEVELT BOARKWALK AND BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,,,
,PARCELNAME,GEORGE WASHINGTON HS AND AF,GEORGE WASHINGTON HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,FAR ROCKAWAY HS AND ATHLETIC FLD,FAR ROCKAWAY HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,PS 1 AND A.L. SMITH HS PLAYGROUND,PS 1 AND AL SMITH HIGH SCHOOL AND PLAYGROUND,,,
