typecategory,pattern
"ITT, Vehicles, and Equipment","%VEHICLE%"
"ITT, Vehicles, and Equipment","%AMBULANCE%"
"ITT, Vehicles, and Equipment","%BUSES%"
"ITT, Vehicles, and Equipment","%TRUCK%"
"ITT, Vehicles, and Equipment","%TRAILER%"
"ITT, Vehicles, and Equipment","%VANS%"
"ITT, Vehicles, and Equipment","%EQUIPMENT%"
"ITT, Vehicles, and Equipment","%CRANE%"
"ITT, Vehicles, and Equipment","%FURNITURE%"
"ITT, Vehicles, and Equipment","%PORTABLE%"
"ITT, Vehicles, and Equipment","% IT %"
"ITT, Vehicles, and Equipment","%AUDIO%"
"ITT, Vehicles, and Equipment","%CAMERA%"
"ITT, Vehicles, and Equipment","%COMPUTERS%"
"ITT, Vehicles, and Equipment","%DATA%"
"ITT, Vehicles, and Equipment","%DOITT%"
"ITT, Vehicles, and Equipment","%FISA%"
"ITT, Vehicles, and Equipment","%GIS%"
"ITT, Vehicles, and Equipment","%HARDWARE%"
"ITT, Vehicles, and Equipment","%MAINFRAME%"
"ITT, Vehicles, and Equipment","%MOBILE%"
"ITT, Vehicles, and Equipment","%PHONE%"
"ITT, Vehicles, and Equipment","%PRINTER%"
"ITT, Vehicles, and Equipment","%SERVER%"
"ITT, Vehicles, and Equipment","%SOFTWARE%"
"ITT, Vehicles, and Equipment","%RADIO %"
"ITT, Vehicles, and Equipment","%RADIOS%"
"ITT, Vehicles, and Equipment","%VIDEO%"
"ITT, Vehicles, and Equipment","%VOIP%"
"ITT, Vehicles, and Equipment","%WIFI%"
"ITT, Vehicles, and Equipment","%A/V%"
"ITT, Vehicles, and Equipment","% AV %"
"ITT, Vehicles, and Equipment","%ACCESS%UPGRADE%"
"ITT, Vehicles, and Equipment","%AIMS%"
"ITT, Vehicles, and Equipment","%ANALYTICS%"
"ITT, Vehicles, and Equipment","%ANTENA%"
"ITT, Vehicles, and Equipment","%APPARATUS%"
"ITT, Vehicles, and Equipment","%ARREST%PROCESSING%"
"ITT, Vehicles, and Equipment","%ARRESTOR%"
"ITT, Vehicles, and Equipment","%ASSET%TRACKER%"
"ITT, Vehicles, and Equipment","%AUTOMATIC%"
"ITT, Vehicles, and Equipment","%AUTOMATION%"
"ITT, Vehicles, and Equipment","%BARGE%"
"ITT, Vehicles, and Equipment","%BED%"
"ITT, Vehicles, and Equipment","% BMS %"
"ITT, Vehicles, and Equipment","%BOATS%"
"ITT, Vehicles, and Equipment","% BUS %"
"ITT, Vehicles, and Equipment","%BUS"
"ITT, Vehicles, and Equipment","%CART%"
"ITT, Vehicles, and Equipment","%CATHETERIZATION%"
"ITT, Vehicles, and Equipment","%CCTV%"
"ITT, Vehicles, and Equipment","%CHECKBOOK%NYC%"
