,,2020,,,,,,,,,,,,2010,,,,,,,,,,,,2000,,,,,,,,,,,
,,Total Population,,Hispanic,,White non-Hispanic,,Black non-Hispanic,,Asian non-Hispanic,,Other and two or more non-Hispanic,,Total Population,,Hispanic,,White non-Hispanic,,Black non-Hispanic,,Asian non-Hispanic,,Other and two or more non-Hispanic,,Total Population,,Hispanic,,White non-Hispanic,,Black non-Hispanic,,Asian non-Hispanic,,Other and two or more non-Hispanic,
GeogType,GeoID,Pop20,Pop20P,Hsp20,Hsp20P,WNH20,WNH20P,BNH20,BNH20P,ANH20,ANH20P,OTwoNH20,OTwoNH20P,Pop10,Pop10P,Hsp10,Hsp10P,WNH10,WNH10P,BNH10,BNH10P,ANH10,ANH10P,OTwoNH10,OTwoNH10P,Pop00,Pop00P,Hsp00,Hsp00P,WNH00,WNH00P,BNH00,BNH00P,ANH00,ANH00P,OTwoNH00,OTwoNH00P
NYC,,"8,804,190",100.0,"2,490,350",28.3,"2,719,856",30.9,"1,776,891",20.2,"1,373,502",15.6,"443,591",5.0,"8,175,133",100.0,"2,336,076",28.6,"2,722,904",33.3,"1,861,295",22.8,"1,028,119",12.6,"226,739",2.8,"8,008,278",100.0,"2,160,554",27.0,"2,801,267",35.0,"1,962,154",24.5,"780,229",9.7,"304,074",3.8
Bronx,,"1,472,654",100.0,"806,463",54.8,"130,796",8.9,"419,393",28.5,"67,766",4.6,"48,236",3.3,"1,385,108",100.0,"741,413",53.5,"151,209",10.9,"416,695",30.1,"47,335",3.4,"28,456",2.1,"1,332,650",100.0,"644,705",48.4,"193,651",14.5,"416,338",31.2,"38,558",2.9,"39,398",3.0
Brooklyn,,"2,736,074",100.0,"516,426",18.9,"968,427",35.4,"729,696",26.7,"370,776",13.6,"150,749",5.5,"2,504,700",100.0,"496,285",19.8,"893,306",35.7,"799,066",31.9,"260,129",10.4,"55,914",2.2,"2,465,326",100.0,"487,878",19.8,"854,532",34.7,"848,583",34.4,"184,291",7.5,"90,042",3.7
Manhattan,,"1,694,251",100.0,"402,640",23.8,"793,294",46.8,"199,592",11.8,"219,624",13.0,"79,101",4.7,"1,585,873",100.0,"403,577",25.4,"761,493",48.0,"205,340",12.9,"177,624",11.2,"37,839",2.4,"1,537,195",100.0,"417,816",27.2,"703,873",45.8,"234,698",15.3,"143,291",9.3,"37,517",2.4
Queens,,"2,405,464",100.0,"667,861",27.8,"549,358",22.8,"381,375",15.9,"656,583",27.3,"150,287",6.2,"2,230,722",100.0,"613,750",27.5,"616,727",27.6,"395,881",17.7,"508,334",22.8,"96,030",4.3,"2,229,379",100.0,"556,605",25.0,"732,895",32.9,"422,831",19.0,"389,303",17.5,"127,745",5.7
Staten Island,,"495,747",100.0,"96,960",19.6,"277,981",56.1,"46,835",9.4,"58,753",11.9,"15,218",3.1,"468,730",100.0,"81,051",17.3,"300,169",64.0,"44,313",9.5,"34,697",7.4,"8,500",1.8,"443,728",100.0,"53,550",12.1,"316,316",71.3,"39,704",8.9,"24,786",5.6,"9,372",2.1
PUMA2010,3701,"113,700",100.0,"56,187",49.4,"34,285",30.2,"13,297",11.7,"5,874",5.2,"4,057",3.6,"108,121",100.0,"47,390",43.8,"39,753",36.8,"13,325",12.3,"5,585",5.2,"2,068",1.9,"108,492",100.0,"40,523",37.4,"45,378",41.8,"14,075",13.0,"5,556",5.1,"2,960",2.7
PUMA2010,3702,"148,709",100.0,"39,442",26.5,"8,930",6.0,"90,173",60.6,"3,170",2.1,"6,994",4.7,"138,360",100.0,"30,554",22.1,"10,275",7.4,"90,547",65.4,"2,658",1.9,"4,326",3.1,"136,425",100.0,"23,941",17.5,"13,783",10.1,"90,648",66.4,"2,579",1.9,"5,474",4.0
