PUMA,Weighted Average Number of Jobs Accessible within 30 mins from Tract Centroid by Transit
3701,47617.76837
3702,27330.56237
3703,21634.75701
3704,52204.53723
3705,81037.08346
3706,73397.69078
3707,74713.13456
3708,87837.14533
3709,48596.59366
3710,100074.798
3801,86777.72769
3802,204032.5146
3803,192307.7396
3804,304737.0287
3805,838946.7795
3806,651465.3169
3807,1398277.544
3808,1181224.357
3809,763844.2286
3810,1365921.476
3901,5105.183722
3902,12555.69081
3903,15066.05811
4001,219293.2827
4002,92459.17036
4003,117199.882
4004,371802.4015
4005,160628.0365
4006,126651.5823
4007,52818.18441
4008,32688.49156
4009,38553.82474
4010,57050.3624
4011,94794.19959
4012,109428.6626
4013,44387.46155
4014,110192.3722
4015,100616.9483
4016,88557.06858
4017,86736.39129
4018,63727.86734
4101,136898.8662
4102,94317.80266
4103,61364.70867
4104,33546.50505
4105,15032.90517
4106,57228.54432
4107,103418.4361
4108,87637.18779
4109,261411.1801
4110,42714.12273
4111,49520.09717
4112,34281.59885
4113,25613.87281
4114,12160.87163
