INSTRUCTIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Number,,,,,,,% of total city applications,,,,,,% of total city signed leases,,,,,,,,,,
City wide,Total,Asian NH,Black NH,Hispanic,White NH,All other,,Total,Asian NH,Black NH,Hispanic,White NH,All other,Total,Asian NH,Black NH,Hispanic,White NH,All other,,,,,
applications (2014-2020),"27,261,057","1,646,176","11,323,646","8,333,988","2,442,046","3,515,201",,100%,6%,42%,31%,9%,13%,,,,,,,,,,,
signed leases (2014 - 2021),"27,398","1,888","10,557","8,427","2,838","3,688",,,4,,,,,100%,7%,39%,31%,10%,13%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Number,,,,,,,% of total borough applications,,,,,,% of total borough signed leases,,,,,,,,,,
Borough,Total,Asian NH,Black NH,Hispanic,White NH,All other,,Total,Asian NH,Black NH,Hispanic,White NH,All other,Total,Asian NH,Black NH,Hispanic,White NH,All other,,,,,
Applications (2014-2020),,,,,,,,,,,,,,,,,,,,,,,,
Bronx,"7,475,069","130,349","2,959,441","3,365,428","261,748","758,103",,100%,0%,40%,45%,4%,10%,,,,,,,,,,,
Brooklyn,"9,543,886","493,138","4,959,700","1,838,543","928,701","1,323,804",,100%,2%,52%,19%,10%,14%,,,,,,,,,,,
Manhattan,"5,505,464","333,453","1,823,449","1,905,631","695,418","747,513",,100%,1%,33%,35%,13%,14%,,,,,,,,,,,
Queens,"4,342,890","663,967","1,435,066","1,134,459","483,226","626,172",,100%,2%,33%,26%,11%,14%,,,,,,,,,,,
Staten Island,"393,748","25,269","145,990","89,927","72,953","59,609",,100%,0%,37%,23%,19%,15%,,,,,,,,,,,
signed leases (2014 - 2021),,,,,,,,,,,,,,,,,,,,"calculation required (note: will not sum to 100% unless including ""all other"" category; may not be calculable for all boroughs.)",,,,
Bronx,"8,891",105,"3,540","4,144",225,877,,,,,,,,100%,1%,40%,47%,3%,10%,,,,,
Brooklyn,"8,100",461,"3,897","1,611",911,"1,220",,,,,,,,100%,6%,48%,20%,11%,15%,,,,,
Manhattan,"6,558",665,"1,894","1,897","1,114",988,,,,,,,,100%,10%,29%,29%,17%,15%,,,,,
Queens,"3,371",615,"1,164",733,538,321,,,,,,,,100%,18%,35%,22%,16%,10%,,,,,
Staten Island,210,42,62,42,50,14,,,,,,,,100%,20%,30%,20%,24%,7%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PUMA (derive from CD),,,,,,,,,,,,,,,,,,,,,,,,
applications (2014-2020),,,,,,,,,,,,,,,,,,,,,,,,
Community District,Total,Asian NH,Black NH,Hispanic,White NH,All other,,,,,,,,,,,,,,,,,,
101,"69,158",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
102,"74,988",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
103,"710,561",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
104,"304,578",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
105,"104,311",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
106,"135,424",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
107,"371,685",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
108,"171,607",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
109,"472,550",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
110,"894,039",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
111,"775,843",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
112,"771,740",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
201,"666,881",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
202,"374,798",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
203,"677,110",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
204,"893,698",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
205,"752,568",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
206,"522,889",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
207,"686,463",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
208,"246,597",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
209,"852,726",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
210,"264,241",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
211,"364,045",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
212,"585,684",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
301,"575,509",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
302,"379,321",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
303,"1,060,613",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
304,"555,428",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
305,"1,235,178",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
306,"221,418",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
307,"197,182",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
308,"585,884",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
309,"431,692",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
310,"167,077",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
311,"292,095",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
312,"173,796",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
313,"247,485",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
314,"471,379",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
315,"234,302",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
316,"781,722",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
317,"753,113",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
318,"609,799",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
401,"442,198",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
402,"225,201",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
