code,description,group_code,group_description
DB,ELEVATOR APT LESS THAN 11 UNITS RESIDENTIAL,D,ELEVATOR APARTMENTS
DC,ELEVATOR CO-OP APT LESS THAN 11 UNITS RESIDENTIAL,D,ELEVATOR APARTMENTS
E1,GENERAL WAREHOUSE,E,WAREHOUSES
E2,CONTRACTORS WAREHOUSE,E,WAREHOUSES
E7,SELF-STORAGE WAREHOUSES,E,WAREHOUSES
E9,MISCELLANEOUS WAREHOUSE,E,WAREHOUSES
F1,FACTORY; HEAVY MANUFACTURING - FIREPROOF,F,FACTORIES AND INDUSTRIAL BUILDINGS
F2,FACTORY; SPECIAL CONSTRUCTION - FIREPROOF,F,FACTORIES AND INDUSTRIAL BUILDINGS
F4,FACTORY; INDUSTRIAL SEMI-FIREPROOF,F,FACTORIES AND INDUSTRIAL BUILDINGS
F5,FACTORY; LIGHT MANUFACTURING,F,FACTORIES AND INDUSTRIAL BUILDINGS
F8,FACTORY; TANK FARM,F,FACTORIES AND INDUSTRIAL BUILDINGS
F9,FACTORY; INDUSTRIAL-MISCELLANEOUS,F,FACTORIES AND INDUSTRIAL BUILDINGS
G0,GARAGE; RESIDENTIAL TAX CLASS 1,G,GARAGES
G1,ALL PARKING GARAGES,G,GARAGES
G2,AUTO BODY/COLLISION OR AUTO REPAIR,G,GARAGES
G3,GAS STATION WITH RETAIL STORE,G,GARAGES
G4,GAS STATION WITH SERVICE/AUTO REPAIR,G,GARAGES
G5,GAS STATION ONLY WITH/WITHOUT SMALL KIOSK,G,GARAGES
G6,LICENSED PARKING LOT,G,GARAGES
G7,UNLICENSED PARKING LOT,G,GARAGES
G8,CAR SALES/RENTAL WITH SHOWROOM,G,GARAGES
G9,MISCELLANEOUS GARAGE,G,GARAGES
GU,CAR SALES OR RENTAL LOTS WITHOUT SHOWROOM,G,GARAGES
GW,CAR WASH OR LUBRITORIUM FACILITY,G,GARAGES
H1,LUXURY HOTEL,H,HOTELS
H2,FULL SERVICE HOTEL,H,HOTELS
H3,LIMITED SERVICE; MANY AFFILIATED WITH NATIONAL CHAIN,H,HOTELS
H4,MOTEL,H,HOTELS
H5,HOTEL; PRIVATE CLUB LUXURY TYPE,H,HOTELS
H6,APARTMENT HOTEL,H,HOTELS
H7,APARTMENT HOTEL - COOPERATIVELY OWNED,H,HOTELS
H8,DORMITORY,H,HOTELS
H9,MISCELLANEOUS HOTEL,H,HOTELS
HB,"BOUTIQUE: 10-100 ROOMS, W/LUXURY FACILITIES, THEMED, STYLISH, W/FULL SVC ACCOMMODATIONS",H,HOTELS
HH,HOSTELS- BED RENTALS IN DORMITORY-LIKE SETTINGS W/SHARED ROOMS & BATHROOMS,H,HOTELS
HR,SRO- 1 OR 2 PEOPLE HOUSED IN INDIVIDUAL ROOMS IN MULTIPLE DWELLING AFFORDABLE HOUSING,H,HOTELS
HS,EXTENDED STAY/SUITE: AMENITIES SIMILAR TO APT; TYPICALLY CHARGE WEEKLY RATES & LESS EXPENSIVE THAN FULL-SERVICE HOTEL,H,HOTELS
I1,"HOSPITAL, SANITARIUM, MENTAL INSTITUTION",I,HOSPITALS AND HEALTH FACILITIES
I2,INFIRMARY,I,HOSPITALS AND HEALTH FACILITIES
I3,DISPENSARY,I,HOSPITALS AND HEALTH FACILITIES
I4,HOSPITAL; STAFF FACILITY,I,HOSPITALS AND HEALTH FACILITIES
I5,"HEALTH CENTER, CHILD CENTER, CLINIC",I,HOSPITALS AND HEALTH FACILITIES
I6,NURSING HOME,I,HOSPITALS AND HEALTH FACILITIES
I7,ADULT CARE FACILITY,I,HOSPITALS AND HEALTH FACILITIES
I9,"MISCELLANEOUS HOSPITAL, HEALTH CARE FACILITY",I,HOSPITALS AND HEALTH FACILITIES
J1,THEATRE; ART TYPE LESS THAN 400 SEATS,J,THEATRES
J2,THEATRE; ART TYPE MORE THAN 400 SEATS,J,THEATRES
J3,MOTION PICTURE THEATRE WITH BALCONY,J,THEATRES
J4,"LEGITIMATE THEATRE, SOLE USE",J,THEATRES
J5,THEATRE IN MIXED-USE BUILDING,J,THEATRES
J6,TELEVISION STUDIO,J,THEATRES
J7,OFF BROADWAY TYPE THEATRE,J,THEATRES
J8,MULTIPLEX PICTURE THEATRE,J,THEATRES
J9,MISCELLANEOUS THEATRE,J,THEATRES
K1,ONE STORY RETAIL BUILDING,K,STORE BUILDINGS
K2,MULTI-STORY RETAIL BUILDING (2 OR MORE),K,STORE BUILDINGS
K3,MULTI-STORY DEPARTMENT STORE,K,STORE BUILDINGS
K4,PREDOMINANT RETAIL WITH OTHER USES,K,STORE BUILDINGS
K5,STAND-ALONE FOOD ESTABLISHMENT,K,STORE BUILDINGS
K6,SHOPPING CENTER WITH OR WITHOUT PARKING,K,STORE BUILDINGS
K7,BANKING FACILITIES WITH OR WITHOUT PARKING,K,STORE BUILDINGS
K8,"BIG BOX RETAIL: NOT AFFIXED & STANDING ON OWN LOT W/PARKING, E.G. COSTCO & BJ'S",K,STORE BUILDINGS
K9,MISCELLANEOUS STORE BUILDING,K,STORE BUILDINGS
L1,LOFT; OVER 8 STORIES (MID MANH. TYPE),L,LOFTS
L2,LOFT; FIREPROOF AND STORAGE TYPE WITHOUT STORES,L,LOFTS
L3,LOFT; SEMI-FIREPROOF,L,LOFTS
L8,LOFT; WITH RETAIL STORES OTHER THAN TYPE ONE,L,LOFTS
L9,MISCELLANEOUS LOFT,L,LOFTS
M1,"CHURCH, SYNAGOGUE, CHAPEL",M,RELIGIOUS FACILITIES
M2,MISSION HOUSE (NON-RESIDENTIAL),M,RELIGIOUS FACILITIES
M3,"PARSONAGE, RECTORY",M,RELIGIOUS FACILITIES
M4,CONVENT,M,RELIGIOUS FACILITIES
M9,MISCELLANEOUS RELIGIOUS FACILITY,M,RELIGIOUS FACILITIES
N1,ASYLUM,N,ASYLUMS AND HOMES
N2,"HOME FOR INDIGENT CHILDREN, AGED, HOMELESS",N,ASYLUMS AND HOMES
N3,ORPHANAGE,N,ASYLUMS AND HOMES
N4,DETENTION HOUSE FOR WAYWARD GIRLS,N,ASYLUMS AND HOMES
N9,"MISCELLANEOUS ASYLUM, HOME",N,ASYLUMS AND HOMES
O1,OFFICE ONLY - 1 STORY,O,OFFICE BUILDINGS
O2,OFFICE ONLY 2 - 6 STORIES,O,OFFICE BUILDINGS
O3,OFFICE ONLY 7 - 19 STORIES,O,OFFICE BUILDINGS
O4,OFFICE ONLY WITH OR WITHOUT COMM - 20 STORIES OR MORE,O,OFFICE BUILDINGS
O5,OFFICE WITH COMM - 1 TO 6 STORIES,O,OFFICE BUILDINGS
O6,OFFICE WITH COMM 7 - 19 STORIES,O,OFFICE BUILDINGS
O7,PROFESSIONAL BUILDINGS/STAND ALONE FUNERAL HOMES,O,OFFICE BUILDINGS
O8,OFFICE WITH APARTMENTS ONLY (NO COMM),O,OFFICE BUILDINGS
O9,MISCELLANEOUS AND OLD STYLE BANK BLDGS.,O,OFFICE BUILDINGS
P1,CONCERT HALL,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P2,LODGE ROOM,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P3,"YWCA, YMCA, YWHA, YMHA, PAL",P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P4,BEACH CLUB,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P5,COMMUNITY CENTER,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P6,"AMUSEMENT PLACE, BATH HOUSE, BOAT HOUSE",P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P7,MUSEUM,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P8,LIBRARY,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
P9,MISCELLANEOUS INDOOR PUBLIC ASSEMBLY,P,INDOOR PUBLIC ASSEMBLY AND CULTURAL FACILITIES
Q1,PARKS/RECREATION FACILITY,Q,OUTDOOR RECREATIONAL FACILITIES
Q2,PLAYGROUND,Q,OUTDOOR RECREATIONAL FACILITIES
Q3,OUTDOOR POOL,Q,OUTDOOR RECREATIONAL FACILITIES
Q4,BEACH,Q,OUTDOOR RECREATIONAL FACILITIES
Q5,GOLF COURSE,Q,OUTDOOR RECREATIONAL FACILITIES
Q6,"STADIUM, RACE TRACK, BASEBALL FIELD",Q,OUTDOOR RECREATIONAL FACILITIES
Q7,TENNIS COURT,Q,OUTDOOR RECREATIONAL FACILITIES
Q8,"MARINA, YACHT CLUB",Q,OUTDOOR RECREATIONAL FACILITIES
Q9,MISCELLANEOUS OUTDOOR RECREATIONAL FACILITY,Q,OUTDOOR RECREATIONAL FACILITIES
R0,SPECIAL CONDOMINIUM BILLING LOT,R,CONDOMINIUMS
R1,CONDO; RESIDENTIAL UNIT IN 2-10 UNIT BLDG.,R,CONDOMINIUMS
R2,CONDO; RESIDENTIAL UNIT IN WALK-UP BLDG.,R,CONDOMINIUMS
R3,CONDO; RESIDENTIAL UNIT IN 1-3 STORY BLDG.,R,CONDOMINIUMS
R4,CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.,R,CONDOMINIUMS
R5,MISCELLANEOUS COMMERCIAL,R,CONDOMINIUMS
R6,CONDO; RESID. UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1,R,CONDOMINIUMS
R7,CONDO; COMML. UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1,R,CONDOMINIUMS
R8,CONDO; COMML. UNIT OF 2-10 UNIT BLDG.,R,CONDOMINIUMS
R9,CO-OP WITHIN A CONDOMINIUM,R,CONDOMINIUMS
RA,"CULTURAL, MEDICAL, EDUCATIONAL, ETC.",R,CONDOMINIUMS
RB,OFFICE SPACE,R,CONDOMINIUMS
RG,INDOOR PARKING,R,CONDOMINIUMS
RH,HOTEL/BOATEL,R,CONDOMINIUMS
RK,RETAIL SPACE,R,CONDOMINIUMS
RP,OUTDOOR PARKING,R,CONDOMINIUMS
RR,CONDOMINIUM RENTALS,R,CONDOMINIUMS
RS,NON-BUSINESS STORAGE SPACE,R,CONDOMINIUMS
RT,TERRACES/GARDENS/CABANAS,R,CONDOMINIUMS
RW,WAREHOUSE/FACTORY/INDUSTRIAL,R,CONDOMINIUMS
S0,PRIMARILY 1 FAMILY WITH 2 STORES OR OFFICES,S,PRIMARILY RESIDENTIAL - MIXED USE
S1,PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE,S,PRIMARILY RESIDENTIAL - MIXED USE
S2,PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE,S,PRIMARILY RESIDENTIAL - MIXED USE
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,S,PRIMARILY RESIDENTIAL - MIXED USE
S4,PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE,S,PRIMARILY RESIDENTIAL - MIXED USE
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,S,PRIMARILY RESIDENTIAL - MIXED USE
S9,SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES,S,PRIMARILY RESIDENTIAL - MIXED USE
T1,"AIRPORT, AIRFIELD, TERMINAL",T,TRANSPORTATION FACILITIES
T2,"PIER, DOCK, BULKHEAD",T,TRANSPORTATION FACILITIES
T9,MISCELLANEOUS TRANSPORTATION FACILITY,T,TRANSPORTATION FACILITIES
U0,UTILITY COMPANY LAND AND BUILDING,U,UTILITY BUREAU PROPERTIES
U1,"BRIDGE, TUNNEL, HIGHWAY",U,UTILITY BUREAU PROPERTIES
U2,GAS OR ELECTRIC UTILITY,U,UTILITY BUREAU PROPERTIES
U3,CEILING RAILROAD,U,UTILITY BUREAU PROPERTIES
U4,TELEPHONE UTILITY,U,UTILITY BUREAU PROPERTIES
U5,COMMUNICATION FACILITY OTHER THAN TELEPHONE,U,UTILITY BUREAU PROPERTIES
U6,RAILROAD - PRIVATE OWNERSHIP,U,UTILITY BUREAU PROPERTIES
U7,TRANSPORTATION - PUBLIC OWNERSHIP,U,UTILITY BUREAU PROPERTIES
U8,REVOCABLE CONSENT,U,UTILITY BUREAU PROPERTIES
U9,MISCELLANEOUS UTILITY PROPERTY,U,UTILITY BUREAU PROPERTIES
UR,UTILITY REVOCABLE CONSENT,U,UTILITY BUREAU PROPERTIES
V0,ZONED RESIDENTIAL; NOT MANHATTAN,V,VACANT LAND
V1,ZONED COMMERCIAL OR MANHATTAN RESIDENTIAL,V,VACANT LAND
V2,ZONED COMMERCIAL ADJACENT TO CLASS 1 DWELLING: NOT MANHATTAN,V,VACANT LAND
V3,ZONED PRIMARILY RESIDENTIAL; NOT MANHATTAN,V,VACANT LAND
V4,POLICE OR FIRE DEPARTMENT,V,VACANT LAND
V5,SCHOOL SITE OR YARD,V,VACANT LAND
V6,"LIBRARY, HOSPITAL OR MUSEUM",V,VACANT LAND
V7,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,V,VACANT LAND
V8,NEW YORK STATE OR US GOVERNMENT,V,VACANT LAND
V9,MISCELLANEOUS VACANT LAND,V,VACANT LAND
VC,COMMUNITY GARDEN ZONED COMMERCIAL OR MANHATTAN,V,VACANT LAND
VG,COMMUNITY GARDEN ZONED RESIDENTIAL; NOT MANHATTAN,V,VACANT LAND
W1,"PUBLIC ELEMENTARY, JUNIOR OR SENIOR HIGH",W,EDUCATIONAL FACILITIES
W2,"PAROCHIAL SCHOOL, YESHIVA",W,EDUCATIONAL FACILITIES
W3,SCHOOL OR ACADEMY,W,EDUCATIONAL FACILITIES
W4,TRAINING SCHOOL,W,EDUCATIONAL FACILITIES
W5,CITY UNIVERSITY,W,EDUCATIONAL FACILITIES
W6,OTHER COLLEGE AND UNIVERSITY,W,EDUCATIONAL FACILITIES
W7,THEOLOGICAL SEMINARY,W,EDUCATIONAL FACILITIES
W8,OTHER PRIVATE SCHOOL,W,EDUCATIONAL FACILITIES
W9,MISCELLANEOUS EDUCATIONAL FACILITY,W,EDUCATIONAL FACILITIES
Y1,FIRE DEPARTMENT,Y,GOVERNMENT/CITY DEPARTMENTS
Y2,POLICE DEPARTMENT,Y,GOVERNMENT/CITY DEPARTMENTS
Y3,"PRISON, JAIL, HOUSE OF DETENTION",Y,GOVERNMENT/CITY DEPARTMENTS
Y4,MILITARY AND NAVAL INSTALLATION,Y,GOVERNMENT/CITY DEPARTMENTS
Y5,DEPARTMENT OF REAL ESTATE,Y,GOVERNMENT/CITY DEPARTMENTS
Y6,DEPARTMENT OF SANITATION,Y,GOVERNMENT/CITY DEPARTMENTS
Y7,DEPARTMENT OF PORTS AND TERMINALS,Y,GOVERNMENT/CITY DEPARTMENTS
Y8,DEPARTMENT OF PUBLIC WORKS,Y,GOVERNMENT/CITY DEPARTMENTS
Y9,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Y,GOVERNMENT/CITY DEPARTMENTS
Z0,"TENNIS COURT, POOL, SHED, ETC.",Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z1,COURT HOUSE,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z2,PUBLIC PARKING AREA,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z3,POST OFFICE,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z4,FOREIGN GOVERNMENT,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z5,UNITED NATIONS,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z7,EASEMENT,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z8,CEMETERY,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
Z9,OTHER MISCELLANEOUS,Z,MISCELLANEOUS BUILDING CLASSIFICATIONS
