code,description,group_code,group_description
A0,CAPE COD,A,ONE FAMILY DWELLINGS
A1,TWO STORIES - DETACHED SM OR MID,A,ONE FAMILY DWELLINGS
A2,ONE STORY - PERMANENT LIVING QUARTER,A,ONE FAMILY DWELLINGS
A3,LARGE SUBURBAN RESIDENCE,A,ONE FAMILY DWELLINGS
A4,CITY RESIDENCE ONE FAMILY,A,ONE FAMILY DWELLINGS
A5,ONE FAMILY ATTACHED OR SEMI-DETACHED,A,ONE FAMILY DWELLINGS
A6,SUMMER COTTAGE,A,ONE FAMILY DWELLINGS
A7,MANSION TYPE OR TOWN HOUSE,A,ONE FAMILY DWELLINGS
A8,BUNGALOW COLONY - COOPERATIVELY OWNED LAND,A,ONE FAMILY DWELLINGS
A9,MISCELLANEOUS ONE FAMILY,A,ONE FAMILY DWELLINGS
B1,TWO FAMILY BRICK,B,TWO FAMILY DWELLINGS
B2,TWO FAMILY FRAME,B,TWO FAMILY DWELLINGS
B3,TWO FAMILY CONVERTED FROM ONE FAMILY,B,TWO FAMILY DWELLINGS
B9,MISCELLANEOUS TWO FAMILY,B,TWO FAMILY DWELLINGS
C0,THREE FAMILIES,C,WALK UP APARTMENTS
C1,OVER SIX FAMILIES WITHOUT STORES,C,WALK UP APARTMENTS
C2,FIVE TO SIX FAMILIES,C,WALK UP APARTMENTS
C3,FOUR FAMILIES,C,WALK UP APARTMENTS
C4,OLD LAW TENEMENT,C,WALK UP APARTMENTS
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,C,WALK UP APARTMENTS
C6,WALK-UP COOPERATIVE,C,WALK UP APARTMENTS
C7,WALK-UP APT. OVER SIX FAMILIES WITH STORES,C,WALK UP APARTMENTS
C8,WALK-UP CO-OP; CONVERSION FROM LOFT/WAREHOUSE,C,WALK UP APARTMENTS
C9,GARDEN APARTMENTS,C,WALK UP APARTMENTS
CB,WALKUP APT LESS THAN 11 UNITS RESIDENTIAL,C,WALK UP APARTMENTS
CC,WALKUP CO-OP APT LESS THAN 11 UNITS RESIDENTIAL,C,WALK UP APARTMENTS
CM,MOBILE HOMES/TRAILER PARKS,C,WALK UP APARTMENTS
D0,ELEVATOR CO-OP; CONVERSION FROM LOFT/WAREHOUSE,D,ELEVATOR APARTMENTS
D1,ELEVATOR APT; SEMI-FIREPROOF WITHOUT STORES,D,ELEVATOR APARTMENTS
D2,ELEVATOR APT; ARTISTS IN RESIDENCE,D,ELEVATOR APARTMENTS
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,D,ELEVATOR APARTMENTS
D4,ELEVATOR COOPERATIVE,D,ELEVATOR APARTMENTS
D5,ELEVATOR APT; CONVERTED,D,ELEVATOR APARTMENTS
D6,ELEVATOR APT; FIREPROOF WITH STORES,D,ELEVATOR APARTMENTS
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,D,ELEVATOR APARTMENTS
D8,ELEVATOR APT; LUXURY TYPE,D,ELEVATOR APARTMENTS
D9,ELEVATOR APT; MISCELLANEOUS,D,ELEVATOR APARTMENTS
