bc,description,use,tc,model
A0,CAPE COD,A10R,1,01
A1,TWO-STORY DETACHED- SM/MID with/wo ATTIC,A10R,1,01
A2,ONE STORY - PERMANENT LIVING QUARTER,A10R,1,01
A3,LARGE SUBURBAN RESIDENCE,A10R,1,01
A4,CITY RESIDENCE ONE FAMILY,A10R,1,01
A5,ONE FAMILY ATTACHED OR SEMI - DETACHED,A10R,1,01
A6,SUMMER COTTAGES,A10R,1,01
A7,MANSION TYPE OR TOWN HOUSE,A10R,1,01
A8,BUNGALOW COLONY,A10R,1D,01
A9,MISC. ONE FAMILY FRAME HOUSES,A10R,1,01
B1,TWO FAMILY BRICK,A10R,1,02
B2,TWO FAMILY FRAME,A10R,1,02
B3,TWO FAMILY CONVERTED FROM ONE FAMILY ,A10R,1,02
B9,MISC. TWO FAMILY,A10R,1,02
C0,THREE FAMILIES,A10R,1,02
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2,09
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2A,09
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2B,09
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2C,09
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2,93
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2A,93
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2B,93
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2C,93
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2,931
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2A,931
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2B,931
C1,OVER SIX FAMILIES WITHOUT STORES,A02C,2C,931
C2,FIVE TO SIX FAMILES,A02C,2,03
C2,FIVE TO SIX FAMILES,A02C,2A,03
C2,FIVE TO SIX FAMILES,A02C,2B,03
C2,FIVE TO SIX FAMILES,A02C,2C,03
C2,FIVE TO SIX FAMILES,A02C,2,09
C2,FIVE TO SIX FAMILES,A02C,2A,09
C2,FIVE TO SIX FAMILES,A02C,2B,09
C2,FIVE TO SIX FAMILES,A02C,2C,09
C2,FIVE TO SIX FAMILES,A02C,2,93
C2,FIVE TO SIX FAMILES,A02C,2A,93
C2,FIVE TO SIX FAMILES,A02C,2B,93
C2,FIVE TO SIX FAMILES,A02C,2C,93
C2,FIVE TO SIX FAMILES,A02C,2,931
C2,FIVE TO SIX FAMILES,A02C,2A,931
C2,FIVE TO SIX FAMILES,A02C,2B,931
C2,FIVE TO SIX FAMILES,A02C,2C,931
C3,FOUR FAMILIES,A02C,2,03
C3,FOUR FAMILIES,A02C,2A,03
C3,FOUR FAMILIES,A02C,2B,03
C3,FOUR FAMILIES,A02C,2C,03
C3,FOUR FAMILIES,A02C,2,93
C3,FOUR FAMILIES,A02C,2A,93
C3,FOUR FAMILIES,A02C,2B,93
C3,FOUR FAMILIES,A02C,2C,93
C3,FOUR FAMILIES,A02C,2,931
C3,FOUR FAMILIES,A02C,2A,931
C3,FOUR FAMILIES,A02C,2B,931
C3,FOUR FAMILIES,A02C,2C,931
C4,OLD LAW TENEMENT,A02C,2,93
C4,OLD LAW TENEMENT,A02C,2A,93
C4,OLD LAW TENEMENT,A02C,2B,93
C4,OLD LAW TENEMENT,A02C,2C,93
C4,OLD LAW TENEMENT,A02C,2,931
C4,OLD LAW TENEMENT,A02C,2A,931
C4,OLD LAW TENEMENT,A02C,2B,931
C4,OLD LAW TENEMENT,A02C,2C,931
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2,93
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2A,93
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2B,93
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2C,93
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2,931
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2A,931
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2B,931
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,A08C,2C,931
C6,WALK UP COOPERATIVE,A02C,2,90
C6,WALK UP COOPERATIVE,A02C,2A,90
C6,WALK UP COOPERATIVE,A02C,2B,90
C6,WALK UP COOPERATIVE,A02C,2C,90
C6,WALK UP COOPERATIVE,A02C,2,92
C6,WALK UP COOPERATIVE,A02C,2A,92
C6,WALK UP COOPERATIVE,A02C,2B,92
C6,WALK UP COOPERATIVE,A02C,2C,92
C6,WALK UP COOPERATIVE,A02C,2,921
C6,WALK UP COOPERATIVE,A02C,2A,921
C6,WALK UP COOPERATIVE,A02C,2B,921
C6,WALK UP COOPERATIVE,A02C,2C,921
C7,OVER SIX FAMILIES WITH STORES,A02C,2,93
C7,OVER SIX FAMILIES WITH STORES,A02C,2A,93
C7,OVER SIX FAMILIES WITH STORES,A02C,2B,93
C7,OVER SIX FAMILIES WITH STORES,A02C,2C,93
C7,OVER SIX FAMILIES WITH STORES,A02C,2,931
C7,OVER SIX FAMILIES WITH STORES,A02C,2A,931
C7,OVER SIX FAMILIES WITH STORES,A02C,2B,931
