type,borough,transit zone,day,trips,time,distribution,in,out
Local Retail,Brooklyn,,weekday,329,AM,0.048,0.52,0.48
Local Retail,Brooklyn,,weekday,329,MD,0.08,0.5,0.5
Local Retail,Brooklyn,,weekday,329,PM,0.109,0.5,0.5
Local Retail,Brooklyn,,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Manhattan,NTZ,weekday,329,AM,0.048,0.52,0.48
Local Retail,Manhattan,NTZ,weekday,329,MD,0.08,0.5,0.5
Local Retail,Manhattan,NTZ,weekday,329,PM,0.109,0.5,0.5
Local Retail,Manhattan,NTZ,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Queens,TZ,weekday,329,AM,0.048,0.52,0.48
Local Retail,Queens,TZ,weekday,329,MD,0.08,0.5,0.5
Local Retail,Queens,TZ,weekday,329,PM,0.109,0.5,0.5
Local Retail,Queens,TZ,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Queens,NTZ,weekday,329,AM,0.048,0.52,0.48
Local Retail,Queens,NTZ,weekday,329,MD,0.08,0.5,0.5
Local Retail,Queens,NTZ,weekday,329,PM,0.109,0.5,0.5
Local Retail,Queens,NTZ,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Bronx,TZ,weekday,329,AM,0.048,0.52,0.48
Local Retail,Bronx,TZ,weekday,329,MD,0.08,0.5,0.5
Local Retail,Bronx,TZ,weekday,329,PM,0.109,0.5,0.5
Local Retail,Bronx,TZ,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Bronx,NTZ,weekday,329,AM,0.048,0.52,0.48
Local Retail,Bronx,NTZ,weekday,329,MD,0.08,0.5,0.5
Local Retail,Bronx,NTZ,weekday,329,PM,0.109,0.5,0.5
Local Retail,Bronx,NTZ,weekend,358,SAT,0.117,0.5,0.5
Local Retail,Staten Island,,weekday,329,AM,0.048,0.52,0.48
Local Retail,Staten Island,,weekday,329,MD,0.08,0.5,0.5
Local Retail,Staten Island,,weekday,329,PM,0.109,0.5,0.5
Local Retail,Staten Island,,weekend,358,SAT,0.117,0.5,0.5
Hotel ,Manhattan,TZ,weekday,10.9,AM,0.075,0.31,0.69
Hotel ,Manhattan,TZ,weekday,10.9,MD,0.06,0.36,0.64
Hotel ,Manhattan,TZ,weekday,10.9,PM,0.08,0.52,0.48
Hotel ,Manhattan,TZ,weekend,12.7,SAT,0.08,0.51,0.49
Hotel ,Queens,TZ,weekday,10.9,AM,0.075,0.31,0.69
Hotel ,Queens,TZ,weekday,10.9,MD,0.06,0.36,0.64
Hotel ,Queens,TZ,weekday,10.9,PM,0.08,0.52,0.48
Hotel ,Queens,TZ,weekend,12.7,SAT,0.08,0.51,0.49
Hotel ,Brooklyn,TZ,weekday,10.9,AM,0.075,0.31,0.69
Hotel ,Brooklyn,TZ,weekday,10.9,MD,0.06,0.36,0.64
Hotel ,Brooklyn,TZ,weekday,10.9,PM,0.08,0.52,0.48
Hotel ,Brooklyn,TZ,weekend,12.7,SAT,0.08,0.51,0.49
Hotel ,Bronx,TZ,weekday,10.9,AM,0.075,0.31,0.69
Hotel ,Bronx,TZ,weekday,10.9,MD,0.06,0.36,0.64
Hotel ,Bronx,TZ,weekday,10.9,PM,0.08,0.52,0.48
Hotel ,Bronx,TZ,weekend,12.7,SAT,0.08,0.51,0.49
Hotel ,Staten Island,TZ,weekday,10.9,AM,0.075,0.31,0.69
Hotel ,Staten Island,TZ,weekday,10.9,MD,0.06,0.36,0.64
Hotel ,Staten Island,TZ,weekday,10.9,PM,0.08,0.52,0.48
Hotel ,Staten Island,TZ,weekend,12.7,SAT,0.08,0.51,0.49
Medical Office  < 15000,Brooklyn,TZ,weekday,74.6,AM,0.11,0.62,0.38
Medical Office  < 15000,Brooklyn,TZ,weekday,74.6,MD,0.126,0.53,0.47
Medical Office  < 15000,Brooklyn,TZ,weekday,74.6,PM,0.085,0.39,0.61
Medical Office  < 15000,Brooklyn,TZ,weekend,37,SAT,0.166,0.54,0.46
Medical Office  < 15000,Brooklyn,NTZ,weekday,74.6,AM,0.11,0.62,0.38
Medical Office  < 15000,Brooklyn,NTZ,weekday,74.6,MD,0.126,0.53,0.47
Medical Office  < 15000,Brooklyn,NTZ,weekday,74.6,PM,0.085,0.39,0.61
Medical Office  < 15000,Brooklyn,NTZ,weekend,37,SAT,0.166,0.54,0.46
Medical Office  < 15000,Manhattan,TZ,weekday,74.6,AM,0.11,0.62,0.38
Medical Office  < 15000,Manhattan,TZ,weekday,74.6,MD,0.126,0.53,0.47
Medical Office  < 15000,Manhattan,TZ,weekday,74.6,PM,0.085,0.39,0.61
Medical Office  < 15000,Manhattan,TZ,weekend,37,SAT,0.166,0.54,0.46
Medical Office  < 15000,Manhattan,NTZ,weekday,74.6,AM,0.11,0.62,0.38
