WKT,OBJECTID,Shape_Length,unique_id,editor,cartodb_id,layer,path
"MULTICURVE Z (COMPOUNDCURVE Z ((-74.0024744306545 40.5723499564312 0,-74.0002019608347 40.5717976267676 0,-73.9968508555516 40.5714520935401 0,-73.9958744278908 40.571422277368 0,-73.9935309820151 40.5716068187995 0,-73.9923124034956 40.5715412179458 0,-73.9904376302309 40.5717197708114 0,-73.9872972737358 40.5724938170564 0,-73.9851803328174 40.5725352545883 0,-73.9734390379214 40.5738376075834 0),CIRCULARSTRING Z (-73.9734390379214 40.5738376075834 0,-73.9704718773092 40.5742571157834 0,-73.9675672460434 40.5748812485843 0),CIRCULARSTRING Z (-73.9675672460434 40.5748812485843 0,-73.9661269868266 40.574808007707 0,-73.9646836068669 40.5748194352847 0),(-73.9646836068669 40.5748194352847 0,-73.9628613575254 40.5749798519424 0,-73.9594144008886 40.5751262268739 0)))","1",12141.7718922748,"1389",Casey Smith,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_line
"MULTICURVE Z (COMPOUNDCURVE Z (CIRCULARSTRING Z (-74.1011206382302 40.5773092723713 0,-74.1005603168012 40.576531605914 0,-74.099722413721 40.5759158877846 0)))","1",648.985128277881,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.099722413721 40.5759158877846 0,-74.0976172896669 40.5747724079847 0))","2",718.016528313699,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0976172896669 40.5747724079847 0,-74.0970378910578 40.5744547523344 0))","3",198.244790090746,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0970378910578 40.5744547523344 0,-74.0963059966885 40.5740548956972 0))","4",250.124579904327,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0963059966885 40.5740548956972 0,-74.0955746582583 40.5736577895426 0))","5",249.41744560453,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0955746582583 40.5736577895426 0,-74.0948435976916 40.573258949498 0))","6",249.722595732159,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0948435976916 40.573258949498 0,-74.0941145664759 40.5728609406295 0))","7",249.088886089806,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0941145664759 40.5728609406295 0,-74.0937421696452 40.5726566097844 0))","8",127.455086582623,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0937421696452 40.5726566097844 0,-74.0933775292967 40.572456530912 0))","9",124.801469994343,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0933775292967 40.572456530912 0,-74.0926453193337 40.5720623695526 0))","10",248.998376520257,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0926453193337 40.5720623695526 0,-74.0919120376121 40.5716623059492 0))","11",250.487763760284,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
"MULTILINESTRING Z ((-74.0919078760636 40.5716546368072 0,-74.0911747503432 40.5712646092253 0))","12",248.343458210706,"3667",,,cbbr_locations_line,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_line
