source,cleaned
NATURAL AREA/ETC,NATURAL AREA/WETLAND/WILDLIFE REFUGE
IN USE-RES STRUCTURE,IN USE-RESIDENTIAL STRUCTURE
PLAYGRND/SPORTS AREA,PLAYGROUND/SPORTS AREA
AGCY EXECUTVE OFFICE,AGENCY EXECUTIVE OFFICE
AGCY OFFICE,AGENCY OFFICE
NO USE-WFT (ANY AGY),NO USE-WATERFRONT (ANY AGENCY)
HIGHWAY STRIP/ETC,MALL/TRIANGLE/HIGHWAY STRIP/PARK STRIP
OTHER TRANS FACILITY,OTHER TRANSPORTATION FACILITY
NO USE-NON RES STRC,NO USE-NON RESIDENTIAL STRUCTURES
NO USE-NON RESIDENTIAL STRUCTURE,NO USE-NON RESIDENTIAL STRUCTURES
COMBINED MAINT/STRG,COMBINED MAINTENANCE/STORAGE FACILITY
MUNICPL PKNG-OUTDR,MUNICIPAL PARKING - OUTDOOR PUBLIC
INDOOR PKNG GARAGE,INDOOR PARKING GARAGE
UNDEVELOP OPEN SPACE,UNDEVELOPED OPEN SPACE
OUTDOOR PKNG-AGENCY,OUTDOOR PARKING - AGENCY VEHICLES
TRANSL HSG - FAMILY,TRANSITIONAL HOUSING - FAMILY
RECREATIONL FACILITY,RECREATIONAL FACILITY
NO USE-RES STRUCTURE,NO USE-RESIDENTIAL STRUCTURE
WASTEWATER PUMPING,WASTEWATER PUMPING STATION
OUTDR PKNG-EMPLOYEES,OUTDOOR PARKING - EMPLOYEES
SPECIAL EDUC SCHOOL,SPECIAL EDUCATION SCHOOL
OTHER PUB SAFETY FAC,OTHER PUBLIC SAFETY FACILITY
OTHER CULTURAL FAC,OTHER CULTURAL FACILITY
AMBUL HEALTH FACIL,AMBULATORY HEALTH FACILITY
INDOOR MAINT/STORAGE,INDOOR MAINTENANCE/STORAGE/GARAGE FACILITY
EARLY CHILDHD CENTER,EARLY CHILDHOOD CENTER
INDOOR STORAGE(WHSE),INDOOR STORAGE (WAREHOUSE)
POLLUTION CONTRL FAC,POLLUTION CONTROL FACILITY
