"zipcode","city","boro"
"11212","BROOKLYN","BK"
"11249","BROOKLYN","BK"
"11210","BROOKLYN","BK"
"11235","BROOKLYN","BK"
"11218","BROOKLYN","BK"
"11222","BROOKLYN","BK"
"11211","BROOKLYN","BK"
"11225","BROOKLYN","BK"
"11205","BROOKLYN","BK"
"11217","BROOKLYN","BK"
"11213","BROOKLYN","BK"
"11206","BROOKLYN","BK"
"11203","BROOKLYN","BK"
"11251","BROOKLYN","BK"
"11223","BROOKLYN","BK"
"11207","BROOKLYN","BK"
"11208","BROOKLYN","BK"
"11236","BROOKLYN","BK"
"11237","BROOKLYN","BK"
"11221","BROOKLYN","BK"
"11220","BROOKLYN","BK"
"11216","BROOKLYN","BK"
"11201","BROOKLYN","BK"
"11228","BROOKLYN","BK"
"11229","BROOKLYN","BK"
"11233","BROOKLYN","BK"
"11238","BROOKLYN","BK"
"11239","BROOKLYN","BK"
"11230","BROOKLYN","BK"
"11215","BROOKLYN","BK"
"11224","BROOKLYN","BK"
"11234","BROOKLYN","BK"
"11214","BROOKLYN","BK"
"11209","BROOKLYN","BK"
"11204","BROOKLYN","BK"
"11232","BROOKLYN","BK"
"11226","BROOKLYN","BK"
"11231","BROOKLYN","BK"
"11219","BROOKLYN","BK"
"10452","BRONX","BX"
"10472","BRONX","BX"
"10451","BRONX","BX"
"10467","BRONX","BX"
"10470","BRONX","BX"
"10456","BRONX","BX"
"10465","BRONX","BX"
"10460","BRONX","BX"
"10464","BRONX","BX"
"10462","BRONX","BX"
"10469","BRONX","BX"
"10457","BRONX","BX"
"10453","BRONX","BX"
"10459","BRONX","BX"
"10473","BRONX","BX"
"10468","BRONX","BX"
"10461","BRONX","BX"
"10455","BRONX","BX"
"10454","BRONX","BX"
"10474","BRONX","BX"
"10458","BRONX","BX"
"10475","BRONX","BX"
"10471","BRONX","BX"
"10466","BRONX","BX"
"10463","BRONX","BX"
"10081","NEW YORK","MN"
"10034","NEW YORK","MN"
"10040","NEW YORK","MN"
"10043","NEW YORK","MN"
"10122","NEW YORK","MN"
"10020","NEW YORK","MN"
"10017","NEW YORK","MN"
"10028","NEW YORK","MN"
"10265","NEW YORK","MN"
"10005","NEW YORK","MN"
"10033","NEW YORK","MN"
"10119","NEW YORK","MN"
"10275","NEW YORK","MN"
"10023","NEW YORK","MN"
"10027","NEW YORK","MN"
"10123","NEW YORK","MN"
"10025","NEW YORK","MN"
"10270","NEW YORK","MN"
"10018","NEW YORK","MN"
"10080","NEW YORK","MN"
"10016","NEW YORK","MN"
"10069","NEW YORK","MN"
"10259","NEW YORK","MN"
"10168","NEW YORK","MN"
"10151","NEW YORK","MN"
"10158","NEW YORK","MN"
"10096","NEW YORK","MN"
"10039","NEW YORK","MN"
"10286","NEW YORK","MN"
"10097","NEW YORK","MN"
"10166","NEW YORK","MN"
"10024","NEW YORK","MN"
"10007","NEW YORK","MN"
"10105","NEW YORK","MN"
"10001","NEW YORK","MN"
"10032","NEW YORK","MN"
"10118","NEW YORK","MN"
"10174","NEW YORK","MN"
"10177","NEW YORK","MN"
"10154","NEW YORK","MN"
"10282","NEW YORK","MN"
