type,borough,transit zone,day,trucks,time,distribution,in,out
Local Retail,Brooklyn,,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Brooklyn,,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Brooklyn,,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Brooklyn,,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Manhattan,NTZ,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Manhattan,NTZ,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Manhattan,NTZ,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Manhattan,NTZ,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Queens,TZ,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Queens,TZ,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Queens,TZ,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Queens,TZ,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Queens,NTZ,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Queens,NTZ,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Queens,NTZ,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Queens,NTZ,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Bronx,TZ,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Bronx,TZ,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Bronx,TZ,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Bronx,TZ,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Bronx,NTZ,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Bronx,NTZ,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Bronx,NTZ,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Bronx,NTZ,weekend,0.04,SAT,0.11,0.5,0.5
Local Retail,Staten Island,,weekday,0.35,AM,0.08,0.5,0.5
Local Retail,Staten Island,,weekday,0.35,MD,0.11,0.5,0.5
Local Retail,Staten Island,,weekday,0.35,PM,0.02,0.5,0.5
Local Retail,Staten Island,,weekend,0.04,SAT,0.11,0.5,0.5
Hotel (M1),Manhattan,TZ,weekday,0.06,AM,0.12,0.5,0.5
Hotel (M1),Manhattan,TZ,weekday,0.06,MD,0.09,0.5,0.5
Hotel (M1),Manhattan,TZ,weekend,0.06,PM,0.01,0.5,0.5
Hotel (M1),Manhattan,TZ,weekend,0.01,SAT,0.09,0.5,0.5
Hotel (M1),Queens,TZ,weekday,0.06,AM,0.12,0.5,0.5
Hotel (M1),Queens,TZ,weekday,0.06,MD,0.09,0.5,0.5
Hotel (M1),Queens,TZ,weekend,0.06,PM,0.02,0.5,0.5
Hotel (M1),Queens,TZ,weekend,0.01,SAT,0.09,0.5,0.5
Hotel (M1),Brooklyn,TZ - Downtown Brooklyn,weekday,0.06,AM,0.12,0.5,0.5
Hotel (M1),Brooklyn,TZ - Downtown Brooklyn,weekday,0.06,MD,0.09,0.5,0.5
Hotel (M1),Brooklyn,TZ - Downtown Brooklyn,weekend,0.06,PM,0,0.5,0.5
Hotel (M1),Brooklyn,TZ - Downtown Brooklyn,weekend,0.01,SAT,0.09,0.5,0.5
Hotel (M1),Brooklyn,TZ,weekday,0.06,AM,0.12,0.5,0.5
Hotel (M1),Brooklyn,TZ,weekday,0.06,MD,0.09,0.5,0.5
Hotel (M1),Brooklyn,TZ,weekend,0.06,PM,0.02,0.5,0.5
Hotel (M1),Brooklyn,TZ,weekend,0.01,SAT,0.09,0.5,0.5
Medical Office  < 15000,Brooklyn,TZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Brooklyn,TZ,weekday,0.29,MD,0.11,0.5,0.5
Medical Office  < 15000,Brooklyn,TZ,weekend,0.29,PM,0.01,0.5,0.5
Medical Office  < 15000,Brooklyn,TZ,weekend,0.29,SAT,0,0.5,0.5
Medical Office  < 15000,Brooklyn,NTZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Brooklyn,NTZ,weekday,0.29,MD,0.11,0.5,0.5
Medical Office  < 15000,Brooklyn,NTZ,weekend,0.29,PM,0.01,0.5,0.5
Medical Office  < 15000,Brooklyn,NTZ,weekend,0.29,SAT,0,0.5,0.5
Medical Office  < 15000,Manhattan,TZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Manhattan,TZ,weekday,0.29,MD,0.11,0.5,0.5
Medical Office  < 15000,Manhattan,TZ,weekend,0.29,PM,0.01,0.5,0.5
Medical Office  < 15000,Manhattan,TZ,weekend,0.29,SAT,0,0.5,0.5
Medical Office  < 15000,Manhattan,NTZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Manhattan,NTZ,weekday,0.29,MD,0.11,0.5,0.5
Medical Office  < 15000,Manhattan,NTZ,weekend,0.29,PM,0.01,0.5,0.5
Medical Office  < 15000,Manhattan,NTZ,weekend,0.29,SAT,0,0.5,0.5
Medical Office  < 15000,Queens,TZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Queens,TZ,weekday,0.29,MD,0.11,0.5,0.5
Medical Office  < 15000,Queens,TZ,weekend,0.29,PM,0.01,0.5,0.5
Medical Office  < 15000,Queens,TZ,weekend,0.29,SAT,0,0.5,0.5
Medical Office  < 15000,Queens,NTZ,weekday,0.29,AM,0.03,0.5,0.5
Medical Office  < 15000,Queens,NTZ,weekday,0.29,MD,0.11,0.5,0.5
