data_table,category,indicator_name,earliest_start_year,earliest_end_year,middle_start_year,middle_end_year,current_start_year,current_end_year,notes
1.01,Demographic Conditions,Mutually Exclusive Race/Hispanic Origin,2000,,2010,,2020,,
1.02,Demographic Conditions,Age,2000,,2008,2012,2020,2024,
1.03,Demographic Conditions,Foreign-Born Pop,2000,,2008,2012,2020,2024,
1.04,Demographic Conditions,Limited English Speaking Population,2000,,2008,2012,2020,2024,
2.01,Household Economic Security,Educational Attainment (Highest Grade Completed),2000,,2008,2012,2020,2024,
2.02,Household Economic Security,Median Household Income (2024 Dollars),2008,2012,,,2020,2024,
2.03,Household Economic Security,Households by AMI* Band,,,,,2020,2024,
2.04,Household Economic Security,Labor Force,2008,2012,,,2020,2024,
2.05,Household Economic Security,Occupation,2008,2012,,,2020,2024,
2.05,Household Economic Security,Median Wages by Occupation (2024),2008,2012,,,2020,2024,
2.06,Household Economic Security,Industry,2008,2012,,,2020,2024,
2.06,Household Economic Security,Median Wages by Industry (2024 Dollars),2008,2012,,,2020,2024,
3.01,"Housing Affordability, Quality and Security",Housing Tenure,2000,,2008,2012,2020,2024,
3.02,"Housing Affordability, Quality and Security",Median Home Value (2024 Dollars),2008,2012,,,2020,2024,
3.03,"Housing Affordability, Quality and Security",Median Gross Rent (2024 Dollars),2008,2012,,,2020,2024,
3.04,"Housing Affordability, Quality and Security",Gross Rent as a Percentage of Household Income (GRAPI),2008,2012,,,2020,2024,
3.05,"Housing Affordability, Quality and Security",Rent Stabilized Housing,,,,,2023,,
3.06,"Housing Affordability, Quality and Security",Rental Units Affordable to Households by AMI* Band,,,,,2020,2024,
3.07,"Housing Affordability, Quality and Security",Housing Problems,,,,,2023,,"Row name ""Units with 3 or more maintenance deficiences"" should be updated to ""3 or more housing problems"""
3.08,"Housing Affordability, Quality and Security",Overcrowding,2008,2012,,,2020,2024,
3.09,"Housing Affordability, Quality and Security","Residential Evictions Executed by a city marshal, 2019-2026",,,,,2019,2026,
3.10,"Housing Affordability, Quality and Security",Number of Individuals in Shelter System by Last Address,,,2020,,2026,,
3.11,"Housing Affordability, Quality and Security",Income-Restricted Housing,,,2025,,2026,,"Update the table header to: ""NYC Housing Authority, 2025; NYC Housing Preservation and Development, 2026"""
3.12,"Housing Affordability, Quality and Security",Population In NYC Housing Authority Housing,,,,,2025,,
3.13,"Housing Affordability, Quality and Security",Housing Lottery Applications,,,,,2022,2024,
3.14,"Housing Affordability, Quality and Security",Housing Lottery Leases,,,,,2022,2024,
4.01,Housing Production,Change in Housing Units 2010-2025,,,,,2010,2025,
4.02,Housing Production,Homes with New or Extended Affordability Requirements by AMI* Band,,,,,2014,2026,
4.03,Housing Production,Area within a Historic District,,,,,,,
5.01,Quality of Life and Access to Opportunity,Health Outcomes - Self Reported,,,,,2021,2022,
5.02,Quality of Life and Access to Opportunity,Health Outcomes - Diabetes Prevalence,,,,,2021,2022,
5.03,Quality of Life and Access to Opportunity,Health Outcomes - Premature Mortality,,,,,2019,2023,
5.04,Quality of Life and Access to Opportunity,Health Outcomes - Infant Mortality,,,,,2019,2023,
5.05,Quality of Life and Access to Opportunity,Health Outcomes - Overdose Deaths,,,,,2019,2023,
5.06,Quality of Life and Access to Opportunity,Health Outcomes - COVID-19 Deaths,,,,,,,
5.07,Quality of Life and Access to Opportunity,Health Outcomes - Heat Vulnerability Index,,,,,,,Remove Indicator
5.08,Quality of Life and Access to Opportunity,Access to Jobs,,,,,2024,,
5.09,Quality of Life and Access to Opportunity,Access to Transit,,,,,2024,,
5.10,Quality of Life and Access to Opportunity,Commute,2008,2012,,,2020,2024,
5.11,Quality of Life and Access to Opportunity,Education Access - Access to Broadband,,,,,2020,2024,
5.12,Quality of Life and Access to Opportunity,"Educational Outcomes - Subject Test Proficiency (Tested Student Population, 3rd-8th Grade)",,,,,2025,,
5.13,Quality of Life and Access to Opportunity,Educational Outcomes - High School Graduation Rate (Students Entering 9th Grade In 2021),2021,,,,2025,,
5.14,Quality of Life and Access to Opportunity,Open Space - Park Access,,,,,2024,,
5.15,Quality of Life and Access to Opportunity,Public Safety - Traffic Injuries,,,,,2019,2023,
5.16,Quality of Life and Access to Opportunity,Public Safety - Traffic Fatalies,,,,,2019,2023,
5.17,Quality of Life and Access to Opportunity,Public Safety - Pedestrian Injury Hospitalizations,,,,,2023,,
5.18,Quality of Life and Access to Opportunity,"Public Safety - Non-fatal, Violence-Related Hospitalizations",,,,,2023,,
