factype,facsubgrp
2 Year Independent,Colleges or Universities
2 Year Proprietary,Colleges or Universities
4-Year Independent,Colleges or Universities
4 Year Proprietary,Colleges or Universities
Academic Libraries,Academic and Special Libraries
Approved Private Schools For Swd,Public and Private Special Education Schools
Charter School,Charter K-12 Schools
CUNY - 4 Year College,Colleges or Universities
CUNY - Community College,Colleges or Universities
CUNY - Graduate Center,Colleges or Universities
Elementary School - Non-public,Non-Public K-12 Schools
Feeding Site,Child Nutrition
Ged-Alternative High School Equivalency Prep Programs,GED and Alternative High School Equivalency
Graduate Programs Only,Colleges or Universities
High School - Non-public,Non-Public K-12 Schools
Historical Societies,Historical Societies
Licensed Private Schools,Proprietary Schools
Middle School - Non-public,Non-Public K-12 Schools
Other School - Non-public,Non-Public K-12 Schools
Pre-School Evaluation Providers For  Swd,Preschools for Students with Disabilities
Pre-School For Students With Disabilities,Preschools for Students with Disabilities
Private Museums And Sites,Museums
Proprietary Schools,Proprietary Schools
Public Museums And Sites,Museums
Regents Approved Foreign Colleges,Non-Public K-12 Schools
Registered Business Schools,Proprietary Schools
Registered Esl Schools,Proprietary Schools
Satellite Site For Students With Disabilities,Non-Public K-12 Schools
Special Libraries,Academic and Special Libraries
Summer Only Feeding Site,Child Nutrition
SUNY - Community Colleges,Colleges or Universities
SUNY - Health Science Centers,Colleges or Universities
SUNY - Specialized Colleges,Colleges or Universities
Usda Community Eligibility Option,Child Nutrition
