GeoType,Geog,Name,HUnits
NYC2020,citywide,NYC,3371062
Boro2020,MN,Manhattan,847090
Boro2020,BX,Bronx,511896
Boro2020,BK,Brooklyn,1000293
Boro2020,QN,Queens,835127
Boro2020,SI,Staten Island,176656
NTA2020,BK0101,Greenpoint,17594
NTA2020,BK0102,Williamsburg,21567
NTA2020,BK0103,South Williamsburg,10995
NTA2020,BK0104,East Williamsburg,21949
NTA2020,BK0201,Brooklyn Heights,12374
NTA2020,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,12373
NTA2020,BK0203,Fort Greene,12847
NTA2020,BK0204,Clinton Hill,12170
NTA2020,BK0261,Brooklyn Navy Yard,1
NTA2020,BK0301,Bedford-Stuyvesant (West),31449
NTA2020,BK0302,Bedford-Stuyvesant (East),33740
NTA2020,BK0401,Bushwick (West),18590
NTA2020,BK0402,Bushwick (East),21397
NTA2020,BK0471,The Evergreens Cemetery,5
NTA2020,BK0501,Cypress Hills,13184
NTA2020,BK0502,East New York (North),13575
NTA2020,BK0503,East New York-New Lots,18318
NTA2020,BK0504,Spring Creek-Starrett City,6500
NTA2020,BK0505,East New York-City Line,14400
NTA2020,BK0571,Highland Park-Cypress Hills Cemeteries (South),2
NTA2020,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,25460
NTA2020,BK0602,Park Slope,26045
NTA2020,BK0701,Windsor Terrace-South Slope,10545
NTA2020,BK0702,Sunset Park (West),17143
NTA2020,BK0703,Sunset Park (Central),14996
NTA2020,BK0771,Green-Wood Cemetery,2
NTA2020,BK0801,Prospect Heights,9847
NTA2020,BK0802,Crown Heights (North),33698
NTA2020,BK0891,Lincoln Terrace Park,0
NTA2020,BK0901,Crown Heights (South),19103
NTA2020,BK0902,Prospect Lefferts Gardens-Wingate,18907
NTA2020,BK1001,Bay Ridge,39817
NTA2020,BK1002,Dyker Heights,16906
NTA2020,BK1061,Fort Hamilton,288
NTA2020,BK1091,Dyker Beach Park,0
NTA2020,BK1101,Bensonhurst,37291
NTA2020,BK1102,Bath Beach,12744
NTA2020,BK1103,Gravesend (West),22253
NTA2020,BK1201,Sunset Park (East)-Borough Park (West),9989
NTA2020,BK1202,Borough Park,24367
NTA2020,BK1203,Kensington,14351
NTA2020,BK1204,Mapleton-Midwood (West),14052
NTA2020,BK1301,Gravesend (South),11951
NTA2020,BK1302,Coney Island-Sea Gate,21852
NTA2020,BK1303,Brighton Beach,14870
NTA2020,BK1391,Calvert Vaux Park,0
NTA2020,BK1401,Flatbush,25175
NTA2020,BK1402,Flatbush (West)-Ditmas Park-Parkville,15371
NTA2020,BK1403,Midwood,19373
NTA2020,BK1501,Gravesend (East)-Homecrest,20967
NTA2020,BK1502,Madison,16946
NTA2020,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,29707
NTA2020,BK1601,Ocean Hill,13266
NTA2020,BK1602,Brownsville,19815
NTA2020,BK1701,East Flatbush-Erasmus,17378
NTA2020,BK1702,East Flatbush-Farragut,12000
NTA2020,BK1703,East Flatbush-Rugby,14687
NTA2020,BK1704,East Flatbush-Remsen Village,15206
NTA2020,BK1771,Holy Cross Cemetery,10
NTA2020,BK1801,Flatlands,23258
NTA2020,BK1802,Marine Park-Mill Basin-Bergen Beach,18324
NTA2020,BK1803,Canarsie,29281
NTA2020,BK1891,Marine Park-Plumb Island,0
NTA2020,BK1892,McGuire Fields,0
NTA2020,BK1893,Canarsie Park & Pier,0
NTA2020,BK5591,Prospect Park,0
NTA2020,BK5691,Barren Island-Floyd Bennett Field,22
NTA2020,BK5692,Jamaica Bay (West),0
NTA2020,BK5693,Shirley Chisholm State Park,0
NTA2020,BX0101,Mott Haven-Port Morris,18144
NTA2020,BX0102,Melrose,13532
NTA2020,BX0201,Hunts Point,5192
NTA2020,BX0202,Longwood,13127
NTA2020,BX0291,North & South Brother Islands,0
NTA2020,BX0301,Morrisania,11195
NTA2020,BX0302,Claremont Village-Claremont (East),7292
NTA2020,BX0303,Crotona Park East,9410
NTA2020,BX0391,Crotona Park,0
NTA2020,BX0401,Concourse-Concourse Village,24316
NTA2020,BX0402,Highbridge,10911
NTA2020,BX0403,Mount Eden-Claremont (West),16228
