school,address
P.S. @ 2 HUDSON SQUARE,417 CANAL STREET
I.S. @ 44-59 45TH AVENUE,44-59 5TH STREET
I.S. @ 21-31 & 35 DELEVAN STREET,21 DELEVAN STREET
MEDGAR EVERS COLLEGE PREP SCHOOL ANNEX,1186 CARROLL STREET
P.S. 19 ADDITION,780 POST AVENUE
P.S. @ PARCEL F,1-35 57TH AVENUE
