CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050019001014,36005001900,BX39,3710,0
360050019001015,36005001900,BX39,3710,12
360050019001016,36005001900,BX39,3710,0
360050019001017,36005001900,BX39,3710,0
360050019001018,36005001900,BX39,3710,0
360050019001019,36005001900,BX39,3710,0
360050019001020,36005001900,BX39,3710,0
360050019001021,36005001900,BX39,3710,0
360050019001022,36005001900,BX39,3710,10
360050019002000,36005001900,BX39,3710,0
360050019002001,36005001900,BX39,3710,0
360050019002002,36005001900,BX39,3710,23
360050019002003,36005001900,BX39,3710,0
360050019002004,36005001900,BX39,3710,0
360050019002005,36005001900,BX39,3710,0
360050019002006,36005001900,BX39,3710,0
360050019002007,36005001900,BX39,3710,0
360050019002008,36005001900,BX39,3710,0
360050019002009,36005001900,BX39,3710,0
360050019002010,36005001900,BX39,3710,0
360050019002011,36005001900,BX39,3710,0
360050019003000,36005001900,BX39,3710,0
360050019003001,36005001900,BX39,3710,0
360050019003002,36005001900,BX39,3710,0
360050019003003,36005001900,BX39,3710,0
360050019003004,36005001900,BX39,3710,70
360050019003005,36005001900,BX39,3710,0
360050019003006,36005001900,BX39,3710,0
360050019003007,36005001900,BX39,3710,0
360050019003008,36005001900,BX39,3710,19
360050019003009,36005001900,BX39,3710,0
360050019003010,36005001900,BX39,3710,0
360050019003011,36005001900,BX39,3710,0
360050019003012,36005001900,BX39,3710,0
360050019003013,36005001900,BX39,3710,0
360050019003014,36005001900,BX39,3710,1
360050019003015,36005001900,BX39,3710,0
360050019003016,36005001900,BX39,3710,0
360050019003017,36005001900,BX39,3710,26
360050019003018,36005001900,BX39,3710,0
360050019003019,36005001900,BX39,3710,0
360050019003020,36005001900,BX39,3710,0
360050019003021,36005001900,BX39,3710,0
360050019003022,36005001900,BX39,3710,102
360050019003023,36005001900,BX39,3710,0
360050019003024,36005001900,BX39,3710,0
360050019003025,36005001900,BX39,3710,0
360050019003026,36005001900,BX39,3710,0
360050019003027,36005001900,BX39,3710,0
360050019003028,36005001900,BX39,3710,0
360050019003029,36005001900,BX39,3710,0
360050019003030,36005001900,BX39,3710,0
360050019003031,36005001900,BX39,3710,0
360050019003032,36005001900,BX39,3710,0
360050019003033,36005001900,BX39,3710,0
360050019003034,36005001900,BX39,3710,0
360050019003035,36005001900,BX39,3710,0
360050019003036,36005001900,BX39,3710,0
360050019003037,36005001900,BX39,3710,0
360050019003038,36005001900,BX39,3710,20
360050019004000,36005001900,BX39,3710,0
360050019004001,36005001900,BX39,3710,0
360050019004002,36005001900,BX39,3710,0
360050019004003,36005001900,BX39,3710,0
360050019004004,36005001900,BX39,3710,0
360050019004005,36005001900,BX39,3710,0
360050019004006,36005001900,BX39,3710,0
360050019004007,36005001900,BX39,3710,0
360050019004008,36005001900,BX39,3710,0
360050019004009,36005001900,BX39,3710,0
360050019004010,36005001900,BX39,3710,0
360050019004011,36005001900,BX39,3710,0
360050019004012,36005001900,BX39,3710,0
360050019004013,36005001900,BX39,3710,0
360050019004014,36005001900,BX39,3710,0
360050019004015,36005001900,BX39,3710,0
360050019005000,36005001900,BX39,3710,0
