BCT2010,CenTract10,NTA2010,PUMA2010,adjunits10
2015100,36005015100,BX35,3705,1938
2015200,36005015200,BX52,3703,987
2015300,36005015300,BX75,3705,1494
2015500,36005015500,BX75,3705,1034
2015700,36005015700,BX75,3705,1321
2015800,36005015800,BX52,3703,480
2015900,36005015900,BX27,3710,686
2016000,36005016000,BX52,3703,1655
2016100,36005016100,BX75,3705,1772
2016200,36005016200,BX52,3703,626
2016300,36005016300,BX99,3705,0
2016400,36005016400,BX52,3703,481
2016500,36005016500,BX01,3705,386
2016600,36005016600,BX52,3703,814
2016700,36005016700,BX01,3705,711
2016900,36005016900,BX01,3705,489
2017100,36005017100,BX99,3708,0
2017300,36005017300,BX14,3708,2101
2017500,36005017500,BX14,3708,2598
2017701,36005017701,BX14,3708,1375
2017702,36005017702,BX14,3708,1760
2017901,36005017901,BX14,3708,1530
2017902,36005017902,BX14,3708,1132
2018101,36005018101,BX14,3708,1103
2018102,36005018102,BX14,3708,1665
2018301,36005018301,BX14,3708,2000
2018302,36005018302,BX14,3708,1312
2018400,36005018400,BX52,3703,1672
2018500,36005018500,BX35,3705,2761
2018900,36005018900,BX26,3708,2782
2019300,36005019300,BX26,3708,2029
2019400,36005019400,BX52,3703,746
2019500,36005019500,BX63,3708,2694
2019700,36005019700,BX63,3708,2230
2019900,36005019900,BX26,3708,2814
2020000,36005020000,BX37,3704,1663
2020100,36005020100,BX26,3708,1326
2020200,36005020200,BX59,3709,907
2020400,36005020400,BX59,3709,1103
2020501,36005020501,BX36,3707,2688
2020502,36005020502,BX36,3707,699
2020601,36005020601,BX59,3709,1179
2020900,36005020900,BX63,3708,1677
2021001,36005021001,BX46,3709,4069
2021002,36005021002,BX46,3709,3136
2021100,36005021100,BX26,3708,1960
2021200,36005021200,BX46,3709,2318
2021301,36005021301,BX36,3707,410
2021302,36005021302,BX26,3708,1935
2021501,36005021501,BX36,3707,1102
2021502,36005021502,BX36,3707,2062
2021601,36005021601,BX08,3709,1707
2021602,36005021602,BX46,3709,2560
2021700,36005021700,BX36,3707,1876
2021800,36005021800,BX08,3709,2409
2021900,36005021900,BX26,3708,429
2022000,36005022000,BX17,3705,459
2022101,36005022101,BX63,3708,1177
2022102,36005022102,BX63,3708,1691
2022200,36005022200,BX46,3709,1244
2022300,36005022300,BX63,3708,1802
2022401,36005022401,BX49,3704,1146
2022403,36005022403,BX49,3704,1340
2022404,36005022404,BX49,3704,1863
2022500,36005022500,BX14,3708,2294
2022701,36005022701,BX41,3707,1784
2022702,36005022702,BX41,3707,634
2022703,36005022703,BX41,3707,567
2022800,36005022800,BX49,3704,2537
2022901,36005022901,BX41,3707,1849
2022902,36005022902,BX41,3707,1130
2023000,36005023000,BX37,3704,1071
2023100,36005023100,BX41,3707,445
2023200,36005023200,BX37,3704,968
2023301,36005023301,BX41,3707,1560
2023302,36005023302,BX41,3707,1020
2023501,36005023501,BX41,3707,1061
2023502,36005023502,BX41,3707,1662
2023600,36005023600,BX37,3704,673
2023702,36005023702,BX05,3706,344
2023703,36005023703,BX40,3707,1546
2023704,36005023704,BX40,3707,1372
2023800,36005023800,BX37,3704,911
2023900,36005023900,BX40,3707,2619
2024000,36005024000,BX37,3704,1398
2024100,36005024100,BX41,3707,2029
2024300,36005024300,BX36,3707,1987
2024400,36005024400,BX37,3704,878
2024501,36005024501,BX36,3707,1583
2024502,36005024502,BX36,3707,1169
2024600,36005024600,BX49,3704,805
2024700,36005024700,BX36,3707,651
2024800,36005024800,BX49,3704,1294
2024900,36005024900,BX36,3707,0
2025000,36005025000,BX49,3704,1085
2025100,36005025100,BX36,3707,2141
2025200,36005025200,BX37,3704,1032
2025300,36005025300,BX30,3706,1989
2025400,36005025400,BX37,3704,876
2025500,36005025500,BX30,3706,2194
2025600,36005025600,BX37,3704,702
2025700,36005025700,BX36,3707,684
2026100,36005026100,BX30,3706,1049
2026300,36005026300,BX30,3706,2339
2026400,36005026400,BX52,3703,2162
2026500,36005026500,BX30,3706,2114
2026601,36005026601,BX10,3703,1450
2026602,36005026602,BX10,3703,2696
2026701,36005026701,BX28,3701,1388
2026702,36005026702,BX28,3701,2489
2026900,36005026900,BX30,3706,1427
2027300,36005027300,BX28,3701,2670
2027401,36005027401,BX10,3703,1950
2027402,36005027402,BX10,3703,1413
2027600,36005027600,BX99,3703,218
2027700,36005027700,BX28,3701,1844
2027900,36005027900,BX28,3701,2972
2028100,36005028100,BX28,3701,1790
2028300,36005028300,BX29,3701,1357
2028400,36005028400,BX37,3704,67
2028500,36005028500,BX29,3701,1698
2028600,36005028600,BX37,3704,540
2028700,36005028700,BX29,3701,1265
2028800,36005028800,BX49,3704,1273
2028900,36005028900,BX29,3701,1823
2029301,36005029301,BX29,3701,994
2029302,36005029302,BX29,3701,2884
2029500,36005029500,BX29,3701,2181
2029600,36005029600,BX49,3704,773
2029700,36005029700,BX29,3701,1884
2030000,36005030000,BX10,3703,2759
2030100,36005030100,BX29,3701,621
2030200,36005030200,BX13,3703,4258
2030701,36005030701,BX22,3701,2898
2030900,36005030900,BX22,3701,1461
2031000,36005031000,BX31,3704,1339
2031200,36005031200,BX31,3704,614
2031400,36005031400,BX31,3704,689
2031600,36005031600,BX31,3704,658
2031800,36005031800,BX31,3704,646
2031900,36005031900,BX22,3701,0
2032300,36005032300,BX22,3701,2866
2032400,36005032400,BX07,3704,1293
2032600,36005032600,BX31,3704,1169
2032800,36005032800,BX07,3704,1479
2033000,36005033000,BX07,3704,2200
2033201,36005033201,BX07,3704,1946
2033202,36005033202,BX07,3704,1672
2033400,36005033400,BX99,3705,624
2033500,36005033500,BX22,3701,810
2033600,36005033600,BX07,3704,2639
2033700,36005033700,BX22,3701,1015
2033800,36005033800,BX07,3704,1452
2034000,36005034000,BX07,3704,1814
2034200,36005034200,BX31,3704,640
2034300,36005034300,BX22,3701,642
2034400,36005034400,BX31,3704,642
2034500,36005034500,BX22,3701,1764
2034800,36005034800,BX31,3704,2180
2035000,36005035000,BX31,3704,701
2035100,36005035100,BX22,3701,1170
2035600,36005035600,BX03,3702,702
2035800,36005035800,BX03,3702,2576
2035900,36005035900,BX17,3705,705
2036000,36005036000,BX31,3704,959
2036100,36005036100,BX17,3705,2191
2036300,36005036300,BX17,3705,2613
2036400,36005036400,BX03,3702,935
2036501,36005036501,BX17,3705,1399
2036502,36005036502,BX17,3705,790
2036700,36005036700,BX17,3705,690
2036800,36005036800,BX44,3702,666
2036901,36005036901,BX17,3705,791
2036902,36005036902,BX17,3705,762
2037000,36005037000,BX44,3702,856
2037100,36005037100,BX17,3705,1791
2037200,36005037200,BX44,3702,872
2037300,36005037300,BX17,3705,1905
2037400,36005037400,BX44,3702,1453
2037504,36005037504,BX17,3705,1320
2037600,36005037600,BX44,3702,850
2037800,36005037800,BX44,3702,1105
2037900,36005037900,BX41,3707,1654
2038000,36005038000,BX44,3702,1869
2038100,36005038100,BX41,3707,2193
2038200,36005038200,BX44,3702,963
2038301,36005038301,BX40,3707,1588
2038302,36005038302,BX40,3707,2009
2038500,36005038500,BX01,3705,1600
2038600,36005038600,BX03,3702,2818
2038700,36005038700,BX06,3705,1310
2038800,36005038800,BX44,3702,930
2038900,36005038900,BX06,3705,1946
2039000,36005039000,BX44,3702,1055
2039100,36005039100,BX06,3705,2564
2039200,36005039200,BX44,3702,631
2039300,36005039300,BX06,3705,3282
2039400,36005039400,BX44,3702,1686
2039500,36005039500,BX01,3705,1531
2039600,36005039600,BX44,3702,1508
2039700,36005039700,BX06,3705,573
2039800,36005039800,BX44,3702,1130
2039901,36005039901,BX05,3706,1734
2039902,36005039902,BX05,3706,1693
2040100,36005040100,BX05,3706,1547
2040302,36005040302,BX05,3706,1413
2040303,36005040303,BX28,3701,1557
2040304,36005040304,BX28,3701,1264
2040400,36005040400,BX44,3702,1140
2040501,36005040501,BX05,3706,1426
2040502,36005040502,BX05,3706,2363
2040600,36005040600,BX44,3702,1312
2040701,36005040701,BX28,3701,1221
2040702,36005040702,BX05,3706,2509
2040800,36005040800,BX44,3702,1618
2040900,36005040900,BX28,3701,1475
2041100,36005041100,BX05,3706,1227
2041300,36005041300,BX05,3706,2983
2041400,36005041400,BX62,3702,1851
2041500,36005041500,BX05,3706,2279
2041800,36005041800,BX62,3702,1325
2041900,36005041900,BX43,3706,2584
2042000,36005042000,BX44,3702,1467
2042100,36005042100,BX43,3706,2390
2042200,36005042200,BX44,3702,1204
2042300,36005042300,BX43,3706,1489
2042400,36005042400,BX44,3702,870
2042500,36005042500,BX43,3706,2291
2042600,36005042600,BX62,3702,2253
2042800,36005042800,BX62,3702,753
2042901,36005042901,BX43,3706,1256
2042902,36005042902,BX43,3706,1465
2043000,36005043000,BX62,3702,1080
2043100,36005043100,BX43,3706,3551
2043400,36005043400,BX62,3702,1374
2043500,36005043500,BX99,3702,12
2043600,36005043600,BX62,3702,731
2044200,36005044200,BX62,3702,1368
2044400,36005044400,BX62,3702,1396
2044800,36005044800,BX62,3702,706
2044901,36005044901,BX62,3702,938
2044902,36005044902,BX62,3702,985
2045101,36005045101,BX62,3702,919
2045102,36005045102,BX62,3702,998
2045600,36005045600,BX03,3702,1132
2045800,36005045800,BX03,3702,2037
2046000,36005046000,BX03,3702,1020
2046201,36005046201,BX13,3703,12651
2046202,36005046202,BX13,3703,2681
2048400,36005048400,BX03,3702,1294
2050400,36005050400,BX99,3703,19
2051600,36005051600,BX10,3703,2205
3000100,36047000100,BK09,4004,2348
3000200,36047000200,BK32,4012,386
3000301,36047000301,BK09,4004,2180
3000501,36047000501,BK09,4004,2004
3000502,36047000502,BK09,4004,1623
3000700,36047000700,BK09,4004,2128
3000900,36047000900,BK09,4004,2091
3001100,36047001100,BK38,4004,53
3001300,36047001300,BK38,4004,1036
3001500,36047001500,BK38,4004,2796
3001800,36047001800,BK32,4012,4
3002000,36047002000,BK32,4012,480
3002100,36047002100,BK38,4004,1708
3002200,36047002200,BK32,4012,1630
3002300,36047002300,BK38,4004,1513
3002901,36047002901,BK68,4004,1265
3003000,36047003000,BK31,4013,786
3003100,36047003100,BK68,4004,979
3003300,36047003300,BK68,4004,1402
3003400,36047003400,BK31,4013,1538
3003500,36047003500,BK68,4004,905
3003600,36047003600,BK31,4013,1962
3003700,36047003700,BK38,4004,201
3003800,36047003800,BK31,4013,775
3003900,36047003900,BK38,4004,1040
3004100,36047004100,BK38,4004,1631
3004300,36047004300,BK38,4004,1581
3004400,36047004400,BK31,4013,1070
3004500,36047004500,BK33,4005,1740
3004600,36047004600,BK31,4013,604
3004700,36047004700,BK33,4005,704
3004900,36047004900,BK33,4005,1070
3005000,36047005000,BK31,4013,1181
3005100,36047005100,BK33,4005,1079
3005201,36047005201,BK31,4013,1191
3005202,36047005202,BK31,4013,1522
3005300,36047005300,BK33,4005,988
3005400,36047005400,BK31,4013,1876
3005601,36047005601,BK31,4013,1546
3005602,36047005602,BK31,4013,1004
3005800,36047005800,BK31,4013,1747
3005900,36047005900,BK33,4005,687
3006000,36047006000,BK31,4013,1265
3006200,36047006200,BK31,4013,1332
3006300,36047006300,BK33,4005,980
3006400,36047006400,BK31,4013,1642
3006500,36047006500,BK33,4005,2712
3006600,36047006600,BK31,4013,1781
3006700,36047006700,BK33,4005,1590
3006800,36047006800,BK31,4013,1999
3006900,36047006900,BK38,4004,1720
3007000,36047007000,BK31,4013,1142
3007100,36047007100,BK38,4004,1729
3007200,36047007200,BK32,4012,613
3007400,36047007400,BK32,4012,1541
3007500,36047007500,BK33,4005,2196
3007600,36047007600,BK32,4012,1430
3007700,36047007700,BK33,4005,1970
3007800,36047007800,BK32,4012,1552
3008000,36047008000,BK32,4012,1299
3008200,36047008200,BK32,4012,1390
3008400,36047008400,BK32,4012,1098
3008500,36047008500,BK33,4005,2850
3008600,36047008600,BK34,4012,0
3008800,36047008800,BK34,4012,1172
3009000,36047009000,BK34,4012,887
3009200,36047009200,BK34,4012,1643
3009400,36047009400,BK34,4012,1676
3009600,36047009600,BK34,4012,1881
3009800,36047009800,BK34,4012,1839
3010000,36047010000,BK34,4012,1880
3010100,36047010100,BK32,4012,1497
3010200,36047010200,BK34,4012,1509
3010400,36047010400,BK34,4012,1744
3010600,36047010600,BK34,4012,1619
3010800,36047010800,BK34,4012,1551
3011000,36047011000,BK34,4012,710
3011200,36047011200,BK34,4012,2001
3011400,36047011400,BK88,4014,1249
3011600,36047011600,BK88,4014,1351
3011700,36047011700,BK37,4005,1250
3011800,36047011800,BK34,4012,643
3011900,36047011900,BK37,4005,751
3012000,36047012000,BK34,4012,380
3012100,36047012100,BK37,4005,766
3012200,36047012200,BK32,4012,1630
3012600,36047012600,BK31,4013,995
3012700,36047012700,BK38,4004,1492
3012801,36047012801,BK30,4013,832
3012901,36047012901,BK37,4005,1038
3012902,36047012902,BK37,4005,1032
3013000,36047013000,BK31,4013,2100
3013100,36047013100,BK37,4005,1886
3013200,36047013200,BK30,4013,852
3013300,36047013300,BK37,4005,1849
3013400,36047013400,BK31,4013,1778
3013500,36047013500,BK37,4005,1614
3013600,36047013600,BK31,4013,1767
3013700,36047013700,BK37,4005,1486
3013800,36047013800,BK31,4013,1516
3013900,36047013900,BK37,4005,1612
3014000,36047014000,BK30,4013,920
3014100,36047014100,BK37,4005,1385
3014200,36047014200,BK31,4013,1521
3014300,36047014300,BK37,4005,1535
3014500,36047014500,BK32,4012,1793
3014700,36047014700,BK32,4012,895
3014800,36047014800,BK30,4013,571
3014900,36047014900,BK37,4005,2325
3015000,36047015000,BK30,4013,823
3015100,36047015100,BK37,4005,1666
3015200,36047015200,BK30,4013,1036
3015300,36047015300,BK37,4005,1298
3015400,36047015400,BK99,4013,0
3015500,36047015500,BK37,4005,1572
3015700,36047015700,BK37,4005,2128
3015900,36047015900,BK37,4005,2835
3016000,36047016000,BK31,4013,1995
3016100,36047016100,BK64,4006,1521
3016200,36047016200,BK31,4013,1146
3016300,36047016300,BK64,4006,1523
3016400,36047016400,BK31,4013,288
3016500,36047016500,BK37,4005,2543
3016600,36047016600,BK30,4013,885
3016700,36047016700,BK37,4005,2199
3016800,36047016800,BK27,4017,806
3016900,36047016900,BK40,4012,2151
3017000,36047017000,BK27,4017,1405
3017100,36047017100,BK40,4012,1702
3017200,36047017200,BK27,4017,1245
3017400,36047017400,BK27,4017,832
3017500,36047017500,BK99,4012,2
3017600,36047017600,BK27,4017,996
3017700,36047017700,BK99,4005,0
3017800,36047017800,BK27,4017,1013
3017900,36047017900,BK68,4004,1590
3018000,36047018000,BK27,4017,1272
3018100,36047018100,BK68,4004,2288
3018200,36047018200,BK28,4017,1295
3018300,36047018300,BK68,4004,1316
3018400,36047018400,BK28,4017,956
3018501,36047018501,BK68,4004,1687
3018600,36047018600,BK28,4017,816
3018700,36047018700,BK68,4004,621
3018800,36047018800,BK28,4017,1137
3019000,36047019000,BK28,4017,1793
3019100,36047019100,BK69,4004,1154
3019200,36047019200,BK88,4014,990
3019300,36047019300,BK69,4004,2350
3019400,36047019400,BK30,4013,1272
3019500,36047019500,BK69,4004,1838
3019600,36047019600,BK30,4013,1694
3019700,36047019700,BK69,4004,1824
3019800,36047019800,BK30,4013,782
3019900,36047019900,BK69,4004,1616
3020000,36047020000,BK30,4013,878
3020100,36047020100,BK69,4004,1822
3020200,36047020200,BK30,4013,820
3020300,36047020300,BK64,4006,740
3020400,36047020400,BK30,4013,745
3020500,36047020500,BK64,4006,1310
3020600,36047020600,BK30,4013,951
3020700,36047020700,BK64,4006,2180
3020800,36047020800,BK30,4013,1283
3021000,36047021000,BK30,4013,1561
3021100,36047021100,BK68,4004,587
3021200,36047021200,BK30,4013,1657
3021300,36047021300,BK63,4011,1866
3021400,36047021400,BK88,4014,619
3021500,36047021500,BK64,4006,2573
3021600,36047021600,BK88,4014,1046
3021700,36047021700,BK61,4006,1615
3021800,36047021800,BK88,4014,1041
3021900,36047021900,BK61,4006,1615
3022000,36047022000,BK88,4014,1419
3022100,36047022100,BK61,4006,1640
3022200,36047022200,BK88,4014,1308
3022400,36047022400,BK88,4014,1451
3022600,36047022600,BK88,4014,664
3022700,36047022700,BK69,4004,1731
3022800,36047022800,BK88,4014,861
3022900,36047022900,BK69,4004,1716
3023000,36047023000,BK88,4014,1184
3023100,36047023100,BK69,4004,1566
3023200,36047023200,BK88,4014,1571
3023300,36047023300,BK75,4003,1927
3023400,36047023400,BK88,4014,1531
3023500,36047023500,BK69,4004,1380
3023600,36047023600,BK88,4014,1775
3023800,36047023800,BK88,4014,1452
3024000,36047024000,BK88,4014,1470
3024100,36047024100,BK75,4003,1052
3024200,36047024200,BK88,4014,1120
3024300,36047024300,BK75,4003,1928
3024400,36047024400,BK88,4014,1144
3024500,36047024500,BK75,4003,1937
3024600,36047024600,BK88,4014,1151
3024700,36047024700,BK61,4006,1088
3024800,36047024800,BK28,4017,973
3024900,36047024900,BK75,4003,1948
3025000,36047025000,BK28,4017,634
3025100,36047025100,BK75,4003,1522
3025200,36047025200,BK28,4017,1989
3025300,36047025300,BK75,4003,1405
3025400,36047025400,BK28,4017,1284
3025500,36047025500,BK75,4003,1715
3025600,36047025600,BK28,4017,1126
3025700,36047025700,BK75,4003,707
3025800,36047025800,BK28,4017,1713
3025901,36047025901,BK75,4003,738
3025902,36047025902,BK75,4003,1057
3026000,36047026000,BK28,4017,1347
3026100,36047026100,BK75,4003,2255
3026200,36047026200,BK28,4017,926
3026300,36047026300,BK75,4003,892
3026400,36047026400,BK28,4017,1764
3026500,36047026500,BK75,4003,1677
3026600,36047026600,BK28,4017,1371
3026700,36047026700,BK75,4003,2038
3026800,36047026800,BK28,4017,1582
3026900,36047026900,BK75,4003,1344
3027000,36047027000,BK28,4017,996
3027100,36047027100,BK61,4006,1011
3027200,36047027200,BK28,4017,1260
3027300,36047027300,BK35,4003,1368
3027400,36047027400,BK28,4017,1137
3027500,36047027500,BK35,4003,1924
3027600,36047027600,BK28,4017,1313
3027700,36047027700,BK35,4003,1735
3027800,36047027800,BK28,4017,1283
3027900,36047027900,BK35,4003,1700
3028000,36047028000,BK27,4017,728
3028100,36047028100,BK35,4003,1635
3028200,36047028200,BK27,4017,1330
3028300,36047028300,BK35,4003,1540
3028400,36047028400,BK28,4017,1483
3028501,36047028501,BK78,4002,138
3028502,36047028502,BK35,4003,1104
3028600,36047028600,BK27,4017,2125
3028700,36047028700,BK35,4003,1154
3028800,36047028800,BK28,4017,1273
3028900,36047028900,BK35,4003,1392
3029000,36047029000,BK28,4017,1632
3029100,36047029100,BK35,4003,1389
3029200,36047029200,BK27,4017,992
3029300,36047029300,BK35,4003,1448
3029400,36047029400,BK28,4017,628
3029500,36047029500,BK35,4003,1818
3029600,36047029600,BK28,4017,2228
3029700,36047029700,BK61,4006,1685
3029800,36047029800,BK29,4017,1477
3029900,36047029900,BK61,4006,972
3030000,36047030000,BK29,4017,1496
3030100,36047030100,BK79,4007,1150
3030200,36047030200,BK29,4017,1669
3030300,36047030300,BK79,4007,1732
3030400,36047030400,BK29,4017,1747
3030500,36047030500,BK61,4006,2465
3030600,36047030600,BK26,4018,777
3030700,36047030700,BK61,4006,2088
3030800,36047030800,BK26,4018,837
3030900,36047030900,BK61,4006,677
3031100,36047031100,BK61,4006,1253
3031300,36047031300,BK61,4006,2285
3031400,36047031400,BK26,4018,2101
3031500,36047031500,BK61,4006,2569
3031701,36047031701,BK61,4006,1598
3031702,36047031702,BK61,4006,1629
3031900,36047031900,BK63,4011,1397
3032100,36047032100,BK63,4011,2046
3032300,36047032300,BK63,4011,1470
3032500,36047032500,BK63,4011,2511
3032600,36047032600,BK21,4018,2451
3032700,36047032700,BK60,4011,1312
3032800,36047032800,BK21,4018,1072
3032900,36047032900,BK60,4011,2301
3033000,36047033000,BK21,4018,1752
3033100,36047033100,BK63,4011,1546
3033300,36047033300,BK63,4011,1310
3033500,36047033500,BK63,4011,904
3033600,36047033600,BK21,4018,2232
3033700,36047033700,BK61,4006,1536
3033900,36047033900,BK61,4006,1950
3034000,36047034000,BK21,4018,649
3034100,36047034100,BK61,4006,1058
3034200,36047034200,BK21,4018,2892
3034300,36047034300,BK61,4006,2101
3034500,36047034500,BK61,4006,1149
3034700,36047034700,BK61,4006,1500
3034800,36047034800,BK21,4018,872
3034900,36047034900,BK61,4006,2084
3035000,36047035000,BK23,4018,1573
3035100,36047035100,BK61,4006,1756
3035200,36047035200,BK21,4018,524
3035300,36047035300,BK61,4006,2008
3035400,36047035400,BK23,4018,3384
3035500,36047035500,BK63,4011,2016
3035601,36047035601,BK23,4018,1545
3035602,36047035602,BK23,4018,2906
3035700,36047035700,BK61,4006,932
3035900,36047035900,BK61,4006,2227
3036001,36047036001,BK19,4018,1870
3036002,36047036002,BK19,4018,2233
3036100,36047036100,BK79,4007,1106
3036200,36047036200,BK19,4018,1677
3036300,36047036300,BK79,4007,1727
3036400,36047036400,BK19,4018,1089
3036501,36047036501,BK79,4007,1202
3036502,36047036502,BK79,4007,505
3036600,36047036600,BK19,4018,1641
3036700,36047036700,BK79,4007,524
3036900,36047036900,BK79,4007,1983
3037000,36047037000,BK19,4018,1837
3037100,36047037100,BK79,4007,1696
3037300,36047037300,BK79,4007,1641
3037401,36047037401,BK26,4018,2032
3037402,36047037402,BK26,4018,2261
3037500,36047037500,BK35,4003,1259
3037700,36047037700,BK35,4003,1717
3037900,36047037900,BK35,4003,1566
3038100,36047038100,BK61,4006,2092
3038200,36047038200,BK26,4018,2106
3038300,36047038300,BK35,4003,1861
3038500,36047038500,BK35,4003,1605
3038600,36047038600,BK26,4018,1357
3038700,36047038700,BK35,4003,1627
3038800,36047038800,BK25,4016,1638
3038900,36047038900,BK78,4002,1141
3039000,36047039000,BK25,4016,988
3039100,36047039100,BK78,4002,887
3039200,36047039200,BK25,4016,1207
3039300,36047039300,BK78,4002,1360
3039400,36047039400,BK25,4016,966
3039500,36047039500,BK78,4002,1351
3039600,36047039600,BK25,4016,947
3039700,36047039700,BK78,4002,1401
3039800,36047039800,BK26,4018,1043
3039900,36047039900,BK78,4002,1449
3040000,36047040000,BK29,4017,1267
3040100,36047040100,BK78,4002,1324
3040200,36047040200,BK29,4017,1045
3040300,36047040300,BK78,4002,1353
3040400,36047040400,BK29,4017,1026
3040500,36047040500,BK78,4002,602
3040600,36047040600,BK29,4017,1372
3040700,36047040700,BK99,4002,5
3040800,36047040800,BK29,4017,1316
3040900,36047040900,BK77,4002,1285
3041000,36047041000,BK29,4017,844
3041100,36047041100,BK78,4002,1296
3041200,36047041200,BK29,4017,1250
3041300,36047041300,BK78,4002,1383
3041401,36047041401,BK25,4016,578
3041402,36047041402,BK25,4016,765
3041500,36047041500,BK78,4002,1424
3041600,36047041600,BK25,4016,891
3041700,36047041700,BK78,4002,1392
3041800,36047041800,BK25,4016,984
3041900,36047041900,BK78,4002,1279
3042000,36047042000,BK25,4016,626
3042100,36047042100,BK78,4002,1359
3042200,36047042200,BK25,4016,1336
3042300,36047042300,BK78,4002,1318
3042400,36047042400,BK29,4017,1493
3042500,36047042500,BK78,4002,1027
3042600,36047042600,BK29,4017,1615
3042700,36047042700,BK77,4002,1671
3042800,36047042800,BK29,4017,1780
3042900,36047042900,BK77,4002,1829
3043000,36047043000,BK29,4017,1434
3043100,36047043100,BK77,4002,1768
3043200,36047043200,BK29,4017,1656
3043300,36047043300,BK77,4002,1347
3043400,36047043400,BK29,4017,1392
3043500,36047043500,BK77,4002,1481
3043600,36047043600,BK29,4017,1726
3043700,36047043700,BK77,4002,1761
3043800,36047043800,BK46,4014,1070
3043900,36047043900,BK77,4002,1269
3044000,36047044000,BK46,4014,1047
3044100,36047044100,BK77,4002,1917
3044200,36047044200,BK46,4014,1041
3044300,36047044300,BK77,4002,1938
3044400,36047044400,BK46,4014,1371
3044500,36047044500,BK77,4002,1575
3044600,36047044600,BK88,4014,754
3044700,36047044700,BK77,4002,800
3044800,36047044800,BK46,4014,882
3044900,36047044900,BK90,4001,1125
3045000,36047045000,BK46,4014,224
3045200,36047045200,BK46,4014,1053
3045300,36047045300,BK77,4002,626
3045400,36047045400,BK46,4014,693
3045600,36047045600,BK43,4015,960
3045800,36047045800,BK43,4015,585
3046000,36047046000,BK42,4015,1323
3046201,36047046201,BK42,4015,1145
3046202,36047046202,BK46,4014,684
3046400,36047046400,BK88,4014,795
3046800,36047046800,BK88,4014,598
3047000,36047047000,BK88,4014,797
3047200,36047047200,BK88,4014,881
3047400,36047047400,BK88,4014,844
3047600,36047047600,BK88,4014,1058
