BCT2010,CenTract10,NTA2010,PUMA2010,adjunits10
2000100,36005000100,BX98,3710,0
2000200,36005000200,BX09,3709,1449
2000400,36005000400,BX09,3709,1903
2001600,36005001600,BX09,3709,2001
2001900,36005001900,BX39,3710,606
2002000,36005002000,BX09,3709,3135
2002300,36005002300,BX39,3710,1783
2002400,36005002400,BX99,3709,3
2002500,36005002500,BX39,3710,1999
2002701,36005002701,BX39,3710,1075
2002702,36005002702,BX39,3710,1382
2002800,36005002800,BX09,3709,2406
2003100,36005003100,BX39,3710,551
2003300,36005003300,BX39,3710,1186
2003500,36005003500,BX39,3710,1352
2003700,36005003700,BX39,3710,136
2003800,36005003800,BX09,3709,432
2003900,36005003900,BX39,3710,2157
2004001,36005004001,BX55,3709,576
2004100,36005004100,BX39,3710,2083
2004200,36005004200,BX09,3709,2762
2004300,36005004300,BX39,3710,1843
2004400,36005004400,BX55,3709,1682
2004600,36005004600,BX09,3709,648
2004800,36005004800,BX55,3709,1389
2005001,36005005001,BX55,3709,1581
2005002,36005005002,BX55,3709,1987
2005100,36005005100,BX39,3710,1991
2005200,36005005200,BX55,3709,797
2005300,36005005300,BX36,3707,1909
2005400,36005005400,BX08,3709,1931
2005600,36005005600,BX08,3709,1022
2005902,36005005902,BX14,3708,1100
2006000,36005006000,BX75,3705,385
2006100,36005006100,BX14,3708,2232
2006200,36005006200,BX08,3709,2455
2006300,36005006300,BX63,3708,1983
2006400,36005006400,BX08,3709,1407
2006500,36005006500,BX34,3710,1920
2006700,36005006700,BX34,3710,2372
2006800,36005006800,BX55,3709,1099
2006900,36005006900,BX34,3710,2634
2007000,36005007000,BX55,3709,1570
2007100,36005007100,BX34,3710,630
2007200,36005007200,BX55,3709,1856
2007300,36005007300,BX34,3710,1340
2007400,36005007400,BX09,3709,1414
2007500,36005007500,BX34,3710,1670
2007600,36005007600,BX08,3709,1818
2007700,36005007700,BX34,3710,600
2007800,36005007800,BX59,3709,2216
2007900,36005007900,BX34,3710,2366
2008300,36005008300,BX33,3710,2147
2008400,36005008400,BX09,3709,749
2008500,36005008500,BX33,3710,1826
2008600,36005008600,BX09,3709,1481
2008700,36005008700,BX33,3710,1820
2008900,36005008900,BX27,3710,1207
2009000,36005009000,BX09,3709,1209
2009200,36005009200,BX59,3709,1893
2009300,36005009300,BX27,3710,1910
2009600,36005009600,BX59,3709,809
2009800,36005009800,BX59,3709,1806
2011000,36005011000,BX52,3703,48
2011502,36005011502,BX27,3710,1474
2011700,36005011700,BX27,3710,601
2011800,36005011800,BX52,3703,1695
2011900,36005011900,BX27,3710,2027
2012101,36005012101,BX35,3705,999
2012102,36005012102,BX27,3710,520
2012300,36005012300,BX75,3705,1492
2012500,36005012500,BX35,3705,1298
2012701,36005012701,BX27,3710,819
2012901,36005012901,BX33,3710,1519
2013000,36005013000,BX52,3703,482
2013100,36005013100,BX33,3710,1763
2013200,36005013200,BX52,3703,2373
2013300,36005013300,BX35,3705,2339
2013500,36005013500,BX35,3705,1323
2013800,36005013800,BX52,3703,1385
2014100,36005014100,BX35,3705,1271
2014300,36005014300,BX14,3708,393
2014400,36005014400,BX52,3703,2268
2014500,36005014500,BX01,3705,2027
2014701,36005014701,BX01,3705,2033
2014702,36005014702,BX01,3705,1646
2014900,36005014900,BX35,3705,1563
