"boroct2020","boroct2010","ratio"
"05000100","05000100","1.000000000000000000"
"05000200","05000200","1.000000000000000000"
"05000400","05000400","1.000000000000000000"
"05001600","05001600","1.000000000000000000"
"05001901","05001900","0.245696400625978000"
"05001902","05001900","0.754303599374022000"
"05001903","05001900","0.000000000000000000"
"05001904","05001900","0.000000000000000000"
"05002001","05002000","0.523193219562479000"
"05002002","05002000","0.476806780437521000"
"05002300","05002300","1.000000000000000000"
"05002400","05002400","1.000000000000000000"
"05002500","05002500","1.000000000000000000"
"05002701","05002701","1.000000000000000000"
"05002702","05002702","1.000000000000000000"
"05002800","05002800","1.000000000000000000"
"05003100","05003100","1.000000000000000000"
"05003300","05003300","1.000000000000000000"
"05003500","05003500","1.000000000000000000"
"05003700","05003700","1.000000000000000000"
"05003800","05003800","1.000000000000000000"
"05003900","05003900","1.000000000000000000"
"05004001","05004001","1.000000000000000000"
"05004100","05004100","1.000000000000000000"
"05004200","05004200","1.000000000000000000"
"05004300","05004300","1.000000000000000000"
"05004400","05004400","1.000000000000000000"
"05004600","05004600","1.000000000000000000"
"05004800","05004800","1.000000000000000000"
"05005001","05005001","1.000000000000000000"
"05005002","05005002","1.000000000000000000"
"05005100","05005100","1.000000000000000000"
"05005200","05005200","1.000000000000000000"
"05005300","05005300","1.000000000000000000"
"05005400","05005400","1.000000000000000000"
"05005600","05005600","1.000000000000000000"
"05005902","05005902","1.000000000000000000"
"05006000","05006000","1.000000000000000000"
"05006000","05021800","0.000000000000000000"
"05006100","05006100","1.000000000000000000"
"05006200","05006200","1.000000000000000000"
"05006301","05006300","1.000000000000000000"
"05006302","05006300","0.000000000000000000"
"05006400","05006400","1.000000000000000000"
"05006500","05006500","1.000000000000000000"
"05006700","05006700","1.000000000000000000"
"05006800","05006800","1.000000000000000000"
"05006900","05006900","1.000000000000000000"
"05007000","05007000","1.000000000000000000"
"05007100","05007100","1.000000000000000000"
"05007200","05007200","1.000000000000000000"
"05007300","05007300","1.000000000000000000"
"05007400","05007400","1.000000000000000000"
"05007500","05007500","1.000000000000000000"
"05007600","05007600","1.000000000000000000"
"05007700","05007700","1.000000000000000000"
"05007800","05007800","1.000000000000000000"
"05007800","05009600","0.000000000000000000"
"05007900","05007900","1.000000000000000000"
"05008300","05008300","1.000000000000000000"
"05008400","05008400","1.000000000000000000"
"05008500","05008500","1.000000000000000000"
"05008600","05008600","1.000000000000000000"
"05008700","05008700","1.000000000000000000"
"05008900","05008900","1.000000000000000000"
"05009000","05009000","1.000000000000000000"
"05009000","05011000","0.000000000000000000"
"05009200","05009200","1.000000000000000000"
"05009301","05009300","0.862649465072372000"
"05009302","05009300","0.137350534927627000"
"05009600","05009600","1.000000000000000000"
"05009800","05009800","1.000000000000000000"
"05011000","05011000","0.019867549668874200"
"05011502","05011502","1.000000000000000000"
"05011701","05011700","1.000000000000000000"
"05011702","05011700","0.000000000000000000"
"05011800","05011800","1.000000000000000000"
"05011800","05013800","0.000000000000000000"
"05011900","05011900","1.000000000000000000"
"05012101","05012101","1.000000000000000000"
"05012102","05012102","1.000000000000000000"
