Field Group,Field Name,Description,Expected Values,Type,Source
IPIS CITY MAIN,BORO,Numerical code for each borough,"1-digit codes: Manhattan = 1, Bronx = 2, Brooklyn = 3, Queens = 4, Staten Island = 5",Number,IPIS
IPIS CITY MAIN,BLOCK,Numerical code for the tax block ,4- or 5-digit code,Number,IPIS
IPIS CITY MAIN,LOT,Numerical code for the tax lot,1- to 4- digit code,Number,IPIS
IPIS CITY MAIN,PARCEL_ADDRESS,Street address of the tax lot,House Number and Street Name,Text,IPIS
IPIS CITY MAIN,LOCATION,Description of the location of the tax lot,Brief description of physical location of tax lot in relation to abutting lots or street corners with a known location. Particularly useful for interior lots with no street address. ,Text,IPIS
IPIS CITY MAIN,PARCEL_NAME,"When applicable, name of the city facility or former city facility located on the lot",Brief facility name,Text,IPIS
IPIS CITY MAIN,JURIS,City agency assigned jurisdiction of the lot by DCAS.  Jurisdiction is defined as official authority/decision-making power over the lot,Short acronym or abbreviation of city agency name. Blank= city owned but under the jurisdiction of a non-city entity like a state authority. JOINT= more than one city agency has jurisdiction of a portion of the lot. MIXED= the city owns only a portion of the lot,Text,IPIS
IPIS CITY MAIN,MGMT123 CONCAT,City agency or agencies assigned management of the lot by DCAS. Management is defined as day-to-day or operational control over the lot,Short acronym or abbreviation of city agency name,Text,IPIS
IPIS CITY MAIN,RENEWAL_AREA_NAME,Name of the Urban Renewal Area in which the lot is located,Full name of the Urban Renewal Area,Text,IPIS
IPIS CITY MAIN,MOA_METHOD,"MOA= Method of Acquisition. The method the city used to acquire the lot, e.g. condemnation, negotiated purchase, in rem tax foreclosure",Short description of the aquisition method,Text,IPIS
IPIS CITY MAIN,MOA_DATE,Date the acquired lot was vested in city ownership under the above acquisition method,MM/DD/YYYY,Date,IPIS
IPIS CITY MAIN,URANRENEWALSITE,A lot designated in an Urban Renewal Plan for a project,"Y= yes,  NULL= No",Text,IPIS
IPIS CITY MAIN,WATERFRONT,A lot that either touches the shoreline or is partially under water,"Y= yes,  NULL= No",Text,IPIS
IPIS CITY MAIN,UNDERWATER,"A lot which is entirely underwater, or designated as wetland","Underwater, Freshwater Wetland, Tidal Wetland",Text,IPIS
IPIS CITY MAIN,BEDOFSTREET,A lot with any portion of its area within a mapped bed of street,"Y= yes,  NULL= No",Text,IPIS
IPIS CITY MAIN,TITLE CHECK,Flag for further title research,"Short descriptions of type of title question: Old Road, MTA Master Lease, Easement, etc.",Text,IPIS
IPIS CITY MAIN,LUR_CEMETERY,Lot with historic use as a cemetery/family burial plot,"Y= yes,  NULL= No",Text,IPIS
IPIS CITY MAIN,NO STREET FRONTAGE,A lot with no frontage on a mapped street,"Y= yes,  NULL= No",Text,IPIS
