address,city,st,zip,street,researched,corrected_borough,corrected_hn,corrected_street
10724 75th St,Ozone Park,NY,11417,75th St,,3,10724,75 Street
10726 75th St,Ozone Park,NY,11417,75th St,,3,10726,75 Street
1075 E 166th St,Bronx,NY,10456,E 166th St,,2,1075,E 166th St
108 54th St,Corona,NY,11368,54th St,,4,108,54th St
109 180th St,Jamaica,NY,11433,180th St,,4,109,180th St
11 204th St,Saint Albans,NY,11412,204th St,,4,11,204th St
11 Atlantic Cmns,Brooklyn,NY,11217,Atlantic Cmns,,3,11,Atlantic Commons
11 E 210th St,Bronx,NY,10467,E 210th St,,2,11,E 210th St
11 Union Sq E,New York,NY,10003,Union Sq E,,1,11,Union Square West
110 73rd Rd,Forest Hills,NY,11375,73rd Rd,,4,110,73rd Rd
1100 W 114th St,New York,NY,10025,W 114th St,,1,1100,W 114th St
1103 E 11th St,Brooklyn,NY,11207,E 11th St,,3,1103,E 11th St
111 13th Ave,College Point,NY,11356,13th Ave,,4,111,13th Ave
1125 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1125,Harris Street
1127 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1127,Harris Street
1129 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1129,Harris Street
113 196th St,Saint Albans,NY,11412,196th St,,4,113,196th St
1130 226th Street Dr,Bronx,NY,10466,226th Street Dr,,4,1130,226th Street Dr
1131 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1131,Harris Street
1133 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1133,Harris Street
1135 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1135,Harris Street
1136 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1136,Harris Street
1137 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1137,Harris Street
1138 226th Street Dr,Bronx,NY,10466,226th Street Dr,,4,1138,226th Street Dr
1138 Harris Ave,Far Rockaway,NY,11691,Harris Ave,,4,1138,Harris Street
1141 227th St,Queens Village,NY,11429,227th St,,4,1141,227th St
1141 228th St,Queens Village,NY,11429,228th St,,4,1141,228th St
1141 229th St,Queens Village,NY,11429,229th St,,4,1141,229th St
1141 230th St,Queens Village,NY,11429,230th St,,4,1141,230th St
1141 231st St,Queens Village,NY,11429,231st St,,4,1141,231st St
1141 76th Ave,Forest Hills,NY,11375,76th Ave,,4,1141,76th Ave
1143 76th Ave,Forest Hills,NY,11375,76th Ave,,4,1143,76th Ave
1151 219th St,Queens Village,NY,11429,219th St,,4,1151,219th St
1151 220th St,Queens Village,NY,11429,220th St,,4,1151,220th St
1151 222nd St,Queens Village,NY,11429,222nd St,,4,1151,222nd St
116 15th Ave,College Point,NY,11356,15th Ave,,4,116,15th Ave
116 195th St,Woodhaven,NY,11421,195th St,,3,116,Eldert Lane
11827 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11827,Lakeview Blvd East
11831 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11831,Lakeview Blvd East
11839 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11839,Lakeview Blvd East
11903 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11903,Lakeview Blvd East
11907 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11907,Lakeview Blvd East
11911 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11911,Lakeview Blvd East
11917 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,11917,Lakeview Blvd East
12 153rd St,Jamaica,NY,11434,153rd St,,4,12,153rd St
12 Dunhill Ave,Staten Island,NY,10309,Dunhill Ave,,5,12,Dunhill Lane
12 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,12,Eldert Lane
120 193rd St,Springfield Gardens,NY,11413,193rd St,,4,120,193rd St
120 E 138th St,New York,NY,10037,E 138th St,,1,120,E 138th St
12003 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,12003,Lakeview Blvd East
12005 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,12005,Lakeview Blvd East
12009 Lakeview Blvd,Jamaica,NY,11434,Lakeview Blvd,,4,12009,Lakeview Blvd East
1201 Asch Loop,Bronx,NY,10475,Asch Loop,,2,120-01 ,Asch Loop
12010 Asch Loop,Bronx,NY,10475,Asch Loop,,2,120-10,Asch Loop
12010 Bellamy Loop,Bronx,NY,10475,Bellamy Loop,,2,120-10,Bellamy Loop
12010 Co Op City Blvd,Bronx,NY,10475,Co Op City Blvd,House Number includes unit,2,120-10,Co Op City Blvd
12011 Asch Loop,Bronx,NY,10475,Asch Loop,,2,120-11,Asch Loop
