OBJECTID,boro,cdta2020,cdtaname20
40,Manhattan,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
41,Manhattan,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation)
42,Manhattan,MN07,MN07 Upper West Side (CD 7 Approximation)
43,Manhattan,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
44,Manhattan,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
45,Manhattan,MN10,MN10 Harlem (CD 10 Equivalent)
46,Manhattan,MN11,MN11 East Harlem (CD 11 Equivalent)
47,Manhattan,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent)
48,Manhattan,MN64,MN64 Central Park (JIA 64 Equivalent)
49,Bronx,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent)
50,Queens,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)
51,Queens,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation)
52,Queens,QN04,QN04 Elmhurst-Corona (CD 4 Approximation)
53,Queens,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)
54,Queens,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation)
55,Queens,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)
56,Queens,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)
57,Queens,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)
58,Queens,QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation)
59,Queens,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)
60,Queens,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)
61,Queens,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)
62,Queens,QN14,QN14 The Rockaways (CD 14 Approximation)
63,Queens,QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation)
64,Queens,QN83,QN83 JFK International Airport (JIA 83 Approximation)
65,Queens,QN84,QN84 Jamaica Bay (East) (JIA 84 Approximation)
66,Staten Island,SI01,SI01 North Shore (CD 1 Equivalent)
67,Staten Island,SI02,SI02 Mid-Island (CD 2 Approximation)
68,Staten Island,SI03,SI03 South Shore (CD 3 Approximation)
69,Staten Island,SI95,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)
70,Queens,QN80,QN80 LaGuardia Airport (JIA 80 Approximation)
71,Queens,QN82,QN82 Forest Park (JIA 82 Approximation)
