OBJECTID,boro,cdta2020,cdtaname20
1,Brooklyn,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
2,Brooklyn,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
3,Brooklyn,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation)
4,Brooklyn,BK04,BK04 Bushwick (CD 4 Equivalent)
5,Brooklyn,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation)
6,Brooklyn,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation)
7,Brooklyn,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)
8,Brooklyn,BK08,BK08 Crown Heights (North) (CD 8 Approximation)
9,Brooklyn,BK09,BK09 Crown Heights (South) (CD 9 Approximation)
10,Brooklyn,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)
11,Brooklyn,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation)
12,Brooklyn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation)
13,Brooklyn,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation)
14,Brooklyn,BK14,BK14 Flatbush-Midwood (CD 14 Approximation)
15,Brooklyn,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation)
16,Brooklyn,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation)
17,Brooklyn,BK17,BK17 East Flatbush (CD 17 Approximation)
18,Brooklyn,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation)
19,Brooklyn,BK55,BK55 Prospect Park (JIA 55 Approximation)
20,Brooklyn,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation)
21,Bronx,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
22,Bronx,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation)
23,Bronx,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation)
24,Bronx,BX04,BX04 Highbridge-Concourse (CD 4 Approximation)
25,Bronx,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation)
26,Bronx,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation)
27,Bronx,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)
28,Bronx,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation)
29,Bronx,BX09,BX09 Soundview-Parkchester (CD 9 Approximation)
30,Bronx,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation)
31,Bronx,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation)
32,Bronx,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation)
33,Bronx,BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent)
34,Bronx,BX27,BX27 Bronx Park (JIA 27 Approximation)
35,Bronx,BX28,BX28 Pelham Bay Park (JIA 28 Approximation)
36,Manhattan,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent)
37,Manhattan,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent)
38,Manhattan,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent)
39,Manhattan,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)
