OBJECTID,boro,nta2020,ntaname20
1,Brooklyn,BK0101,Greenpoint
2,Brooklyn,BK0102,Williamsburg
3,Brooklyn,BK0103,South Williamsburg
4,Brooklyn,BK0104,East Williamsburg
5,Brooklyn,BK0201,Brooklyn Heights
6,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill
7,Brooklyn,BK0203,Fort Greene
8,Brooklyn,BK0204,Clinton Hill
9,Brooklyn,BK0261,Brooklyn Navy Yard
10,Brooklyn,BK0301,Bedford-Stuyvesant (West)
11,Brooklyn,BK0302,Bedford-Stuyvesant (East)
12,Brooklyn,BK0401,Bushwick (West)
13,Brooklyn,BK0402,Bushwick (East)
14,Brooklyn,BK0471,The Evergreens Cemetery
15,Brooklyn,BK0501,Cypress Hills
16,Brooklyn,BK0502,East New York (North)
17,Brooklyn,BK0503,East New York-New Lots
18,Brooklyn,BK0504,Spring Creek-Starrett City
19,Brooklyn,BK0505,East New York-City Line
20,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South)
21,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
22,Brooklyn,BK0602,Park Slope
23,Brooklyn,BK0701,Windsor Terrace-South Slope
24,Brooklyn,BK0702,Sunset Park (West)
25,Brooklyn,BK0703,Sunset Park (Central)
26,Brooklyn,BK0771,Green-Wood Cemetery
27,Brooklyn,BK0801,Prospect Heights
28,Brooklyn,BK0802,Crown Heights (North)
29,Brooklyn,BK0891,Lincoln Terrace Park
30,Brooklyn,BK0901,Crown Heights (South)
31,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate
32,Brooklyn,BK1001,Bay Ridge
33,Brooklyn,BK1002,Dyker Heights
34,Brooklyn,BK1061,Fort Hamilton
35,Brooklyn,BK1091,Dyker Beach Park
36,Brooklyn,BK1101,Bensonhurst
37,Brooklyn,BK1102,Bath Beach
38,Brooklyn,BK1103,Gravesend (West)
39,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West)
40,Brooklyn,BK1202,Borough Park
41,Brooklyn,BK1203,Kensington
42,Brooklyn,BK1204,Mapleton-Midwood (West)
43,Brooklyn,BK1301,Gravesend (South)
44,Brooklyn,BK1302,Coney Island-Sea Gate
45,Brooklyn,BK1303,Brighton Beach
46,Brooklyn,BK1391,Calvert Vaux Park
47,Brooklyn,BK1401,Flatbush
48,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville
49,Brooklyn,BK1403,Midwood
50,Brooklyn,BK1501,Gravesend (East)-Homecrest
51,Brooklyn,BK1502,Madison
52,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach
53,Brooklyn,BK1601,Ocean Hill
54,Brooklyn,BK1602,Brownsville
55,Brooklyn,BK1701,East Flatbush-Erasmus
56,Brooklyn,BK1702,East Flatbush-Farragut
57,Brooklyn,BK1703,East Flatbush-Rugby
58,Brooklyn,BK1704,East Flatbush-Remsen Village
59,Brooklyn,BK1801,Flatlands
60,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach
61,Brooklyn,BK1803,Canarsie
62,Brooklyn,BK1891,Marine Park-Plumb Island
63,Brooklyn,BK1892,McGuire Fields
64,Brooklyn,BK1893,Canarsie Park & Pier
65,Brooklyn,BK5591,Prospect Park
66,Brooklyn,BK5691,Barren Island-Floyd Bennett Field
67,Bronx,BX0101,Mott Haven-Port Morris
68,Bronx,BX0102,Melrose
69,Bronx,BX0201,Hunts Point
70,Bronx,BX0202,Longwood
71,Bronx,BX0301,Morrisania
72,Bronx,BX0302,Claremont Village-Claremont (East)
73,Bronx,BX0303,Crotona Park East
74,Bronx,BX0391,Crotona Park
75,Bronx,BX0401,Concourse-Concourse Village
76,Bronx,BX0402,Highbridge
77,Bronx,BX0403,Mount Eden-Claremont (West)
78,Bronx,BX0491,Yankee Stadium-Macombs Dam Park
79,Bronx,BX0501,University Heights (South)-Morris Heights
80,Bronx,BX0502,Mount Hope
81,Bronx,BX0503,Fordham Heights
82,Bronx,BX0601,West Farms
83,Bronx,BX0602,Tremont
84,Bronx,BX0603,Belmont
85,Bronx,BX0701,University Heights (North)-Fordham
86,Bronx,BX0702,Bedford Park
87,Bronx,BX0703,Norwood
88,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village
89,Bronx,BX0802,Kingsbridge-Marble Hill
90,Bronx,BX0803,Riverdale-Spuyten Duyvil
91,Bronx,BX0901,Soundview-Bruckner-Bronx River
92,Bronx,BX0902,Soundview-Clason Point
93,Bronx,BX0903,Castle Hill-Unionport
94,Bronx,BX0904,Parkchester
95,Bronx,BX0991,Soundview Park
96,Bronx,BX1001,Westchester Square
97,Bronx,BX1002,Throgs Neck-Schuylerville
98,Bronx,BX1003,Pelham Bay-Country Club-City Island
99,Bronx,BX1004,Co-op City
100,Bronx,BX1091,Ferry Point Park-St. Raymond Cemetery
