OBJECTID,boro,bct2020,centract2020
155,Manhattan,1017000,36061017000
156,Manhattan,1017100,36061017100
157,Manhattan,1017200,36061017200
158,Manhattan,1017300,36061017300
159,Manhattan,1017401,36061017401
160,Manhattan,1017402,36061017402
161,Manhattan,1017500,36061017500
162,Manhattan,1017700,36061017700
163,Manhattan,1017900,36061017900
164,Manhattan,1018000,36061018000
165,Manhattan,1018100,36061018100
166,Manhattan,1018200,36061018200
167,Manhattan,1018300,36061018300
168,Manhattan,1018400,36061018400
169,Manhattan,1018600,36061018600
170,Manhattan,1018700,36061018700
171,Manhattan,1018800,36061018800
172,Manhattan,1019000,36061019000
173,Manhattan,1019200,36061019200
174,Manhattan,1019300,36061019300
175,Manhattan,1019400,36061019400
176,Manhattan,1019500,36061019500
177,Manhattan,1019600,36061019600
178,Manhattan,1019701,36061019701
179,Manhattan,1019702,36061019702
180,Manhattan,1019800,36061019800
181,Manhattan,1019900,36061019900
182,Manhattan,1020000,36061020000
183,Manhattan,1020102,36061020102
184,Manhattan,1020500,36061020500
185,Manhattan,1020600,36061020600
186,Manhattan,1020701,36061020701
187,Manhattan,1020800,36061020800
188,Manhattan,1020901,36061020901
189,Manhattan,1021100,36061021100
190,Manhattan,1021303,36061021303
191,Manhattan,1021400,36061021400
192,Manhattan,1021500,36061021500
193,Manhattan,1021600,36061021600
194,Manhattan,1021703,36061021703
195,Manhattan,1021800,36061021800
196,Manhattan,1022000,36061022000
197,Manhattan,1022102,36061022102
198,Manhattan,1022200,36061022200
199,Manhattan,1022301,36061022301
200,Manhattan,1022400,36061022400
201,Manhattan,1022500,36061022500
202,Manhattan,1022600,36061022600
203,Manhattan,1022800,36061022800
204,Manhattan,1023000,36061023000
205,Manhattan,1023100,36061023100
206,Manhattan,1023200,36061023200
207,Manhattan,1023400,36061023400
208,Manhattan,1023502,36061023502
209,Manhattan,1023600,36061023600
210,Manhattan,1023700,36061023700
211,Manhattan,1023802,36061023802
212,Manhattan,1023803,36061023803
213,Manhattan,1024100,36061024100
214,Manhattan,1024200,36061024200
215,Manhattan,1024301,36061024301
216,Manhattan,1024500,36061024500
