year,primary_pluto_version,has_bbl,has_wkt_geometry
2002,02b,FALSE,TRUE
2003,03c,FALSE,TRUE
2004,04c,FALSE,TRUE
2005,05d,TRUE,TRUE
2006,06c,TRUE,TRUE
2007,07c,TRUE,TRUE
2008,08b,TRUE,TRUE
2009,09v1,TRUE,TRUE
2010,10v1,TRUE,TRUE
2011,11v1,TRUE,TRUE
2012,12v1,TRUE,TRUE
2013,13v1,TRUE,TRUE
2014,14v1,TRUE,TRUE
2015,15v1,TRUE,TRUE
2016,16v1,TRUE,TRUE
2017,17v1,TRUE,TRUE
2018,18v1_1,TRUE,TRUE
2019,19v1,TRUE,TRUE
2020,20v8,TRUE,TRUE
2021,21v3,TRUE,TRUE
2022,22v2,TRUE,TRUE
