output_group,file_group,subgroup,type,filename,file_id,skip_qa,diffable,key_columns,description,status,notes
district_gdb,gdb,District gdb,layer,nyct2010,gdb_nyct2010,false,true,BoroCT2010,2010 Census Tracts clipped to shoreline,,
district_gdb,gdb,District gdb,layer,nyct2010wi,gdb_nyct2010wi,false,true,BoroCT2010,"2010 Census Tracts, unclipped",,
district_gdb,gdb,District gdb,layer,nyct2020,gdb_nyct2020,false,true,BoroCT2020,2020 Census Tracts clipped to shoreline,,
district_gdb,gdb,District gdb,layer,nyct2020wi,gdb_nyct2020wi,false,true,BoroCT2020,"2020 Census Tracts, unclipped",,
district_gdb,gdb,District gdb,layer,nyed,gdb_nyed,false,true,ElectDist,Election Districts,,
district_gdb,gdb,District gdb,layer,nyedwi,gdb_nyedwi,false,true,ElectDist,"Election Districts, unclipped",,
district_gdb,gdb,District gdb,layer,nyfb,gdb_nyfb,false,true,FireBN,Fire Battalions,,
district_gdb,gdb,District gdb,layer,nyfc,gdb_nyfc,false,true,FireCoType|FireCoNum,Fire Companies,,
district_gdb,gdb,District gdb,layer,nyfd,gdb_nyfd,false,true,FireDiv,Fire Divisions,,
district_gdb,gdb,District gdb,layer,nyha,gdb_nyha,false,true,BoroCode|HealthArea,Health Areas clipped to shoreline,,
district_gdb,gdb,District gdb,layer,nyhc,gdb_nyhc,false,true,HCentDist,Health Center Districts clipped to shoreline,,
district_gdb,gdb,District gdb,layer,nyhd,gdb_nyhd,false,true,NAME,Historic Districts,,
district_gdb,gdb,District gdb,layer,nyhez,gdb_nyhez,false,true,HURRICANE_EVACUATION_ZONE,Hurricane Evacuation Zones,,
district_gdb,gdb,District gdb,layer,nymc,gdb_nymc,false,true,BoroCode|MuniCourt,Municipal Court Districts,,
district_gdb,gdb,District gdb,layer,nymcea,gdb_nymcea,false,true,BOROCODE|MCEA,"Minor Census Economic Areas, dissolved from 2000 Census Tracts by MCEA attribute, clipped to shoreline",,
district_gdb,gdb,District gdb,layer,nymcwi,gdb_nymcwi,false,true,BoroCode|MuniCourt,"Municipal Court Districts, unclipped",,
district_gdb,gdb,District gdb,layer,nynta2010,gdb_nynta2010,false,true,NTACode,Neighborhood Tabulation Areas 2010,,
district_gdb,gdb,District gdb,layer,nynta2020,gdb_nynta2020,false,true,NTA2020,Neighborhood Tabulation Areas 2020,,
district_gdb,gdb,District gdb,layer,nypp,gdb_nypp,false,true,Precinct,Police Precincts,,
district_gdb,gdb,District gdb,layer,nypuma2010,gdb_nypuma2010,false,true,PUMA,Public Use Microdata Areas (PUMA) 2010,,
district_gdb,gdb,District gdb,layer,nypuma2020,gdb_nypuma2020,false,true,PUMA,Public Use Microdata Areas (PUMA) 2020,,
district_gdb,gdb,District gdb,layer,nysd,gdb_nysd,false,true,SchoolDist,School Districts,,
district_gdb,gdb,District gdb,layer,nyss,gdb_nyss,false,true,StSenDist,State Senatorial Districts,,
district_gdb,gdb,District gdb,layer,nysswi,gdb_nysswi,false,true,StSenDist,"State Senatorial Districts, unclipped",,
district_gdb,gdb,District gdb,layer,nyura,gdb_nyura,false,true,URAID,Urban Renewal Areas,,
district_gdb,gdb,District gdb,layer,nyzip,gdb_nyzip,false,true,ZIP_CODE,Zip Code Areas,,
