full_name,abbr
BRIDGE,BRG
CIRCLE,CIR
CONCOURSE,CONC
COURT,CT
DRIVE,DR
DRIVEWAY,DY
ESPLANADE,ESPL
HEIGHTS,HTS
LANE,LN
PLACE,PL
POINT,PT
TUNNEL,TUNL
VILLAGE,VLG
EXPRESSWAY,EXPY
TERRACE,TER
CAMP,CP
CLOSE,CLOS
COVE,CV
CROSSING,XING
FREEWAY,FWY
HILL,HL
OVERPASS,OPAS
PROMENADE,PROM
RIDGE,RDG
THRUWAY,TRWY
SHORELINE,SHORELINE
