factype,rectype
HOMEBASE HOMELESSNESS PREVENTION,program
CASE MANAGEMENT,program
HOSPITAL,facility
JOBS AND INTERNSHIPS,program
BRIDGE HOUSE,facility
EMPLOYMENT FOCUSED SERVICES,program
FOLK ARTS,program
AIM,program
"PSYCHOSOCIAL CLUB-OMH, SUPPORTED SRO-OMH",program
ADULT HOME,program
BEACON,program
IMMIGRANT FAMILY SERVICES,program
NYCHA COMMUNITY CENTER - SENIOR CENTER,facility
HOME DELIVERED MEALS,program
EDUCATIONAL SERVICES,program
LEGAL SERVICES,program
STATE PARK,facility
CORNERSTONE,program
SNAP CENTER,facility
COMPASS HIGH,facility
DOE UNIVERSAL PRE-K - CHARTER,facility
HOME CARE/ATTENDANT/MAKER AND HOUSEKEEPING SERVICES,program
PUBLIC MUSEUMS AND SITES,facility
OUTDOOR PARKING,facility
PRIVATE MUSEUMS AND SITES,facility
NYCHA COMMUNITY CENTER,facility
MIDDLE SCHOOL - NON-PUBLIC,facility
AGENCY EXECUTIVE OFFICE,facility
MANNED TRANSPORTATION FACILITY,facility
MEDICAID OFFICE,facility
WASTEWATER PUMPING STATION,facility
COURT ADVOCACY SERVICES,program
OUTDOOR PARKING - CLIENTS,facility
OUTDOOR STORAGE,facility
"HOME BASED CRISIS INTERVENTION-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
NYCHA COMMUNITY CENTER - YOUTH SERVICES,facility
CITY-STATE PARK,facility
SYEP EMERGING LEADERS: LEADERS INFLUENCING TOMORROW,program
ASSERTIVE COMMUNITY TREATMENT-OMH,facility
FAMILY SUPPORT; IMMIGRANT SERVICES,program
SPECIAL DEMO - CITY COUNCIL-OPWDD,program
"HIGH SCHOOL - PUBLIC, SPECIAL EDUCATION",facility
RECYCLABLES HANDLING AND RECOVERY,program
INTERN & EARN,program
SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,facility
LIRR YARD,facility
MOBILE HOSPITAL EXTENSION CLINIC,facility
SUNY - HEALTH SCIENCE CENTERS,facility
USDA COMMUNITY ELIGIBILITY OPTION,program
ASSISTED COMPETITIVE EMPLOYMENT-OMH,program
WORKS PLUS,program
2 YEAR INDEPENDENT,program
NYC BUSINESS SOLUTIONS,program
HOME-DELIVERED MEALS,program
