factype,rectype
NYCHA COMMUNITY CENTER - CURE VIOLENCE,facility
NYCHA COMMUNITY CENTER - REES JOBS PLUS,facility
NYCHA COMMUNITY CENTER - NYCHA MANHATTAN BOROUGH PROPERTY MANAGEMENT,facility
INDOOR STORAGE - SUPPLIES,facility
NYCHA COMMUNITY CENTER - DOMESTIC VIOLENCE PROGRAM/COUNSELING,facility
NYCHA COMMUNITY CENTER - NORC/ CHILD CARE / HEALTH CLINIC / COMPASS,facility
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, COMPULSIVE GAMBLING EDUCATION-OASAS",program
NYCHA COMMUNITY CENTER - MANHATTAN CCTV UNIT,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE?,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER / SENIOR CENTER,facility
RETIRED N/A,facility
NYCHA COMMUNITY CENTER - COMPUTER LAB,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/ NORC/FOOD PANTRY,facility
TRAINING FACILITY - OUTDOOR,facility
HAMILTON GRANGE NATIONAL MEMORIAL,facility
NYCHA COMMUNITY CENTER - FAMILY/YOUTH PROGRAM / MEALS ON WHEELS OFFICES,facility
NYCHA COMMUNITY CENTER - MAP/NEIGHBORHOOD,facility
TRAINING FACILITY - INDOOR,facility
NYCHA COMMUNITY CENTER - LIBRARY,facility
SUNY - COMMUNITY COLLEGES,facility
RECYCLING FACILITY,facility
NYCHA COMMUNITY CENTER - CARPENTER SHOP AND STORAGE,facility
"CPEP CRISIS INTERVENTION-OMH, CPEP CRISIS OUTREACH-OMH",program
MENTAL HYGIENE DROP-IN CENTERS,program
STORMWATER PUMPING STATION,facility
JOB PLACEMENT INITIATIVE-OASAS,program
OFF-CAMPUS EMERGENCY DEPARTMENT,program
NYCHA COMMUNITY CENTER - COMMUNITY CENTER/SENIOR CENTER,facility
OUTDOOR PARKING - TOW POUND,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - DEVELOPMENTAL DISABILITIES,facility
NYCHA COMMUNITY CENTER - VOCATIONAL/TRADE SCHOOL,facility
ON-SITE REHABILITATION-OMH,program
NYCHA COMMUNITY CENTER - PAINT ADMINISTRATION,facility
WTHRF,program
NYCHA COMMUNITY CENTER - CONSTRUCTION,facility
HOME BASED CRISIS INTERVENTION-OMH,program
GOVERNORS ISLAND NATIONAL MONUMENT,facility
EPILEPSY SERVICES-OPWDD,program
NYCHA COMMUNITY CENTER - NEIGHBORHOOD 4 OFFICE,facility
NYCHA COMMUNITY CENTER - HEALTH CLINIC *,facility
PRIVATELY OWNED PUBLIC SPACE,program
COMPASS,program
EMERGENCY MEDICAL STATION,facility
ENVIRONMENTAL TESTING LABORATORY,facility
GATEWAY NATIONAL RECREATION AREA,facility
HOSPITAL RESIDENTIAL STRUCTURE,facility
MEDICAL TESTING LABORATORY,facility
UNIVERSITY RESIDENTIAL STRUCTURE,facility
ACS CM3,program
ADULT LITERACY PILOT PROGRAM,program
ATLAS,program
COMMUNITY HEALING AND WELLNESS,program
COMMUNITY RESOURCES FOR EMPLOYMENT AND DEVELOPMENT,program
COMMUNITY SERVICES; EDUCATIONAL SERVICES,program
COMMUNITY SERVICES; JOBS AND INTERNSHIPS,program
CURE VIOLENCE,program
DOMESTIC VIOLENCE PROGRAM,program
EDUCATIONAL SERVICES; IMMIGRANT SERVICES,program
EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS; YOUTH AND AFTERSCHOOL PROGRAMS,program
FAMILY SUPPORT; HOUSING SUPPORT,program
FATHERHOOD IN RIKERS ISLAND,program
HIGH SCHOOL AFTERSCHOOL PROGRAMS,program
HOSPITAL RESPONDER,program
IMMIGRANT WORKERS,program
LEARN AND EARN,program
LEGAL SERVICES AND SUPPORT,program
LEGAL SERVICES FOR IMMIGRANT YOUTH,program
LGBTQ COMMUNITY SERVICES,program
MAP MEDIATION,program
MOBILE TRAUMA RESPONSE UNIT,program
PROFESSIONAL MENTAL HEALTH SERVICES,program
PUBLIC SAFETY COALITIONS,program
RIKERS ISLAND MENTORING,program
SATURDAY NIGHT LIGHTS,program
YOUTH AND AFTERSCHOOL PROGRAMS,program
YOUTH ENRICHMENT SERVICES,program
YOUTH NEIGHBORHOOD TEAM SPORTS,program
YOUTH SERVICE COORDINATION,program
EMERGENCY MEDICL STN,facility
