WKT,OBJECTID,unique_id,editor,cartodb_id,shape_leng
"POINT (-73.9101779402609 40.8634670488182)","1","309",,,
"POINT (-73.8878445337406 40.8786849922092)","2","319",,,
"POINT (-73.870665163534 40.8555066804268)","3","632",,,
"POINT (-73.9466270851269 40.8333643466902)","4","2624",,,
"POINT (-73.8328955035417 40.7796597626196)","5","3226",,,
"POINT (-73.90766012599 40.6651530390266)","6","1111",,,
"POINT (-73.9947882227253 40.6362813412834)","8","1352",,,
"POINT (-73.9769236633059 40.6295058051416)","9","1352",,,
"POINT (-73.9737186214951 40.6303522534327)","10","1516",,,
"POINT (-73.9151514488326 40.6700352212844)","11","1662",,,
"POINT (-73.9565204577939 40.8146890034332)","12","2402",,,
"POINT (-73.9437673719556 40.828802662807)","13","2402",,,
"POINT (-73.9357492800859 40.8406668477411)","14","2626",,,
"POINT (-73.9357492800859 40.8406668477411)","15","2676",,,
"POINT (-73.9353722471484 40.8515277837566)","16","2626",,,
"POINT (-73.9353722471484 40.8515277837566)","17","2676",,,
"POINT (-73.93716743619 40.8361564512867)","19","2699",,,
"POINT (-73.9482680255187 40.8341726041054)","20","2699",,,
"POINT (-74.0820752025214 40.594515356852)","21","3683",,,
"POINT (-74.0941172240165 40.5813932099847)","22","3683",,,
"POINT (-74.1101573208584 40.5663176128597)","23","3683",,,
"POINT (-74.0186914444165 40.6036076774537)","24","1337",,,
"POINT (-73.9999977872403 40.5959675457787)","25","1337",,,
"POINT (-74.0134419714633 40.7073670519967)","1","1891",Jonathan Rivas,,
"POINT (-73.9909446105781 40.7380353241707)","2","2169",Jonathan Rivas,,
"POINT (-73.9955548122678 40.7366446426021)","3","1913",Jonathan Rivas,,
"POINT (-74.0137492826096 40.7181697609588)","4","1831",Jonathan Rivas,,
"POINT (-74.0150194267559 40.7098609993866)","5","1851",Jonathan Rivas,,
"POINT (-73.9853937682802 40.7390245823167)","6","2147",Jonathan Rivas,,
"POINT (-73.99130613357 40.7659921840837)","7","2018",Jonathan Rivas,,
"POINT (-74.0030613260246 40.7487928495924)","8","2018",Jonathan Rivas,,
"POINT (-73.9731940267584 40.7302485369853)","9","2234",Jonathan Rivas,,
"POINT (-73.9743512279683 40.7344957783692)","10","2229",Jonathan Rivas,,
"POINT (-73.9851319650249 40.7142677514992)","11","2002",Jonathan Rivas,,
"POINT (-73.7284821587723 40.7524416520861)","1","3439",,,
"POINT (-73.9087265503812 40.6775766589252)","2","1666",,,
"POINT (-73.9228835301998 40.6649718344283)","3","1655",,,
"POINT (-73.9284611564316 40.8292755142517)","4","174",,,
"POINT (-73.9051236984819 40.8725650587261)","1","386",Vlad Bogdanets,,
"POINT (-73.9136571697762 40.6600948030264)","2","1663",Vlad Bogdanets,,
"POINT (-73.9040940863009 40.6645113572809)","4","1614",Vlad Bogdanets,,
"POINT (-73.889794413655 40.7363486067415)","6","2892",Vlad Bogdanets,,
"POINT (-74.2318023253783 40.5289722882276)","7","3710",Vlad Bogdanets,,
"POINT (-74.0204717474097 40.6907520535503)","8","1881",Vlad Bogdanets,,
"POINT (-73.9460967952684 40.8243342504078)","9","2354",Vlad Bogdanets,,
"POINT (-73.8293537723946 40.8706628982594)","10","597",Vlad Bogdanets,,
"POINT (-73.9166851612317 40.6822911164472)","11","1641",Vlad Bogdanets,,
"POINT (-73.9262312594013 40.8559600413016)","12","2701",Vlad Bogdanets,,
"POINT (-73.9110879523348 40.8469549286386)","13","247",Vlad Bogdanets,,
"POINT (-73.9466478217655 40.8158406525783)","14","2447",Vlad Bogdanets,,
"POINT (-73.8749310163517 40.7068083179943)","15","2970",Vlad Bogdanets,,
"POINT (-73.8230584020495 40.5958027962888)","16","3550",Vlad Bogdanets,,
"POINT (-74.0018253457195 40.5942421749577)","17","1318",Vlad Bogdanets,,
"POINT (-73.9864903181116 40.7173530313842)","18","2000",Vlad Bogdanets,,
"POINT (-73.9594072785089 40.5842722320293)","19","1550",Vlad Bogdanets,,
"POINT (-73.8284020942854 40.826779925232)","1","595",,,
"POINT (-73.8465892814813 40.8411007832938)","2","599",,,
"POINT (-73.9176030192699 40.8265843335904)","3","136",,,
"POINT (-73.9100941198404 40.8439882610236)","4","136",,,
"POINT (-73.9235504387273 40.8379757393404)","5","136",,,
"POINT (-73.9349437400018 40.8590332547223)","6","2608",,,
"POINT (-73.9040506611653 40.660956998863)","7","1610",,,
"POINT (-73.9029778274302 40.6754439608073)","8","1657",,,
"POINT (-73.9769446680126 40.6295941952286)","9","1487",,,
"POINT (-73.9512600084085 40.82305820281)","10","2366",,,
"POINT (-73.9495053479238 40.8271733472781)","11","2360",,,
"POINT (-73.9664095672863 40.6885243706788)","12","733",,,
"POINT (-73.905867208022 40.6686145647956)","13","1618",,,
"POINT (-73.9107759058183 40.6804445875068)","14","1639",,,
"POINT (-73.8312717500756 40.7139980873751)","15","3341",,,
"POINT (-73.8858846390089 40.8672689354785)","16","315",,,
"POINT (-73.9808098066477 40.7104349687977)","1","1967",Casey Smith,,
"POINT (-73.9243746306269 40.8116270218998)","2","35",Casey Smith,,
"POINT (-73.9395608335034 40.8407185569614)","4","2632",Casey Smith,,
"POINT (-73.9266251591523 40.8558004547236)","6","2700",Casey Smith,,
"POINT (-73.8708363065079 40.7578743566159)","7","2963",Casey Smith,,
"POINT (-73.969761316609 40.6617508028308)","8","480",Casey Smith,,
"POINT (-73.9701291618259 40.673943182154)","9","480",Casey Smith,,
"POINT (-73.8508311862998 40.8325646840933)","11","510",Casey Smith,,
"POINT (-73.8693437617681 40.8230243963425)","12","510",Casey Smith,,
"POINT (-73.9499054971144 40.6751057650032)","14","1107",Casey Smith,,
"POINT (-73.9502603278034 40.6734832390344)","15","1107",Casey Smith,,
"POINT (-73.9511576918797 40.8135043154348)","16","2439",Casey Smith,,
"POINT (-73.9488420373381 40.8157754723754)","17","2439",Casey Smith,,
"POINT (-73.9466103807831 40.8205501828983)","18","2439",Casey Smith,,
"POINT (-73.9599156870204 40.8046394341805)","19","2439",Casey Smith,,
"POINT (-73.9448898243709 40.8340405516651)","20","2588",Casey Smith,,
"POINT (-73.9401328328929 40.8405555576218)","21","2588",Casey Smith,,
"POINT (-73.9335958418163 40.8495045661129)","23","2588",Casey Smith,,
"POINT (-73.9294118478811 40.8552245702271)","24","2588",Casey Smith,,
"POINT (-73.9255358522288 40.8605305750418)","25","2588",Casey Smith,,
"POINT (-73.9188188639322 40.8646135715131)","26","2588",Casey Smith,,
"POINT (-73.9152788678022 40.8694435758043)","27","2588",Casey Smith,,
"POINT (-73.9398918337308 40.8360125483396)","28","2588",Casey Smith,,
"POINT (-73.9395608335034 40.8407185569614)","29","2588",Casey Smith,,
"POINT (-73.9379688334211 40.8516945761325)","30","2588",Casey Smith,,
"POINT (-73.9341798381845 40.8590215848318)","31","2588",Casey Smith,,
"POINT (-73.9272708483947 40.8654905867017)","32","2588",Casey Smith,,
"POINT (-73.9198988605731 40.8680715801595)","33","2588",Casey Smith,,
"POINT (-73.9379688334211 40.8516945761325)","34","2691",Casey Smith,,
"POINT (-73.9395608335034 40.8407185569614)","35","2694",Casey Smith,,
"POINT (-73.9266251591523 40.8558004547236)","36","2702",Casey Smith,,
"POINT (-73.8371240824336 40.7765268230925)","37","3220",Casey Smith,,
"POINT (-74.0993422674088 40.6124205475118)","38","3313",Casey Smith,,
"POINT (-73.7710052479786 40.7308830365145)","39","3286",Casey Smith,,
"POINT (-73.9561508032438 40.6502414252674)","40","1471",Casey Smith,,
"POINT (-74.1146234501145 40.6257887666084)","41","3311",Casey Smith,,
"POINT (-74.1146962009581 40.6259293806614)","42","3311",Casey Smith,,
"POINT (-74.0712284799377 40.642500430096)","43","3617",Casey Smith,,
"POINT (-74.0010267534207 40.5720821139617)","44","1417",Casey Smith,,
"POINT (-73.9413539769832 40.830904703492)","45","2588",Casey Smith,,
"POINT (-73.7783861667175 40.7351540042248)","46","3276",Casey Smith,,
"POINT (-73.85671294 40.7584799)",,"2905",,"1",
"POINT (-73.95362487 40.75095922)",,"2886",,"2",
"POINT (-74.0202086 40.63940962)",,"1030",,"3",
"POINT (-74.03613741 40.61245339)",,"1275",,"4",
"POINT (-73.91536784 40.67520577)",,"1664",,"5",
"POINT (-73.93255791 40.85575193)",,"2662",,"6",
