NTA Code,2022 # ELA Tested - All Students,2022 # ELA Tested - Asian,2022 # ELA Tested - Black,2022 # ELA Tested - Hispanic,2022 # ELA Tested - White,2022 # ELA Tested - Multi-Racial,2022 # ELA Tested - Native American,2022 # ELA Tested - Missing Race/Ethnicity Data,2022 # ELA Proficient - All Students,2022 # ELA Proficient - Asian,2022 # ELA Proficient - Black,2022 # ELA Proficient - Hispanic,2022 # ELA Proficient - White,2022 # ELA Proficient - Multi-Racial,2022 # ELA Proficient - Native American,2022 # ELA Proficient - Missing Race/Ethnicity Data,2022 ELA % Proficient - All Students,2022 ELA % Proficient - Asian,2022 ELA % Proficient - Black,2022 ELA % Proficient - Hispanic,2022 ELA % Proficient - White,2022 ELA % Proficient - Multi-Racial,2022 ELA % Proficient - Native American,2022 ELA % Proficient - Missing Race/Ethnicity Data,2022 # Math Tested - All Students,2022 # Math Tested - Asian,2022 # Math Tested - Black,2022 # Math Tested - Hispanic,2022 # Math Tested - White,2022 # Math Tested - Multi-Racial,2022 # Math Tested - Native American,2022 # Math Tested - Missing Race/Ethnicity Data,2022 Math # Proficient - All Students,2022 Math # Proficient - Asian,2022 Math # Proficient - Black,2022 Math # Proficient - Hispanic,2022 Math # Proficient - White,2022 Math # Proficient - Multi-Racial,2022 Math # Proficient - Native American,2022 Math # Proficient - Missing Race/Ethnicity Data,2022 Math % Proficient - All Students,2022 Math % Proficient - Asian,2022 Math % Proficient - Black,2022 Math % Proficient - Hispanic,2022 Math % Proficient - White,2022 Math % Proficient - Multi-Racial,2022 Math % Proficient - Native American,2022 Math % Proficient - Missing Race/Ethnicity Data,2022 # Grad Cohort - All Students,2022 # Grad Cohort - Asian,2022 # Grad Cohort - Black,2022 # Grad Cohort - Hispanic,2022 # Grad Cohort - White,2022 # Grad Cohort - Multi-Racial,2022 # Grad Cohort - Native American,2022 # Grad Cohort - Missing Race/Ethnicity Data,2022 # Grads - All Students,2022 # Grads - Asian,2022 # Grads - Black,2022 # Grads - Hispanic,2022 # Grads - White,2022 # Grads - Multi-Racial,2022 # Grads - Native American,2022 # Grads - Missing Race/Ethnicity Data,2022 % Grads - All Students,2022 % Grads - Asian,2022 % Grads - Black,2022 % Grads - Hispanic,2022 % Grads - White,2022 % Grads - Multi-Racial,2022 % Grads - Native American,2022 % Grads - Missing Race/Ethnicity Data,2022 # Dropout - All Students,2022 # Dropout - Asian,2022 # Dropout - Black,2022 # Dropout - Hispanic,2022 # Dropout - White,2022 # Dropout - Multi-Racial,2022 # Dropout - Native American,2022 # Dropout - Missing Race/Ethnicity Data,2022 % Dropout - All Students,2022 % Dropout - Asian,2022 % Dropout - Black,2022 % Dropout - Hispanic,2022 % Dropout - White,2022 % Dropout - Multi-racial,2022 % Dropout - Native American,2022 % Dropout - Missing Race/Ethnicity Data
BK0101,680,58,28,191,387,12,1,3,478,50,13,108,295,8,1,3,70.3,86.2,46.4,56.5,76.2,66.7,100.0,100.0,589,49,29,159,338,10,1,3,357,37,8,70,236,4,1,1,60.6,75.5,27.6,44.0,69.8,40.0,100.0,33.3,97,6,2,29,53,4,1,2,93,6,1,27,52,4,1,2,95.9,100.0,50.0,93.1,98.1,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0102,905,36,74,577,190,24,1,3,426,29,19,197,158,20,0,3,47.1,80.6,25.7,34.1,83.2,83.3,0.0,100.0,766,28,66,477,171,21,1,2,276,25,6,105,118,20,0,2,36.0,89.3,9.1,22.0,69.0,95.2,0.0,100.0,168,8,11,122,24,2,0,1,142,8,7,102,23,1,0,1,84.5,100.0,63.6,83.6,95.8,50.0,na,100.0,3,0,1,2,0,0,0,0,1.8,0.0,9.1,1.6,0.0,0.0,na,0.0
BK0103,221,7,56,145,8,4,1,0,73,4,14,49,3,2,1,0,33.0,57.1,25.0,33.8,37.5,50.0,100.0,na,186,6,43,126,8,3,0,0,35,5,5,22,3,0,0,0,18.8,83.3,11.6,17.5,37.5,0.0,na,na,48,0,11,36,1,0,0,0,33,0,5,28,0,0,0,0,68.8,na,45.5,77.8,0.0,na,na,na,2,0,0,2,0,0,0,0,4.2,na,0.0,5.6,0.0,na,na,na
BK0104,1313,94,284,723,189,19,3,1,573,66,83,267,139,16,1,1,43.6,70.2,29.2,36.9,73.5,84.2,33.3,100.0,1117,87,243,600,168,15,3,1,363,63,44,145,101,9,1,0,32.5,72.4,18.1,24.2,60.1,60.0,33.3,0.0,239,30,41,141,25,1,1,0,215,30,35,126,22,1,1,0,90.0,100.0,85.4,89.4,88.0,100.0,100.0,na,6,0,2,1,3,0,0,0,2.5,0.0,4.9,0.7,12.0,0.0,0.0,na
BK0201,348,25,19,50,216,37,0,1,266,18,13,34,170,30,0,1,76.4,72.0,68.4,68.0,78.7,81.1,na,100.0,307,26,16,36,194,34,0,1,228,18,8,24,152,25,0,1,74.3,69.2,50.0,66.7,78.4,73.5,na,100.0,39,3,4,5,15,7,0,5,38,3,4,5,15,6,0,5,97.4,100.0,100.0,100.0,100.0,85.7,na,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,na,0.0
BK0202,646,73,194,161,178,32,7,1,321,57,57,48,130,26,2,1,49.7,78.1,29.4,29.8,73.0,81.3,28.6,100.0,567,65,174,139,151,31,6,1,232,51,20,25,108,27,0,1,40.9,78.5,11.5,18.0,71.5,87.1,0.0,100.0,150,22,46,38,39,3,2,0,128,20,37,30,37,2,2,0,85.3,90.9,80.4,78.9,94.9,66.7,100.0,na,7,2,2,3,0,0,0,0,4.7,9.1,4.3,7.9,0.0,0.0,0.0,na
BK0203,718,58,313,204,104,34,4,1,339,47,107,76,84,24,0,1,47.2,81.0,34.2,37.3,80.8,70.6,0.0,100.0,651,51,276,186,97,35,5,1,221,36,48,37,77,21,1,1,33.9,70.6,17.4,19.9,79.4,60.0,20.0,100.0,178,20,82,43,22,6,1,4,155,20,68,37,19,6,1,4,87.1,100.0,82.9,86.0,86.4,100.0,100.0,100.0,4,0,2,2,0,0,0,0,2.2,0.0,2.4,4.7,0.0,0.0,0.0,0.0
BK0204,430,23,148,98,132,24,2,3,311,19,94,61,114,20,1,2,72.3,82.6,63.5,62.2,86.4,83.3,50.0,66.7,386,19,133,87,121,22,2,2,223,17,45,40,104,15,1,1,57.8,89.5,33.8,46.0,86.0,68.2,50.0,50.0,81,5,28,14,27,6,0,1,70,5,22,11,25,6,0,1,86.4,100.0,78.6,78.6,92.6,100.0,na,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,na,0.0
BK0261,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,na,0.0,na,na,na,na,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,na,0.0,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na
BK0301,1685,59,828,628,101,51,17,1,644,25,282,223,71,38,5,0,38.2,42.4,34.1,35.5,70.3,74.5,29.4,0.0,1547,63,758,569,89,49,18,1,378,21,137,126,58,33,2,1,24.4,33.3,18.1,22.1,65.2,67.3,11.1,100.0,430,24,221,144,22,7,7,5,362,24,178,124,18,6,7,5,84.2,100.0,80.5,86.1,81.8,85.7,100.0,100.0,11,0,8,3,0,0,0,0,2.6,0.0,3.6,2.1,0.0,0.0,0.0,0.0
