NTA Code,2022 # ELA Tested - All Students,2022 # ELA Tested - Asian,2022 # ELA Tested - Black,2022 # ELA Tested - Hispanic,2022 # ELA Tested - White,2022 # ELA Tested - Multi-Racial,2022 # ELA Tested - Native American,2022 # ELA Tested - Missing Race/Ethnicity Data,2022 # ELA Proficient - All Students,2022 # ELA Proficient - Asian,2022 # ELA Proficient - Black,2022 # ELA Proficient - Hispanic,2022 # ELA Proficient - White,2022 # ELA Proficient - Multi-Racial,2022 # ELA Proficient - Native American,2022 # ELA Proficient - Missing Race/Ethnicity Data,2022 ELA % Proficient - All Students,2022 ELA % Proficient - Asian,2022 ELA % Proficient - Black,2022 ELA % Proficient - Hispanic,2022 ELA % Proficient - White,2022 ELA % Proficient - Multi-Racial,2022 ELA % Proficient - Native American,2022 ELA % Proficient - Missing Race/Ethnicity Data,2022 # Math Tested - All Students,2022 # Math Tested - Asian,2022 # Math Tested - Black,2022 # Math Tested - Hispanic,2022 # Math Tested - White,2022 # Math Tested - Multi-Racial,2022 # Math Tested - Native American,2022 # Math Tested - Missing Race/Ethnicity Data,2022 Math # Proficient - All Students,2022 Math # Proficient - Asian,2022 Math # Proficient - Black,2022 Math # Proficient - Hispanic,2022 Math # Proficient - White,2022 Math # Proficient - Multi-Racial,2022 Math # Proficient - Native American,2022 Math # Proficient - Missing Race/Ethnicity Data,2022 Math % Proficient - All Students,2022 Math % Proficient - Asian,2022 Math % Proficient - Black,2022 Math % Proficient - Hispanic,2022 Math % Proficient - White,2022 Math % Proficient - Multi-Racial,2022 Math % Proficient - Native American,2022 Math % Proficient - Missing Race/Ethnicity Data,2022 # Grad Cohort - All Students,2022 # Grad Cohort - Asian,2022 # Grad Cohort - Black,2022 # Grad Cohort - Hispanic,2022 # Grad Cohort - White,2022 # Grad Cohort - Multi-Racial,2022 # Grad Cohort - Native American,2022 # Grad Cohort - Missing Race/Ethnicity Data,2022 # Grads - All Students,2022 # Grads - Asian,2022 # Grads - Black,2022 # Grads - Hispanic,2022 # Grads - White,2022 # Grads - Multi-Racial,2022 # Grads - Native American,2022 # Grads - Missing Race/Ethnicity Data,2022 % Grads - All Students,2022 % Grads - Asian,2022 % Grads - Black,2022 % Grads - Hispanic,2022 % Grads - White,2022 % Grads - Multi-Racial,2022 % Grads - Native American,2022 % Grads - Missing Race/Ethnicity Data,2022 # Dropout - All Students,2022 # Dropout - Asian,2022 # Dropout - Black,2022 # Dropout - Hispanic,2022 # Dropout - White,2022 # Dropout - Multi-Racial,2022 # Dropout - Native American,2022 # Dropout - Missing Race/Ethnicity Data,2022 % Dropout - All Students,2022 % Dropout - Asian,2022 % Dropout - Black,2022 % Dropout - Hispanic,2022 % Dropout - White,2022 % Dropout - Multi-racial,2022 % Dropout - Native American,2022 % Dropout - Missing Race/Ethnicity Data
BK0302,1947,68,1161,566,105,25,21,1,798,40,434,221,77,18,8,0,41.0,58.8,37.4,39.0,73.3,72.0,38.1,0.0,1812,67,1079,529,95,23,18,1,499,35,259,131,55,14,5,0,27.5,52.2,24.0,24.8,57.9,60.9,27.8,0.0,582,19,374,154,21,5,5,4,484,18,302,134,18,4,4,4,83.2,94.7,80.7,87.0,85.7,80.0,80.0,100.0,16,0,10,6,0,0,0,0,2.7,0.0,2.7,3.9,0.0,0.0,0.0,0.0
BK0401,1881,70,102,1645,49,3,12,0,598,39,26,509,23,1,0,0,31.8,55.7,25.5,30.9,46.9,33.3,0.0,na,1901,68,89,1694,38,1,11,0,345,37,15,274,16,1,2,0,18.1,54.4,16.9,16.2,42.1,100.0,18.2,na,477,16,32,408,14,1,2,4,425,15,29,363,11,1,2,4,89.1,93.8,90.6,89.0,78.6,100.0,100.0,100.0,15,0,1,14,0,0,0,0,3.1,0.0,3.1,3.4,0.0,0.0,0.0,0.0
BK0402,1768,33,345,1338,36,10,6,0,563,18,98,421,19,5,2,0,31.8,54.5,28.4,31.5,52.8,50.0,33.3,na,1650,29,306,1265,34,10,6,0,333,14,58,242,14,3,2,0,20.2,48.3,19.0,19.1,41.2,30.0,33.3,na,400,11,88,284,13,1,3,0,340,10,73,241,13,1,2,0,85.0,90.9,83.0,84.9,100.0,100.0,66.7,na,19,0,2,17,0,0,0,0,4.8,0.0,2.3,6.0,0.0,0.0,0.0,na
BK0501,2150,109,226,1741,27,4,43,0,873,67,82,694,9,0,21,0,40.6,61.5,36.3,39.9,33.3,0.0,48.8,na,2086,101,211,1704,26,4,40,0,651,55,47,523,8,1,17,0,31.2,54.5,22.3,30.7,30.8,25.0,42.5,na,425,23,57,323,5,0,7,10,376,21,50,285,4,0,7,9,88.5,91.3,87.7,88.2,80.0,na,100.0,90.0,7,0,0,7,0,0,0,0,1.6,0.0,0.0,2.2,0.0,na,0.0,0.0
BK0502,1968,93,860,946,37,7,24,1,611,47,258,282,12,3,9,0,31.0,50.5,30.0,29.8,32.4,42.9,37.5,0.0,1936,92,832,945,35,7,24,1,415,47,141,207,11,2,7,0,21.4,51.1,16.9,21.9,31.4,28.6,29.2,0.0,453,17,213,201,10,1,5,6,381,17,183,162,8,1,4,6,84.1,100.0,85.9,80.6,80.0,100.0,80.0,100.0,16,0,3,11,1,0,1,0,3.5,0.0,1.4,5.5,10.0,0.0,20.0,0.0
BK0503,1783,52,1191,487,27,3,22,1,536,23,358,136,12,1,5,1,30.1,44.2,30.1,27.9,44.4,33.3,22.7,100.0,1764,50,1187,480,21,4,21,1,279,16,182,71,8,1,1,0,15.8,32.0,15.3,14.8,38.1,25.0,4.8,0.0,500,1,354,125,4,3,6,7,410,1,289,102,4,2,5,7,82.0,100.0,81.6,81.6,100.0,66.7,83.3,100.0,15,0,9,5,0,0,1,0,3.0,0.0,2.5,4.0,0.0,0.0,16.7,0.0
BK0504,547,20,365,132,16,3,10,1,204,10,133,48,4,2,6,1,37.3,50.0,36.4,36.4,25.0,66.7,60.0,100.0,458,15,304,116,9,3,10,1,110,5,66,28,5,1,5,0,24.0,33.3,21.7,24.1,55.6,33.3,50.0,0.0,161,5,121,27,3,0,1,4,148,5,110,25,3,0,1,4,91.9,100.0,90.9,92.6,100.0,na,100.0,100.0,3,0,2,1,0,0,0,0,1.9,0.0,1.7,3.7,0.0,na,0.0,0.0
BK0505,1621,421,578,547,30,7,38,0,638,250,184,173,11,5,15,0,39.4,59.4,31.8,31.6,36.7,71.4,39.5,na,1565,416,546,532,29,7,35,0,414,221,83,94,5,0,11,0,26.5,53.1,15.2,17.7,17.2,0.0,31.4,na,538,128,228,160,7,2,9,4,450,114,192,128,6,0,7,3,83.6,89.1,84.2,80.0,85.7,0.0,77.8,75.0,22,6,8,6,0,1,1,0,4.1,4.7,3.5,3.8,0.0,50.0,11.1,0.0
BK0571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,na,na,na,0.0,na,na,na,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,100.0,na,na,na,100.0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na
BK0601,1766,83,261,417,859,133,6,7,1112,64,77,170,686,109,1,5,63.0,77.1,29.5,40.8,79.9,82.0,16.7,71.4,1460,67,196,334,736,118,6,3,841,52,30,107,551,96,2,3,57.6,77.6,15.3,32.0,74.9,81.4,33.3,100.0,366,24,78,112,126,16,4,6,324,24,63,92,122,14,3,6,88.5,100.0,80.8,82.1,96.8,87.5,75.0,100.0,8,0,3,5,0,0,0,0,2.2,0.0,3.8,4.5,0.0,0.0,0.0,0.0
BK0602,1714,160,118,227,1069,129,6,5,1344,141,56,122,904,112,4,5,78.4,88.1,47.5,53.7,84.6,86.8,66.7,100.0,1519,145,100,206,943,115,6,4,1129,128,26,102,767,98,4,4,74.3,88.3,26.0,49.5,81.3,85.2,66.7,100.0,227,10,22,42,138,10,0,5,212,10,18,34,135,10,0,5,93.4,100.0,81.8,81.0,97.8,100.0,na,100.0,4,0,1,3,0,0,0,0,1.8,0.0,4.5,7.1,0.0,0.0,na,0.0
BK0701,914,114,34,156,546,59,3,2,710,92,18,94,449,52,3,2,77.7,80.7,52.9,60.3,82.2,88.1,100.0,100.0,788,103,26,133,475,47,3,1,555,83,8,63,358,39,3,1,70.4,80.6,30.8,47.4,75.4,83.0,100.0,100.0,169,17,11,30,100,6,0,5,165,16,11,29,98,6,0,5,97.6,94.1,100.0,96.7,98.0,100.0,na,100.0,2,1,0,0,1,0,0,0,1.2,5.9,0.0,0.0,1.0,0.0,na,0.0
BK0702,2482,290,49,1813,293,23,9,5,1093,191,23,650,201,19,4,5,44.0,65.9,46.9,35.9,68.6,82.6,44.4,100.0,2238,267,42,1629,268,22,7,3,742,184,13,364,162,16,1,2,33.2,68.9,31.0,22.3,60.4,72.7,14.3,66.7,538,62,11,411,43,4,2,5,447,57,9,328,42,4,2,5,83.1,91.9,81.8,79.8,97.7,100.0,100.0,100.0,24,2,0,21,1,0,0,0,4.5,3.2,0.0,5.1,2.3,0.0,0.0,0.0
BK0703,3694,2367,23,1177,108,10,7,2,2054,1602,7,375,59,8,2,1,55.6,67.7,30.4,31.9,54.6,80.0,28.6,50.0,3481,2222,20,1126,94,10,7,2,1977,1698,5,228,36,6,3,1,56.8,76.4,25.0,20.2,38.3,60.0,42.9,50.0,699,393,8,267,28,2,0,1,604,357,7,212,25,2,0,1,86.4,90.8,87.5,79.4,89.3,100.0,na,100.0,21,6,0,14,1,0,0,0,3.0,1.5,0.0,5.2,3.6,0.0,na,0.0
BK0801,415,41,132,69,146,22,4,1,276,30,60,37,126,19,3,1,66.5,73.2,45.5,53.6,86.3,86.4,75.0,100.0,377,36,124,58,135,20,3,1,181,23,27,22,91,16,2,0,48.0,63.9,21.8,37.9,67.4,80.0,66.7,0.0,106,6,36,13,44,6,0,1,98,6,29,13,43,6,0,1,92.5,100.0,80.6,100.0,97.7,100.0,na,100.0,1,0,1,0,0,0,0,0,0.9,0.0,2.8,0.0,0.0,0.0,na,0.0
BK0802,1980,56,1359,415,100,35,13,2,868,34,557,172,77,24,3,1,43.8,60.7,41.0,41.4,77.0,68.6,23.1,50.0,1855,50,1273,395,92,31,13,1,511,19,309,105,59,16,3,0,27.5,38.0,24.3,26.6,64.1,51.6,23.1,0.0,507,14,368,91,17,4,7,6,412,11,299,73,16,3,4,6,81.3,78.6,81.3,80.2,94.1,75.0,57.1,100.0,15,1,10,2,1,0,1,0,3.0,7.1,2.7,2.2,5.9,0.0,14.3,0.0
BK0901,976,21,727,169,39,12,6,2,436,6,328,71,24,6,1,0,44.7,28.6,45.1,42.0,61.5,50.0,16.7,0.0,944,20,694,172,37,13,6,2,265,10,188,39,21,4,3,0,28.1,50.0,27.1,22.7,56.8,30.8,50.0,0.0,274,5,226,24,9,1,3,6,237,5,197,16,9,1,3,6,86.5,100.0,87.2,66.7,100.0,100.0,100.0,100.0,5,0,5,0,0,0,0,0,1.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0
BK0902,838,33,568,120,68,29,18,2,399,10,254,62,44,20,7,2,47.6,30.3,44.7,51.7,64.7,69.0,38.9,100.0,797,34,529,118,65,30,20,1,237,7,134,38,31,18,8,1,29.7,20.6,25.3,32.2,47.7,60.0,40.0,100.0,291,12,216,29,21,4,4,5,248,11,186,21,18,4,3,5,85.2,91.7,86.1,72.4,85.7,100.0,75.0,100.0,1,0,1,0,0,0,0,0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0
BK1001,3624,742,68,1055,1663,66,21,9,2393,575,41,541,1158,56,14,8,66.0,77.5,60.3,51.3,69.6,84.8,66.7,88.9,3464,719,65,1018,1569,63,21,9,1970,562,26,364,952,47,13,6,56.9,78.2,40.0,35.8,60.7,74.6,61.9,66.7,682,132,15,170,346,2,4,13,612,126,11,140,320,1,4,10,89.7,95.5,73.3,82.4,92.5,50.0,100.0,76.9,14,0,1,10,3,0,0,0,2.1,0.0,6.7,5.9,0.9,0.0,0.0,0.0
BK1002,3454,2392,20,548,466,11,11,6,2449,1847,10,254,322,6,4,6,70.9,77.2,50.0,46.4,69.1,54.5,36.4,100.0,3308,2284,17,542,438,10,12,5,2254,1822,8,168,242,7,3,4,68.1,79.8,47.1,31.0,55.3,70.0,25.0,80.0,575,336,4,101,127,3,2,2,509,309,3,72,118,3,2,2,88.5,92.0,75.0,71.3,92.9,100.0,100.0,100.0,18,6,0,8,4,0,0,0,3.1,1.8,0.0,7.9,3.1,0.0,0.0,0.0
BK1061,58,4,10,22,15,6,0,1,35,3,6,11,10,4,0,1,60.3,75.0,60.0,50.0,66.7,66.7,na,100.0,54,3,10,20,15,6,0,0,20,2,3,5,7,3,0,0,37.0,66.7,30.0,25.0,46.7,50.0,na,na,7,2,1,1,2,1,0,0,7,2,1,1,2,1,0,0,100.0,100.0,100.0,100.0,100.0,100.0,na,na,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,na,na
BK1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na
BK1101,5904,2739,52,1589,1474,20,26,4,3566,1966,24,676,870,13,13,4,60.4,71.8,46.2,42.5,59.0,65.0,50.0,100.0,5543,2556,51,1516,1371,21,24,4,2960,1864,20,395,661,10,6,4,53.4,72.9,39.2,26.1,48.2,47.6,25.0,100.0,1165,543,10,313,289,4,2,4,996,506,8,215,260,2,2,3,85.5,93.2,80.0,68.7,90.0,50.0,100.0,75.0,48,3,0,35,10,0,0,0,4.1,0.6,0.0,11.2,3.5,0.0,0.0,0.0
BK1102,2021,1023,24,418,538,12,6,0,1263,725,7,201,314,11,5,0,62.5,70.9,29.2,48.1,58.4,91.7,83.3,na,1918,973,23,405,500,11,6,0,1113,686,5,145,264,9,4,0,58.0,70.5,21.7,35.8,52.8,81.8,66.7,na,334,160,5,65,101,1,1,1,302,153,3,49,94,1,1,1,90.4,95.6,60.0,75.4,93.1,100.0,100.0,100.0,6,1,0,4,1,0,0,0,1.8,0.6,0.0,6.2,1.0,0.0,0.0,0.0
BK1103,2985,1383,28,708,823,19,20,4,1869,1028,17,278,518,12,13,3,62.6,74.3,60.7,39.3,62.9,63.2,65.0,75.0,2807,1290,29,676,774,19,17,2,1659,999,13,192,434,13,7,1,59.1,77.4,44.8,28.4,56.1,68.4,41.2,50.0,604,282,12,124,178,2,0,6,543,260,11,100,164,2,0,6,89.9,92.2,91.7,80.6,92.1,100.0,na,100.0,11,3,0,5,3,0,0,0,1.8,1.1,0.0,4.0,1.7,0.0,na,0.0
BK1201,2418,1690,16,603,94,4,11,0,1488,1175,10,232,60,3,8,0,61.5,69.5,62.5,38.5,63.8,75.0,72.7,na,2298,1617,13,563,90,4,11,0,1408,1219,3,127,49,3,7,0,61.3,75.4,23.1,22.6,54.4,75.0,63.6,na,398,247,5,124,18,1,1,2,343,226,3,95,16,1,0,2,86.2,91.5,60.0,76.6,88.9,100.0,0.0,100.0,12,6,0,6,0,0,0,0,3.0,2.4,0.0,4.8,0.0,0.0,0.0,0.0
BK1202,1582,597,26,668,272,10,9,0,891,435,17,278,149,6,6,0,56.3,72.9,65.4,41.6,54.8,60.0,66.7,na,1480,546,23,632,261,10,8,0,656,369,8,161,109,4,5,0,44.3,67.6,34.8,25.5,41.8,40.0,62.5,na,279,104,3,126,42,2,2,0,234,95,2,97,37,2,1,0,83.9,91.3,66.7,77.0,88.1,100.0,50.0,na,9,0,0,9,0,0,0,0,3.2,0.0,0.0,7.1,0.0,0.0,0.0,na
BK1203,1754,776,77,407,447,31,15,1,1007,473,37,166,299,24,7,1,57.4,61.0,48.1,40.8,66.9,77.4,46.7,100.0,1597,698,74,371,411,28,14,1,775,381,24,100,243,21,5,1,48.5,54.6,32.4,27.0,59.1,75.0,35.7,100.0,342,145,24,74,83,9,3,4,300,130,22,56,76,9,3,4,87.7,89.7,91.7,75.7,91.6,100.0,100.0,100.0,10,6,0,2,2,0,0,0,2.9,4.1,0.0,2.7,2.4,0.0,0.0,0.0
BK1204,844,299,18,264,256,4,3,0,455,186,8,117,139,2,3,0,53.9,62.2,44.4,44.3,54.3,50.0,100.0,na,826,293,17,258,250,5,3,0,347,154,8,70,114,0,1,0,42.0,52.6,47.1,27.1,45.6,0.0,33.3,na,150,48,2,46,50,1,1,2,128,44,2,36,42,1,1,2,85.3,91.7,100.0,78.3,84.0,100.0,100.0,100.0,4,1,0,2,1,0,0,0,2.7,2.1,0.0,4.3,2.0,0.0,0.0,0.0
BK1301,1232,429,131,296,353,14,4,5,711,294,46,122,237,6,1,5,57.7,68.5,35.1,41.2,67.1,42.9,25.0,100.0,1150,398,118,284,329,14,4,3,544,255,19,63,199,4,2,2,47.3,64.1,16.1,22.2,60.5,28.6,50.0,66.7,245,73,33,44,90,2,1,2,218,67,28,37,81,2,1,2,89.0,91.8,84.8,84.1,90.0,100.0,100.0,100.0,9,2,3,1,3,0,0,0,3.7,2.7,9.1,2.3,3.3,0.0,0.0,0.0
BK1302,2015,167,647,604,553,17,14,13,899,122,146,195,408,8,8,12,44.6,73.1,22.6,32.3,73.8,47.1,57.1,92.3,1828,148,602,535,505,15,13,10,632,101,83,100,329,5,5,9,34.6,68.2,13.8,18.7,65.1,33.3,38.5,90.0,420,42,139,112,122,2,0,3,334,40,99,81,109,2,0,3,79.5,95.2,71.2,72.3,89.3,100.0,na,100.0,19,0,9,7,3,0,0,0,4.5,0.0,6.5,6.3,2.5,0.0,na,0.0
BK1303,1387,333,14,396,611,7,16,10,863,226,9,184,423,5,6,10,62.2,67.9,64.3,46.5,69.2,71.4,37.5,100.0,1354,325,14,388,596,7,16,8,782,195,6,165,395,7,6,8,57.8,60.0,42.9,42.5,66.3,100.0,37.5,100.0,272,58,2,83,122,5,1,1,239,55,2,62,115,3,1,1,87.9,94.8,100.0,74.7,94.3,60.0,100.0,100.0,10,1,0,8,0,1,0,0,3.7,1.7,0.0,9.6,0.0,20.0,0.0,0.0
BK1401,2550,165,1326,850,140,32,31,6,1165,100,574,362,86,25,13,5,45.7,60.6,43.3,42.6,61.4,78.1,41.9,83.3,2442,151,1271,829,128,29,31,3,756,78,329,246,71,19,10,3,31.0,51.7,25.9,29.7,55.5,65.5,32.3,100.0,635,37,392,155,32,4,7,8,536,34,331,127,28,3,5,8,84.4,91.9,84.4,81.9,87.5,75.0,71.4,100.0,10,0,7,2,1,0,0,0,1.6,0.0,1.8,1.3,3.1,0.0,0.0,0.0
BK1402,1919,696,249,490,429,38,17,0,1126,442,125,233,286,32,8,0,58.7,63.5,50.2,47.6,66.7,84.2,47.1,na,1837,661,237,470,414,36,19,0,874,354,74,163,251,26,6,0,47.6,53.6,31.2,34.7,60.6,72.2,31.6,na,330,114,53,83,67,4,3,6,294,103,46,70,62,4,3,6,89.1,90.4,86.8,84.3,92.5,100.0,100.0,100.0,8,2,3,2,1,0,0,0,2.4,1.8,5.7,2.4,1.5,0.0,0.0,0.0
BK1403,1417,436,102,293,551,12,22,1,696,207,48,109,312,8,11,1,49.1,47.5,47.1,37.2,56.6,66.7,50.0,100.0,1369,412,94,282,546,12,22,1,594,168,30,85,294,7,10,0,43.4,40.8,31.9,30.1,53.8,58.3,45.5,0.0,305,85,26,54,132,3,2,3,259,78,18,46,110,3,2,2,84.9,91.8,69.2,85.2,83.3,100.0,100.0,66.7,6,2,1,1,2,0,0,0,2.0,2.4,3.8,1.9,1.5,0.0,0.0,0.0
BK1501,1762,459,24,539,711,11,13,5,980,308,13,201,443,6,4,5,55.6,67.1,54.2,37.3,62.3,54.5,30.8,100.0,1699,447,22,520,683,9,13,5,829,289,7,141,378,4,5,5,48.8,64.7,31.8,27.1,55.3,44.4,38.5,100.0,313,89,6,72,139,2,2,3,278,78,5,62,126,2,2,3,88.8,87.6,83.3,86.1,90.6,100.0,100.0,100.0,7,3,0,2,2,0,0,0,2.2,3.4,0.0,2.8,1.4,0.0,0.0,0.0
