ceqr_category,survey_question_id,flag_field_name,flag_id_field_name
Density,MULTIPLE_zoning_district,zoning_category,zoning_district
Density,ld_within_coastal_district,special_coastal_risk_flag,special_coastal_risk
Air Quality,aq_site_400_ft_CATS_source,cats_permit_flag,cats_permit
Air Quality,aq_unpermitted_aq_sites,industrial_lots_flag,industrial_lots
Air Quality,aq_site_1000_ft_state_source,state_facility_flag,state_facility
Air Quality,aq_site_1000_ft_titlev_source,title_v_permit_flag,title_v_permit
Air Quality,aq_adj_vent,vent_tower_flag,vent_tower
Air Quality,aq_adjacent_arterial_highway,arterial_highway_flag,arterial_highway
Air Quality,aq_e_des_on_site,e_des_air_quality_flag,e_des_air_quality
Noise,n_adjacent_elevated_sub_or_rail,exposed_railway_flag,exposed_railway
Noise,n_airport_noise_exp_zone,airport_noise_flag,airport_noise
Noise,n_e_des_on_site,e_des_noise_flag,e_des_noise
Hazardous Materials,hm_e_des_on_site,e_des_hazmat_flag,e_des_hazmat
Natural Resources,nr_site_contain_wetland_etc,natural_resources_flag,natural_resources
Natural Resources,nr_site_within_check_zone,wetland_checkzone_flag,wetland_checkzone
Historic Resources,hr_archeo_sensitivity,archaeological_area_flag,archaeological_area
Historic Resources,hr_site_within_hist_dist,historic_districts_flag,historic_districts
Historic Resources,hr_site_contain_hist_res,historic_resources_flag,historic_resources
Historic Resources,hr_site_90_ft_hist_res,historic_resources_adj_flag,historic_resources_adj
Shadows,sh_adj_open_space,shadow_open_spaces_flag,shadow_open_spaces
Shadows,sh_adjacent_nat_res,shadow_nat_resources_flag,shadow_nat_resources
Shadows,sh_adjacent_hist_res,shadow_hist_resources_flag,shadow_hist_resources
