"project_label","bbl","Zoning Districts Flag","Zoning Districts","Special Coastal Risk Districts Flag","Special Coastal Risk Districts","CATS Permits Flag","CATS Permits","Unpermitted Industrial Sources Flag","Unpermitted Industrial Sources","State Facility Permits Flag","State Facility Permits","Clean Air Act Title V Permits Flag","Clean Air Act Title V Permits","Vent Towers Flag","Vent Towers","(E) Designations - Air Quality Flag","(E) Designations - Air Quality","(E) Designations - Noise Flag","(E) Designations - Noise","Arterial Highways Flag","Arterial Highways","Elevated Railways Flag","Elevated Railways","Airport Flag","Airport","(E) Designations - HazMat Flag","(E) Designations - HazMat","NYC Parks properties Flag","NYC Parks properties","POPS Flag","POPS","Waterfront Public Access Areas Flag","Waterfront Public Access Areas","Publicly Owned Waterfront Flag","Publicly Owned Waterfront","NYS Parks Property Flag","NYS Parks Property","Federal Parks property Flag","Federal Parks property","geom"
DCP Bronx Office,"2028227501",Yes,R5-R10,No,,Yes,"CA114696, CB034905, PB014109, CB084510, CB390000, CA293886, CB177007, CA036282, CA276787, CA252084",No,,Yes,"2-6005-00148/00003",No,,No,,No,,No,,No,,Yes,JEROME AVENUE LINE,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((1009216.1075439451 247688.7697744273, 1009069.231506349 247554.96392202596, 1009067.7945241912 247555.74576614852, 1008889.04323101 247653.06905793553, 1008978.5046792018 247818.13565682241, 1009216.1075439451 247688.7697744273)))"
DCP Brooklyn Office,"3002500044",Yes,C or M,No,,Yes,"CB192002, CW045616, CW045716, CW045816, CW010522, CB008213, CB122503, CW005115, CW005016, CW014219, PA083787, PA099487, PB012602",No,,Yes,"2-6101-00253/00003",Yes,"2-6101-00381/00005",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((986738.9845061287 192046.32855510924, 986863.0577397331 192001.7420172627, 986829.1329441069 191909.20318030965, 986705.4583291997 191954.22768639654, 986738.9845061287 192046.32855510924)))"
DCP Manhattan Office,"1000477501",Yes,C or M,No,,Yes,"PA008588, PA043496, PA043596, PR013418, PA058988, PA061198, PB022805, PB015103, PB030809, PA056594, PA056694, PA067688, PA067988, PA068088, PB039101, PB039201, PB040501, PB046512, PB047112, PB048012, PB048112, PA031092, PA031392, PA041993, PA054587, PB005506, PR006321, PR002319, PR002419, PA036792, PA053288, PB476603, PB026805, PB027005, PB027105, PB033808, PR023616, PR024917, PA052687, PA052787, PA052887, PA052987, PB034714",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((981414.0155043595 197131.44011211267, 981166.8545799259 197325.18348026488, 981258.3173179594 197473.64118909673, 981502.9004831266 197263.09733342586, 981414.0155043595 197131.44011211267)))"
DCP Queens Office,"4022740002",Yes,C or M,No,,Yes,"CB134207, CA271494, CA411387, PB492003, CB001512, PB029909",No,,No,,No,,No,,No,,No,,Yes,Queens Boulevard,Yes,LIRR MAIN LINE,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((1032349.3683619507 199387.06090974133, 1032171.0819816551 199058.2111964208, 1031392.4552302372 199481.2434749511, 1031340.7053599355 199509.35956333976, 1031337.3424944882 199511.2755703888, 1031334.8759565363 199513.37366532945, 1031332.6351537718 199516.03146600313, 1031331.4350318874 199517.97600220944, 1031330.364145757 199520.31787681495, 1031329.6581358899 199522.58327674444, 1031329.1846890466 199525.34477044124, 1031329.094803332 199527.6636629036, 1031329.3087124838 199530.1738181062, 1031329.8936858182 199532.80702065918, 1031330.7371912021 199535.1154284431, 1031331.8500485392 199537.27615975976, 1031333.0698604602 199539.0852122282, 1031334.5524716375 199540.81815623734, 1031336.1262793557 199542.28403377286, 1031338.1246433272 199543.7459793054, 1031356.1751184452 199549.7207117022, 1032114.3888244589 199800.69624614262, 1032117.0384254438 199801.24153470632, 1032119.8366780287 199801.42852973993, 1032122.1624588958 199801.28877877863, 1032124.6817884451 199800.82813358112, 1032127.9603457459 199799.7057661897, 1032130.171278001 199798.56303835905, 1032132.2690377228 199797.12407445858, 1032133.8864927297 199795.71364020323, 1032135.8372774113 199793.52532433672, 1032137.4921312334 199791.02928160992, 1032349.3683619507 199387.06090974133)))"
DCP Staten Island Office,"5000080070",Yes,C or M,No,,Yes,"CA062782, CA230271, CA002383, CA123379, CB078014, PB037814, CA142898, CB077414",No,,No,,No,,No,,No,,No,,No,,Yes,STATEN ISLAND RAILWAY LINE,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((962963.7859897611 173388.09521006476, 962904.937678809 173353.8747882778, 962908.454742432 173347.82233189483, 962880.9410314545 173331.82334804442, 962837.2160429948 173306.39721631765, 962790.3034191136 173387.1260352049, 962746.7821593244 173361.8186845761, 962746.2798786168 173362.6828551241, 962717.3091292365 173412.536744115, 962702.1661167153 173438.5960988943, 962671.888626099 173490.697678561, 962652.9713287321 173523.25142001503, 962826.9716334356 173624.43300008585, 962963.7859897611 173388.09521006476)))"
Beach Airport Lots,"4159080016",Yes,R1-R4,No,,Yes,"PA033189, PA033289, PR032617",Yes,"4160380070",No,,No,,No,,No,,No,,No,,Yes,ROCKAWAY LINE,Yes,John F. Kennedy Airport,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((1041819.680122377 155368.30971860976, 1041858.7181005488 155371.48491763734, 1041867.1032567025 155270.5602540896, 1041828.065613746 155267.385055062, 1041819.680122377 155368.30971860976)))"
Beach Airport Lots,"4159080018",Yes,R1-R4,No,,Yes,"PA033189, PA033289, PR032617",Yes,"4160380070",No,,No,,No,,No,,No,,No,,Yes,ROCKAWAY LINE,No,,No,,No,,No,,No,,No,,No,,No,,"MULTIPOLYGON (((1041907.5260658225 155273.84795569227, 1041867.1032567025 155270.5602540896, 1041858.7181005488 155371.48491763734, 1041899.1409096703 155374.77261924464, 1041907.5260658225 155273.84795569227)))"
