WKT,OBJECTID,Shape_Length,unique_id,editor,cartodb_id
"MULTILINESTRING ((-73.8570553512794 40.7568675937598,-73.8560403125191 40.7570717425127))","1",290.880876492156,"2928",,
"MULTILINESTRING ((-73.9911098426783 40.750318505413,-73.9906219428611 40.7509911896738,-73.9901335366856 40.751658245385,-73.9896930263915 40.7522797007012,-73.9892431659119 40.7528949029694,-73.988786297678 40.753516218081,-73.9883354734234 40.7541297335484,-73.9878913778684 40.7547488319564))","2",1844.07299680586,"2159",,
"MULTILINESTRING ((-73.8913914248204 40.7466403318545,-73.8903655703503 40.7462301328427,-73.8893306798174 40.7457852374703,-73.8886063025485 40.7454820853473,-73.8883318782526 40.7453640781156,-73.8873378883717 40.744939961108,-73.8862326662851 40.7444648109043,-73.8861203989984 40.7444163336304,-73.8860030527087 40.7443656611823,-73.88509440735 40.7439732818608,-73.8847102510728 40.7437937417629,-73.8838755538582 40.7433966523707,-73.8828314400091 40.7428876989874,-73.8826334092128 40.7427862981922,-73.8818800155967 40.7423763008626,-73.8810038790583 40.7418399836586,-73.8802776569138 40.7412967828837,-73.8801127737756 40.7411675604344,-73.8799912075582 40.7410695837043,-73.879319800641 40.7406014011803,-73.8791074034185 40.7404443999095,-73.8786324009994 40.740059284209,-73.8784868304998 40.7399332306478,-73.8779183274489 40.7393942785859,-73.8774305964391 40.7385998367972,-73.8771686001944 40.7379069222585,-73.8772094205274 40.7376797759394,-73.8772671023679 40.7374848605407,-73.8773358959942 40.7373058743266,-73.8773417238331 40.7372919505918,-73.8774423619114 40.7370957031154,-73.8774424023056 40.7370956257148,-73.8774424414944 40.7370955600195,-73.877550302238 40.7369190142371))","3",5569.33085763408,"3050",,
"MULTILINESTRING ((-73.8921233703254 40.6724483645348,-73.8917996127045 40.671179838012,-73.8914805745905 40.6699257581882,-73.8910856098259 40.6683895207274,-73.8906939536068 40.6668516629262,-73.8902992804594 40.6653111891098,-73.8899068017153 40.66377772175,-73.8897855232213 40.6632948929808))","4",3397.35285065327,"919",,
"MULTILINESTRING ((-73.950645832563 40.7217051305836,-73.9527091837355 40.7204506187905,-73.9534686219659 40.7197976734785,-73.9540602895251 40.7192456841081,-73.9546554275902 40.7186927024767,-73.955250496565 40.7181397807448,-73.9558438033937 40.7175878457859,-73.9564388901559 40.7170318741339,-73.9570304713516 40.7164825438142,-73.9576265677746 40.7159269175341,-73.9582228069959 40.7153730711941,-73.9588114236441 40.7148239106474,-73.9592773410046 40.7143896985471,-73.9594858353508 40.7141916874396,-73.9597975202372 40.713886596629,-73.9601628955869 40.7133448428403,-73.9605608040528 40.7127128680394,-73.9610292912015 40.711968946514,-73.96142110553 40.7113486641815,-73.961809190788 40.710736564858,-73.96184897047 40.7106714874869,-73.9619049163237 40.7105799702165,-73.9619617219774 40.7104870484087,-73.962016133755 40.7103936043836,-73.9620693039526 40.7103023085365,-73.9622918576673 40.7099201607419,-73.9624137612243 40.7093512588993,-73.9625725220095 40.7085351610388,-73.9627432264516 40.707684559227))","5",6253.89789258244,"677",,
"MULTILINESTRING ((-73.9805440737047 40.6982460313966,-73.9780888143969 40.698137840482,-73.9775309045811 40.6981153282979,-73.9767863162831 40.698086462156,-73.9757826502629 40.6980472428585,-73.9747865319617 40.6980043234781,-73.9737986054714 40.6979599601374,-73.9733236824549 40.697939160212,-73.9727946746815 40.6979203473114,-73.9718078403562 40.6978845760227,-73.9712027126164 40.6978574973489,-73.9707730507697 40.6978403075263,-73.9697278022342 40.6978035192087,-73.9687393980523 40.6977593536464,-73.9677273544134 40.6977171261416,-73.9667421953853 40.6976716385991,-73.9657746740943 40.6976352790746,-73.9648756460603 40.6977138295169,-73.9639489995893 40.6978596035915,-73.9628395531789 40.698038162598))","6",4929.24299371357,"743",,
"MULTILINESTRING ((-73.883400273932 40.8739461587654,-73.8833498649196 40.8737583825392,-73.8832797468703 40.8735733427209,-73.883190450488 40.873392910131,-73.8831904032101 40.8733928110291,-73.8831903440534 40.8733927209201,-73.8830826969648 40.873218555958,-73.883082661471 40.8732185018926,-73.8830826259755 40.8732184487276,-73.882957705303 40.8730519824154,-73.8828833102643 40.8729725826199,-73.882830477227 40.8729161942246,-73.8828303469874 40.8729160509142,-73.8828302286297 40.8729158968099,-73.8827194366189 40.8727703107612,-73.8826268924704 40.8726167180217,-73.8826267978538 40.872616555837,-73.8826267151159 40.8726163846595,-73.8825539214294 40.8724569867023,-73.8825538386903 40.8724568164252,-73.8825537796801 40.8724566443714,-73.882501432785 40.8722933951075,-73.8825013974035 40.8722932780077,-73.8825013739008 40.872293151915,-73.8824697664033 40.8721282128479))","7",717.59319922465,"333",,
"MULTILINESTRING ((-73.8189968835689 40.8201553885323,-73.8201431685872 40.8220009742393))","8",743.50261452513,"603",,
"MULTILINESTRING ((-73.8562168640273 40.8179134642403,-73.8567108873673 40.8200188848942,-73.8572019915485 40.8221546755713),(-73.8577679637423 40.8198779793298,-73.8579455212644 40.8206414874336,-73.858264262007 40.8220120879818),(-73.8620289665769 40.8215075713723,-73.8611137505452 40.8216312985001,-73.8604725950702 40.8217181204776,-73.8601985330996 40.821755199363,-73.8592616139787 40.8218812528574,-73.858264262007 40.8220120879818),(-73.858264262007 40.8220120879818,-73.8572019915485 40.8221546755713),(-73.858264262007 40.8220120879818,-73.858444419966 40.8227738611756,-73.8587884368115 40.8242080480022,-73.8594069213197 40.8256210288769),(-73.8572019915485 40.8221546755713,-73.8551363981591 40.822435591165,-73.8520782970632 40.8228466362233,-73.8490176861826 40.8232593528724))","9",7371.58358056662,"491",,
"MULTILINESTRING ((-73.9390869109317 40.7190470517376,-73.9389892169516 40.7190728282676,-73.9389222139642 40.7190905074584,-73.9386351915094 40.7191662367127,-73.9385213424423 40.7191962753248,-73.9381232410363 40.7193013111741,-73.9379864212833 40.7193374090085,-73.9375324607183 40.7194556276034))","10",455.883940893625,"685",,
