WKT,OBJECTID,Shape_Length,unique_id,editor,cartodb_id
"MULTILINESTRING ((-73.8680589544711 40.6911833215739,-73.8672091821129 40.6913154927623,-73.8665097937754 40.6914205919209,-73.865620904141 40.6915645828149,-73.8647394560298 40.6917124946376,-73.864114618545 40.6918230880467,-73.8638381957443 40.6918685520022,-73.8633122607083 40.6919610498058,-73.8624435902399 40.6921031500381,-73.8621482334613 40.6921497939629,-73.8608957282049 40.6923173202857,-73.8590968424252 40.6925186631595,-73.8581723936299 40.6925738803262,-73.8574094024856 40.6926169444365,-73.8572328646837 40.6926269731444,-73.8565056382431 40.6926683647051,-73.8563143338358 40.6926795973669,-73.855577257246 40.6927241684719,-73.8546787794961 40.6928299270133,-73.8538395330355 40.6930504153207,-73.8523978268203 40.6935742486273,-73.8522616697659 40.6936248176351,-73.8521650844369 40.693660695979,-73.8520653019341 40.6936977849197,-73.8519173271292 40.6937527877467,-73.851349284911 40.693963927333,-73.8510486178016 40.6940660795727,-73.8504814589033 40.6942291367233,-73.8495619474169 40.6944209530658,-73.8491319894014 40.6945051458969,-73.8486531250724 40.6945975673727,-73.8484947530446 40.6946280536518,-73.8477333885212 40.6947746094077,-73.8469600352314 40.6949259493089,-73.8464402249766 40.6950250861297,-73.8453967445499 40.6951563160427,-73.8434424979496 40.6951860537916,-73.8429458046155 40.6951923733096,-73.8419885575427 40.6952170045029,-73.8411351371415 40.69528313273,-73.840497092376 40.695359307102,-73.8403509910022 40.6953823816773,-73.8396344612034 40.6955346968178,-73.8394835110334 40.6955811867798,-73.8387918573819 40.6958513644683,-73.8386518218538 40.6959192459281,-73.8380115086747 40.6962970392633,-73.8378989837503 40.6963681202663,-73.8371667237491 40.6968648982052,-73.8364008766668 40.6974041540222,-73.8356408855587 40.6978283644468,-73.8348439191001 40.698268086613,-73.8340666405591 40.6986942519335,-73.8333137224292 40.6991076609338,-73.832596096547 40.6994808076299,-73.8324522548016 40.6995463715869,-73.8321855521035 40.6996526934365,-73.831784577274 40.6997778920765,-73.831521217812 40.6998433880197,-73.8310669321527 40.6999563752248,-73.830886561412 40.7000081678387))","11",11042.2307022827,"3339",,
"MULTILINESTRING ((-73.9720272967972 40.7260088307197,-73.9719215849956 40.7262520859293,-73.9718633472402 40.7264461156654,-73.9718315131616 40.7265521722973,-73.9718190134923 40.7265938167863,-73.9717958559858 40.7267131355107,-73.9717768153559 40.7268322598328,-73.9717736832524 40.7268518568013,-73.9717600593572 40.7269370864585,-73.9717271297156 40.7271880578163,-73.9716929903961 40.7274188890132,-73.971654294855 40.7276910235298,-73.9716401323093 40.7277507389598))","12",645.542050593887,"2230",,
"MULTICURVE (COMPOUNDCURVE (CIRCULARSTRING (-73.9246128747973 40.8210058810862,-73.9245782934278 40.8210083230315,-73.9245437866626 40.8210113126301),CIRCULARSTRING (-73.9245437866626 40.8210113126301,-73.9245083590201 40.8210149616522,-73.9244730421589 40.8210191851964),(-73.9244730421589 40.8210191851964,-73.9244731585497 40.8210189871632,-73.9244363417273 40.8210090061828,-73.9232894588531 40.8206567648501,-73.9231129703818 40.8206025586309,-73.9227682153801 40.8204966704932,-73.9227557652691 40.8204928467251,-73.9226886079226 40.8204722216364)))","1",571.689027112962,"99",,
"MULTILINESTRING ((-74.0009951444321 40.654066872981,-74.0021447008814 40.6529557492422,-74.0027505445923 40.652384477316,-74.003170598481 40.6519798925581,-74.0033271140398 40.6518291330744,-74.0039081179025 40.6512656180762,-74.0044901904456 40.650705035737,-74.0050734687905 40.6501463144217,-74.0056624661246 40.6495780389583,-74.0062408858616 40.6490220818474,-74.0068234847091 40.648464540234,-74.0074050237011 40.6479046903687,-74.0079879231543 40.6473443781607,-74.0085679747223 40.6467883135959,-74.0091527933699 40.6462264013371,-74.0097353455427 40.645666504303,-74.0103189152752 40.6451063331262,-74.0109022022036 40.6445466713619,-74.0114836846174 40.6439862872575,-74.0120657115473 40.643424873521,-74.0126491938174 40.6428654647863,-74.0132320170549 40.6423048644375,-74.0138138860784 40.6417449284844,-74.0143963117192 40.6411855198761,-74.0149796258355 40.6406251536092,-74.01556265744 40.6400663233581,-74.0161671066718 40.6394821294663,-74.0167683655795 40.6388986991477,-74.017351096691 40.6383408421936,-74.0179312286242 40.6377806773179,-74.0185204046804 40.637216643905,-74.0186588507195 40.6370814477602,-74.018783233046 40.6369599821118))","2",7950.60120232685,"1031",,
"MULTILINESTRING ((-73.9538407123808 40.5767764360584,-73.9535611049375 40.5768073097277,-73.9528746946184 40.5768818440858,-73.9519145574313 40.5769876616079,-73.9509953978377 40.5770889554551,-73.950075184245 40.5771903576569,-73.9491574955017 40.5772914744505,-73.9482345726908 40.5773931596806,-73.9472622963185 40.5775002746109,-73.9462908271003 40.5776072916413,-73.9453756085146 40.5777081047329,-73.9444531643762 40.5778097057892,-73.9435376402312 40.5779105365126,-73.942591960495 40.5780146812458,-73.9416564169797 40.578117701316,-73.9407469579923 40.5782178411092,-73.9398021979639 40.5783218607008,-73.9393542679592 40.5783606770819,-73.9388685665964 40.578375555452,-73.9387616506397 40.5783785456387,-73.9378104793423 40.5784051436783,-73.937555292074 40.5784126744332,-73.9372152923023 40.5784218600989,-73.9371345138642 40.5784240418349,-73.9362802366435 40.5784471152352))","3",4919.93835361232,"1583",,
"MULTILINESTRING ((-73.9102607876462 40.775829816124,-73.9085007051235 40.7772695793723,-73.9084998085871 40.7772702981624,-73.9080268364848 40.7776496304718,-73.9078962032855 40.777556906387,-73.9077950985868 40.7776268081121,-73.9064124027425 40.7787665002384,-73.9064121296375 40.778766115501))","4",1559.24096464307,"2720",,
"MULTILINESTRING ((-73.8145589441973 40.7907319655885,-73.8141829887918 40.7897845427766,-73.8138048328971 40.7888397895236,-73.8132997002494 40.7875577253136,-73.8133657715264 40.7872086978802))","5",1336.38225792337,"3224",,
"MULTILINESTRING ((-73.8161311168463 40.7882894947742,-73.8138048328971 40.7888397895236,-73.8115230160787 40.7893692751442))","6",1335.30941570467,"3224",,
"MULTILINESTRING ((-73.7615804329215 40.7477678525862,-73.7620824366991 40.7489003088853,-73.7621721557832 40.7491026972764,-73.7623307280424 40.749460406172,-73.7623503089337 40.7495046895023,-73.7623674487945 40.7495428434287,-73.7623865147402 40.7495851103502,-73.7625146245261 40.7498691241699,-73.7628466209167 40.7506051291149,-73.7630489055447 40.7510535684344,-73.7630588495525 40.751075612681,-73.7630792686251 40.7511208783307,-73.7630860074589 40.7511328698859,-73.7631074265368 40.7511709857356,-73.7631186467996 40.7511897772582,-73.7632316949197 40.7513791160649,-73.7633758334254 40.751580703465,-73.7634728446368 40.7516957872088,-73.7635388887671 40.7517741348909,-73.7637195875251 40.7519579028967,-73.7638867417502 40.7521046255647,-73.7639164069783 40.7521306652189,-73.7640690488433 40.7522480642626,-73.764073859948 40.7522517644125,-73.7642223086206 40.7523543034446,-73.7645026173387 40.7525292510492,-73.7645601249034 40.7525646335453,-73.7646004485671 40.7525874899024,-73.7646229603887 40.752600250232,-73.7647004771933 40.7526425363522,-73.7648636613448 40.7527315510887,-73.7650968869095 40.7528707867883,-73.7653219635143 40.7530175696839,-73.7655248064356 40.7531618988902,-73.7655382650701 40.753171475308,-73.7655967152409 40.7532152420479,-73.7656614078569 40.7532719518866,-73.7657261124184 40.7533286635135,-73.7662270420688 40.7538133186235,-73.7662698946556 40.7538579439472,-73.766293362491 40.7538957778824,-73.766297177001 40.7539014345239,-73.7664751473732 40.7541653442639,-73.7665874263733 40.7543519153459,-73.7666412561854 40.7544413631423,-73.7667911350253 40.7547230311088,-73.7668710204501 40.7548948885831,-73.7669243011395 40.7550095097751,-73.767040378389 40.7552999438541,-73.7670745167806 40.7554014400276,-73.7671200625448 40.7555368481423,-73.7671390973325 40.7555934386463,-73.7671496075479 40.7556194053862))","8",3326.96663630158,"3459",,
"MULTILINESTRING ((-73.7627332943433 40.735261349334,-73.762452483875 40.7353440493194,-73.7616256394867 40.7355868842543,-73.7611404916117 40.7357100318293,-73.7608335997496 40.7357771138144,-73.7603881656051 40.7358589568703,-73.7591657512304 40.7360670898386,-73.7576562833732 40.736323514322,-73.7562729425402 40.7365760852716,-73.7550677837009 40.7367920745859,-73.7545549306096 40.7368629842027,-73.7543525377551 40.7368970708,-73.7538309179849 40.7370034575237,-73.7525534579545 40.7372335020694,-73.7499452372834 40.7376879056397,-73.7483620646615 40.7379804478688,-73.7437611917565 40.7387612088574,-73.7433123083357 40.7389248064092,-73.7428709243622 40.7391472043137,-73.7426078161559 40.7392347927959,-73.7422907197069 40.7392928690007,-73.741363141326 40.7393319384131,-73.7409844900859 40.7393193303374,-73.7407450666085 40.7392776427489,-73.7402126031991 40.7390706958801,-73.7398702186319 40.7388660716177))","9",6585.73311311714,"3461",,
"MULTILINESTRING ((-73.7374419330453 40.6866999521979,-73.7365787510485 40.6864371984514,-73.735700171779 40.6861718813884,-73.7352672034199 40.6860391259131,-73.7348306898207 40.6859052818118,-73.7345127525746 40.6858075268937,-73.7339605442335 40.6856377465714,-73.7339502789796 40.6856346430658,-73.7336160420016 40.6855335880961,-73.733558642776 40.685516237296,-73.7335006249155 40.6854997675416,-73.733084835091 40.685381718445,-73.7328618348709 40.6853142798452,-73.7324337146606 40.6851848073092,-73.7322203451878 40.6851202796182,-73.7322116858129 40.6851176551675,-73.7320473515731 40.6850678530684,-73.7319273079949 40.6850314725907,-73.731327614296 40.6848497271309,-73.7310482146406 40.6847649164806,-73.7308419307539 40.6847022983759,-73.7304587350684 40.6845859774523))","10",2084.28245917049,"3520",,
"MULTILINESTRING ((-73.9977780639516 40.674723912723,-73.9966044871411 40.6741565804955,-73.9963458893469 40.6740315656127,-73.9933828726817 40.6725990702811,-73.9933789798467 40.6726037428147,-73.9928750353693 40.6732131171886,-73.9923692969127 40.6738123935391,-73.9921193812189 40.6741115979265,-73.9918694751124 40.6744107936575,-73.9913922310444 40.6749874296925,-73.9913843241463 40.6749969826318,-73.9909405568899 40.6755346397036))","11",2710.23632433521,"980",,
"MULTILINESTRING ((-73.8704835501064 40.7332817349392,-73.8699193199492 40.7331233355583,-73.8695298512673 40.7330095520208,-73.8692396718582 40.7329191293906,-73.8689915122724 40.7328316607313,-73.8686784789691 40.7327063366722,-73.8685754390091 40.732665528631))","12",575.248369063534,"3002",,
"MULTILINESTRING ((-73.7830251508021 40.7331299311144,-73.7830070974515 40.7330918649191,-73.7821342756412 40.7312514669851,-73.7818033861462 40.7305582860996,-73.7811818325683 40.729256145071,-73.7811719772031 40.7292354713109,-73.7811607757502 40.7292119709877))","13",1518.08070522879,"3235",,
"MULTILINESTRING ((-73.7603065067763 40.7206458325725,-73.7594893063125 40.721011411278,-73.7594417067052 40.721062631987,-73.7594341892855 40.7210673385584))","14",288.332729230227,"3235",,
